score,accept_acc_at_30,accept_bacc_at_30,hardcore_recall_at_30,error_recall_at_30,fn_recall_at_30,review_frac_for_acc90,accept_n_for_acc90,hardcore_recall_at_acc90,error_recall_at_acc90
learn_hard_core_image_outputs_rf,0.8341708542713567,0.836427267194157,0.5076923076923077,0.5,0.34375,,,,
learn_upper_fn_image_plus_gross_logreg,0.8291457286432161,0.8547008547008548,0.47692307692307695,0.48484848484848486,1.0,,,,
ensemble_prob_range,0.8241206030150754,0.8243079409981815,0.47692307692307695,0.4696969696969697,0.5,,,,
learn_upper_fn_image_outputs_logreg,0.8241206030150754,0.8449948400412797,0.47692307692307695,0.4696969696969697,0.96875,,,,
learn_upper_fn_image_outputs_extra,0.8241206030150754,0.8162449392712551,0.46153846153846156,0.4696969696969697,0.96875,,,,
learn_hard_core_image_plus_gross_extra,0.8190954773869347,0.8192338791186577,0.49230769230769234,0.45454545454545453,0.40625,,,,
ensemble_prob_std,0.8190954773869347,0.8190909090909091,0.46153846153846156,0.45454545454545453,0.4375,,,,
learn_hard_core_image_plus_gross_rf,0.8190954773869347,0.8192929292929293,0.4461538461538462,0.45454545454545453,0.3125,,,,
learn_upper_wrong_image_plus_gross_rf,0.8190954773869347,0.8218711905729379,0.4461538461538462,0.45454545454545453,0.28125,,,,
learn_upper_fn_image_plus_gross_extra,0.8190954773869347,0.8077703388111179,0.4461538461538462,0.45454545454545453,0.9375,,,,
learn_hard_core_image_outputs_extra,0.8140703517587939,0.814584596725288,0.47692307692307695,0.4393939393939394,0.34375,,,,
learn_upper_wrong_image_outputs_extra,0.8090452261306532,0.8102245145631068,0.47692307692307695,0.42424242424242425,0.28125,,,,
learn_upper_fn_image_outputs_rf,0.8040201005025126,0.7842956592956594,0.36923076923076925,0.4090909090909091,0.84375,,,,
learn_hard_core_image_outputs_logreg,0.7989949748743719,0.7983626440266829,0.4461538461538462,0.3939393939393939,0.3125,,,,
upper_low_conf,0.7989949748743719,0.7989492826833704,0.4307692307692308,0.3939393939393939,0.375,,,,
upper_entropy,0.7989949748743719,0.7989492826833704,0.4307692307692308,0.3939393939393939,0.375,,,,
learn_upper_wrong_image_outputs_rf,0.7989949748743719,0.7990384615384616,0.4153846153846154,0.3939393939393939,0.34375,,,,
learn_upper_wrong_image_plus_gross_extra,0.7989949748743719,0.8019877675840978,0.4,0.3939393939393939,0.21875,,,,
learn_upper_wrong_image_outputs_logreg,0.7889447236180904,0.7887878787878788,0.4153846153846154,0.36363636363636365,0.25,,,,
learn_upper_fn_image_plus_gross_rf,0.7889447236180904,0.7669273513068533,0.3384615384615385,0.36363636363636365,0.75,,,,
vote_disagree,0.7839195979899497,0.7838383838383838,0.38461538461538464,0.3484848484848485,0.375,,,,
learn_hard_core_image_plus_gross_logreg,0.7788944723618091,0.7783929297033726,0.4,0.3333333333333333,0.34375,,,,
learn_upper_wrong_image_plus_gross_logreg,0.7788944723618091,0.7793313069908815,0.3384615384615385,0.3333333333333333,0.375,,,,
