split,level,aggregation,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
test_oof,case,mean,0.613630824722168,0.583756345177665,0.5827159290310002,0.57847533632287,0.5869565217391305,0.45907473309608543,0.5119047619047619,216,152,94,129
test_oof:batch1,case,mean,0.6412280701754386,0.6239316239316239,0.6254385964912281,0.6842105263157895,0.5666666666666667,0.6,0.639344262295082,34,26,18,39
test_oof:batch2,case,mean,0.5310374149659864,0.5178571428571429,0.5178571428571428,0.5238095238095238,0.5119047619047619,0.5176470588235295,0.5207100591715976,43,41,40,44
test_oof:third_batch_adapt72_highfocus,case,mean,0.5933441558441559,0.6111111111111112,0.5974025974025974,0.6590909090909091,0.5357142857142857,0.6904761904761905,0.6744186046511628,15,13,15,29
test_oof:third_batch_holdout,case,mean,0.6117078410311493,0.6025641025641025,0.5400107411385607,0.4473684210526316,0.6326530612244898,0.19101123595505617,0.2677165354330709,124,72,21,17
test_oof:old,case,mean,0.5756993695823484,0.5614035087719298,0.5616873522458629,0.5886524822695035,0.5347222222222222,0.5533333333333333,0.570446735395189,77,67,58,83
test_oof:third,case,mean,0.6344729965156795,0.6045751633986928,0.590755662020906,0.5609756097560976,0.6205357142857143,0.3511450381679389,0.431924882629108,139,85,36,46
