fold_id,best_epoch,best_val_selection_metric,test_case_mean_primary_metric,test_case_mean_accuracy,test_case_mean_balanced_accuracy
1,8,0.7031205673758865,0.8344444444444445,0.7398373983739838,0.7566666666666667
2,3,0.7317829457364341,0.7478014184397163,0.6639344262295082,0.6909219858156028
3,2,0.6720293086970373,0.7662015503875969,0.6101694915254238,0.6486821705426357
4,1,0.7023809523809523,0.6989487097801848,0.5603448275862069,0.6267919719655941
5,6,0.7358333333333333,0.798639455782313,0.7410714285714286,0.7261904761904762
