model,old_cv_threshold,pca_components,pca_explained,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_auc
logreg_c01,0.5099999999999999,128,0.8977956175804138,0.6631578947368421,0.6631944444444444,0.6619718309859155,95,49,47,94,0.7194641449960598,0.5947712418300654,0.6188479965156795,0.4700854700854701,127,97,27,55,0.657338850174216
logreg_c001,0.48999999999999994,128,0.8977956175804138,0.7017543859649122,0.7023492907801419,0.7157190635451505,93,51,34,107,0.7311859732072498,0.5620915032679739,0.6042574041811846,0.4596774193548387,115,109,25,57,0.6514590592334495
svc_c1,0.43999999999999995,128,0.8977956175804138,0.6350877192982456,0.6365248226950355,0.6770186335403726,72,72,32,109,0.6946660756501182,0.5228758169934641,0.5967987804878049,0.45925925925925926,98,126,20,62,0.6675195993031359
extra_d5,0.49999999999999994,128,0.8977956175804138,0.6666666666666666,0.6665927895981087,0.6619217081850534,97,47,48,93,0.726704097714736,0.5620915032679739,0.5849303135888502,0.4369747899159664,120,104,30,52,0.636215156794425
logreg_c1,0.09999999999999999,128,0.8977956175804138,0.6421052631578947,0.6434692671394799,0.68125,74,70,32,109,0.6971040189125295,0.46078431372549017,0.5659843205574913,0.4406779661016949,76,148,17,65,0.6436737804878049
rf_d5,0.49999999999999994,128,0.8977956175804138,0.6666666666666666,0.6665927895981087,0.6619217081850534,97,47,48,93,0.7183313632781718,0.5294117647058824,0.5510126306620209,0.4049586776859504,113,111,33,49,0.6054006968641115
