candidate_id,role,members,probability_rule,threshold,oof_bacc,oof_auc,oof_sensitivity,oof_specificity,oof_min_source_bacc,lodo_bacc,lodo_auc,lodo_sensitivity,lodo_specificity,lodo_min_source_bacc,oof_b1_accuracy,oof_b2_accuracy,lodo_b1_accuracy,lodo_b2_accuracy,oof_prediction_sha256,lodo_prediction_sha256,status
C1_siglipl512_localpyramid6_gated,primary_single_model,347_siglipl512_localpyramid6_gated,single five-fold head ensemble probability,0.5,0.747673,0.824015,0.739910,0.755435,0.678571,0.739654,0.807199,0.713004,0.766304,0.702381,0.435484,0.640449,0.419355,0.629213,74c127f41902353330701b3455d72b977cabac2a76c22821a8facebfa8a3c7d8,70d25ce83e082b270906ce52ad2c3d1df7ca1eb184e2de86809fa0bf4c681ae6,locked_for_fresh_independent_external_only
C2_aimmixstyle_plus_siglipl512_localpyramid6,primary_two_model_fusion,253_aimv2l_mixstyle+347_siglipl512_localpyramid6_gated,equal average of member five-fold ensemble probabilities,0.5,0.751407,0.837675,0.717489,0.785326,0.708333,0.744072,0.810818,0.735426,0.752717,0.708333,0.451613,0.595506,0.500000,0.662921,4890740c02f1bce33d229be6c0e71f11f11c7118e1b39c6e9e8c7bb6ae841895,f58035975cabc147fb7a7a8e0ee67ccdd9f54e0d813c27048f1a594a0242f3,locked_for_fresh_independent_external_only
