accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,candidate,threshold
0.7157894736842105,0.7157210401891253,0.7117437722419929,104,40,41,100,0.7776792750197007,logreg_c0003,0.5
0.712280701754386,0.7120271867612293,0.7028985507246377,106,38,44,97,0.7595055161544523,extra_dnone_l4,0.5
0.7087719298245614,0.7087765957446809,0.7067137809187279,102,42,41,100,0.772655634357762,logreg_c001,0.5
0.7087719298245614,0.708628841607565,0.7025089605734767,104,40,43,98,0.7655634357762017,svc_c1,0.5
0.7017543859649122,0.7016105200945626,0.6953405017921147,103,41,44,97,0.7501970055161544,extra_d7_l4,0.5
0.7017543859649122,0.7015366430260047,0.6931407942238267,104,40,45,96,0.7520193065405832,extra_dnone_l8,0.5
0.6982456140350877,0.6981382978723405,0.6928571428571428,102,42,44,97,0.7684200157604413,logreg_c003,0.5
0.6947368421052632,0.6946660756501182,0.6903914590747331,101,43,44,97,0.7649231678486997,logreg_c01,0.5
0.6947368421052632,0.6946660756501182,0.6903914590747331,101,43,44,97,0.7639381402679274,logreg_c03,0.5
0.6947368421052632,0.6945921985815603,0.6881720430107527,102,42,45,96,0.7509850275807722,extra_d7_l2,0.5
0.6947368421052632,0.6945921985815603,0.6881720430107527,102,42,45,96,0.7686662726556343,extra_dnone_l2,0.5
0.6912280701754386,0.6911199763593381,0.6857142857142857,101,43,45,96,0.7626083530338849,logreg_c10,0.5
0.6877192982456141,0.6876477541371158,0.6832740213523132,100,44,45,96,0.7517730496453902,extra_d7_l8,0.5
0.6842105263157895,0.6840277777777777,0.6762589928057554,101,43,47,94,0.7377364066193852,rf_d5,0.5
0.6842105263157895,0.6839539007092199,0.6739130434782609,102,42,48,93,0.7379334121355398,extra_d5_l2,0.5
0.6807017543859649,0.6806294326241135,0.6761565836298933,99,45,46,95,0.7420705279747833,extra_d3_l2,0.5
0.6807017543859649,0.6805555555555556,0.6738351254480287,100,44,47,94,0.7457151300236408,extra_d5_l4,0.5
0.6771929824561403,0.677378841607565,0.6805555555555556,95,49,43,98,0.7417750197005517,rf_d3,0.5
0.6771929824561403,0.6771572104018913,0.6737588652482269,98,46,46,95,0.7360618597320725,extra_d3_l8,0.5
0.6736842105263158,0.6733156028368794,0.6593406593406593,102,42,51,90,0.7371946414499605,rf_d7,0.5
0.6701754385964912,0.670065011820331,0.6642857142857143,98,46,48,93,0.7274428684003151,extra_d3_l4,0.5
0.6666666666666666,0.666371158392435,0.6545454545454545,100,44,51,90,0.7405437352245862,extra_d5_l8,0.5
0.6491228070175439,0.648936170212766,0.6402877697841727,96,48,52,89,0.7149330181245074,mlp64_32_a003,0.5
0.6456140350877193,0.646054964539007,0.6576271186440678,87,57,44,97,0.7012411347517731,gb_d2_lr03,0.5
0.6421052631578947,0.6421394799054374,0.6408450704225352,92,52,50,91,0.6969070133963751,gb_d1_lr03,0.5
0.6385964912280702,0.6388888888888888,0.6460481099656358,88,56,47,94,0.6910460992907802,mlp96_a003,0.5
0.6350877192982456,0.6344562647754137,0.6090225563909775,100,44,60,81,0.698433806146572,svc_c03,0.5
0.6210526315789474,0.6213800236406619,0.6301369863013698,85,59,49,92,0.6674546887312846,knn11,0.5
0.6,0.6006205673758864,0.62,78,66,48,93,0.6348256501182034,knn7,0.5
