base_name,base_threshold,route_name,route_threshold,budget_pct,corrector_name,corrector_threshold,selection_score,train_accuracy,train_balanced_accuracy,train_f1,train_tn,train_fp,train_fn,train_tp,train_routed_n,train_routed_pct,train_pass_n,train_pass_acc,train_routed_acc,train_rescue_n,train_hurt_n,train_net_rescue,old_oof_accuracy,old_oof_balanced_accuracy,old_oof_f1,old_oof_tn,old_oof_fp,old_oof_fn,old_oof_tp,old_oof_n,adapt_oof_accuracy,adapt_oof_balanced_accuracy,adapt_oof_f1,adapt_oof_tn,adapt_oof_fp,adapt_oof_fn,adapt_oof_tp,adapt_oof_n,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_routed_n,holdout_routed_pct,holdout_pass_n,holdout_pass_acc,holdout_routed_acc,holdout_rescue_n,holdout_hurt_n,holdout_net_rescue
adapt_r4_c0.0003,0.57,low_margin,0.6567177104949948,30,adapt_r2_c0.0003,0.53,0.977187391847945,0.6778711484593838,0.6812225015713388,0.6546546546546547,133,39,76,109,107,0.29971988795518206,250,0.688,0.6542056074766355,25,5,20,0.6701754385964912,0.6688829787234043,0.6209677419354839,114,30,64,77,285,0.7083333333333334,0.702922077922078,0.7529411764705882,19,9,12,32,72,0.7692307692307693,0.6925349087003223,0.4489795918367347,158,38,16,22,70,0.29914529914529914,164,0.8719512195121951,0.5285714285714286,1,14,-13
adapt_r4_c0.0003,0.57,low_margin,0.6567177104949948,30,adapt_r2_c0.0003,0.52,0.9650416573220443,0.6750700280112045,0.6781112507856695,0.6547619047619048,131,41,75,110,107,0.29971988795518206,250,0.688,0.6448598130841121,24,5,19,0.6666666666666666,0.66548463356974,0.6215139442231076,112,32,63,78,285,0.7083333333333334,0.702922077922078,0.7529411764705882,19,9,12,32,72,0.7435897435897436,0.6772287862513426,0.4230769230769231,152,44,16,22,70,0.29914529914529914,164,0.8719512195121951,0.44285714285714284,1,20,-19
adapt_r4_c0.0003,0.58,low_margin,0.6711224842071533,30,adapt_r2_c0.0003,0.53,0.9481160081970473,0.6666666666666666,0.6706159648020114,0.636085626911315,134,38,81,104,107,0.29971988795518206,250,0.684,0.6261682242990654,24,6,18,0.6596491228070176,0.6582446808510638,0.6040816326530613,114,30,67,74,285,0.6944444444444444,0.698051948051948,0.7317073170731707,20,8,14,30,72,0.7777777777777778,0.6976369495166488,0.4583333333333333,160,36,16,22,66,0.28205128205128205,168,0.8809523809523809,0.5151515151515151,1,13,-12
adapt_r4_c0.0003,0.58,low_margin,0.7661627216339111,20,adapt_r4_c0.0003,0.54,0.946217158896755,0.6638655462184874,0.6664833438089253,0.6470588235294118,127,45,75,110,72,0.20168067226890757,285,0.6736842105263158,0.625,22,5,17,0.6631578947368421,0.6622340425531915,0.627906976744186,108,36,60,81,285,0.6666666666666666,0.6688311688311688,0.7073170731707317,19,9,15,29,72,0.7564102564102564,0.6954887218045113,0.44660194174757284,154,42,15,23,49,0.2094017094017094,185,0.8540540540540541,0.3877551020408163,1,18,-17
adapt_r4_c0.0003,0.58,mixed_disagreement_margin,0.4128420571799931,20,adapt_r4_c0.0003,0.54,0.946217158896755,0.6638655462184874,0.6664833438089253,0.6470588235294118,127,45,75,110,72,0.20168067226890757,285,0.6736842105263158,0.625,22,5,17,0.6631578947368421,0.6622340425531915,0.627906976744186,108,36,60,81,285,0.6666666666666666,0.6688311688311688,0.7073170731707317,19,9,15,29,72,0.7649572649572649,0.7005907626208379,0.45544554455445546,156,40,15,23,51,0.21794871794871795,183,0.8688524590163934,0.39215686274509803,1,16,-15
adapt_r4_c0.0003,0.57,mixed_disagreement_margin,0.37131690585739924,30,adapt_r2_c0.0003,0.53,0.9444040454660673,0.6694677871148459,0.672705845380264,0.6467065868263473,131,41,77,108,107,0.29971988795518206,250,0.684,0.6355140186915887,24,7,17,0.6631578947368421,0.6619385342789599,0.616,112,32,64,77,285,0.6944444444444444,0.6915584415584416,0.7380952380952381,19,9,13,31,72,0.7777777777777778,0.6976369495166488,0.4583333333333333,160,36,16,22,66,0.28205128205128205,168,0.8630952380952381,0.5606060606060606,1,12,-11
adapt_r4_c0.0003,0.58,mixed_disagreement_margin,0.37258734087460293,30,adapt_r2_c0.0003,0.53,0.9443324431142167,0.6666666666666666,0.670411690760528,0.6382978723404256,133,39,80,105,107,0.29971988795518206,250,0.68,0.6355140186915887,25,7,18,0.656140350877193,0.6547724586288416,0.6016260162601627,113,31,67,74,285,0.7083333333333334,0.7094155844155845,0.7469879518072289,20,8,13,31,72,0.7777777777777778,0.6976369495166488,0.4583333333333333,160,36,16,22,63,0.2692307692307692,171,0.8830409356725146,0.49206349206349204,1,13,-12
adapt_r4_c0.0003,0.58,low_margin,0.6711224842071533,30,adapt_r4_c0.0003,0.54,0.9437661785045981,0.6638655462184874,0.6664833438089253,0.6470588235294118,127,45,75,110,107,0.29971988795518206,250,0.684,0.616822429906542,22,5,17,0.6631578947368421,0.6622340425531915,0.627906976744186,108,36,60,81,285,0.6666666666666666,0.6688311688311688,0.7073170731707317,19,9,15,29,72,0.7564102564102564,0.6954887218045113,0.44660194174757284,154,42,15,23,66,0.28205128205128205,168,0.8809523809523809,0.4393939393939394,1,18,-17
adapt_r4_c0.0003,0.58,mixed_disagreement_margin,0.37258734087460293,30,adapt_r4_c0.0003,0.54,0.9437661785045981,0.6638655462184874,0.6664833438089253,0.6470588235294118,127,45,75,110,107,0.29971988795518206,250,0.68,0.6261682242990654,22,5,17,0.6631578947368421,0.6622340425531915,0.627906976744186,108,36,60,81,285,0.6666666666666666,0.6688311688311688,0.7073170731707317,19,9,15,29,72,0.7564102564102564,0.6954887218045113,0.44660194174757284,154,42,15,23,63,0.2692307692307692,171,0.8830409356725146,0.4126984126984127,1,18,-17
adapt_r4_c0.0003,0.58,low_margin,0.6711224842071533,30,adapt_r2_c0.0003,0.52,0.9359702736711467,0.6638655462184874,0.6675047140163419,0.6363636363636364,132,40,80,105,107,0.29971988795518206,250,0.684,0.616822429906542,23,6,17,0.656140350877193,0.6548463356973995,0.6048387096774194,112,32,66,75,285,0.6944444444444444,0.698051948051948,0.7317073170731707,20,8,14,30,72,0.7564102564102564,0.6848818474758325,0.43564356435643564,155,41,16,22,66,0.28205128205128205,168,0.8809523809523809,0.4393939393939394,1,18,-17
