accuracy,balanced_accuracy,f1,tn,fp,fn,tp,task_l6_label,n
0.6839622641509434,0.6839622641509434,0.0,145,67,0,0,AB,212
0.5833333333333334,0.5833333333333334,0.0,7,5,0,0,B1,12
0.41379310344827586,0.41379310344827586,0.5853658536585366,0,0,17,12,B2,29
0.5849056603773585,0.5849056603773585,0.7380952380952381,0,0,22,31,TC,53
