train_config,model,eval_domain,train_domains,threshold_source,oof_selection_score,n,threshold,accuracy,balanced_accuracy,f1,tn,fp,fn,tp,high_recall,low_specificity,auc
train_old_only,logreg_l2_balanced,train_oof,old_data,train_5fold_oof_balanced_accuracy,0.5692228132387707,285,0.625,0.5719298245614035,0.5692228132387707,0.41904761904761906,119,25,97,44,0.3120567375886525,0.8263888888888888,0.5493498817966902
train_old_only,logreg_l2_balanced,new_external_160,old_data,train_5fold_oof_balanced_accuracy,0.5692228132387707,162,0.625,0.5370370370370371,0.5459893048128343,0.45255474452554745,56,21,54,31,0.36470588235294116,0.7272727272727273,0.545301757066463
train_old_only,logreg_l2_balanced,old_data,old_data,train_5fold_oof_balanced_accuracy,0.5692228132387707,285,0.625,0.6701754385964912,0.66725768321513,0.5392156862745098,136,8,86,55,0.3900709219858156,0.9444444444444444,0.7751674546887313
train_old_only,logreg_l2_balanced,strict_external,old_data,train_5fold_oof_balanced_accuracy,0.5692228132387707,108,0.625,0.5370370370370371,0.519358214161144,0.4186046511627907,40,21,29,18,0.3829787234042553,0.6557377049180327,0.5224973840251133
train_old_only,logreg_l2_balanced,third_batch,old_data,train_5fold_oof_balanced_accuracy,0.5692228132387707,306,0.625,0.6666666666666666,0.5326655052264808,0.28169014084507044,184,40,62,20,0.24390243902439024,0.8214285714285714,0.5559668989547039
train_old_only,random_forest_balanced,train_oof,old_data,train_5fold_oof_balanced_accuracy,0.5437352245862884,285,0.4149999999999999,0.5403508771929825,0.5437352245862884,0.6506666666666666,32,112,19,122,0.8652482269503546,0.2222222222222222,0.5125591016548464
train_old_only,random_forest_balanced,new_external_160,old_data,train_5fold_oof_balanced_accuracy,0.5437352245862884,162,0.4149999999999999,0.5370370370370371,0.5313216195569137,0.5945945945945946,32,45,30,55,0.6470588235294118,0.4155844155844156,0.5654698242933537
train_old_only,random_forest_balanced,old_data,old_data,train_5fold_oof_balanced_accuracy,0.5437352245862884,285,0.4149999999999999,0.7263157894736842,0.7290189125295508,0.7808988764044944,68,76,2,139,0.9858156028368794,0.4722222222222222,0.9368597320724981
train_old_only,random_forest_balanced,strict_external,old_data,train_5fold_oof_balanced_accuracy,0.5437352245862884,108,0.4149999999999999,0.4444444444444444,0.5081967213114754,0.6103896103896104,1,60,0,47,1.0,0.01639344262295082,0.5643529822113708
train_old_only,random_forest_balanced,third_batch,old_data,train_5fold_oof_balanced_accuracy,0.5437352245862884,306,0.4149999999999999,0.35294117647058826,0.5387086236933798,0.4375,31,193,5,77,0.9390243902439024,0.13839285714285715,0.5531903310104529
train_old_only,extra_trees_balanced,train_oof,old_data,train_5fold_oof_balanced_accuracy,0.563312647754137,285,0.4649999999999999,0.5614035087719298,0.563312647754137,0.6268656716417911,55,89,36,105,0.7446808510638298,0.3819444444444444,0.5440799842395587
train_old_only,extra_trees_balanced,new_external_160,old_data,train_5fold_oof_balanced_accuracy,0.563312647754137,162,0.4649999999999999,0.5740740740740741,0.5721161191749427,0.6011560693641619,41,36,33,52,0.611764705882353,0.5324675324675324,0.5709702062643238
train_old_only,extra_trees_balanced,old_data,old_data,train_5fold_oof_balanced_accuracy,0.563312647754137,285,0.4649999999999999,0.6912280701754386,0.6931146572104019,0.7365269461077845,74,70,18,123,0.8723404255319149,0.5138888888888888,0.8368301812450748
train_old_only,extra_trees_balanced,strict_external,old_data,train_5fold_oof_balanced_accuracy,0.563312647754137,108,0.4649999999999999,0.42592592592592593,0.4869201255667946,0.5921052631578947,1,60,2,45,0.9574468085106383,0.01639344262295082,0.5364492500871991
train_old_only,extra_trees_balanced,third_batch,old_data,train_5fold_oof_balanced_accuracy,0.563312647754137,306,0.4649999999999999,0.32679738562091504,0.4937935540069686,0.4046242774566474,30,194,12,70,0.8536585365853658,0.13392857142857142,0.5590701219512195
train_old_plus_third,logreg_l2_balanced,train_oof,"old_data,third_batch",train_5fold_oof_balanced_accuracy,0.5602273835055567,591,0.48999999999999994,0.5634517766497462,0.5602273835055567,0.4860557768924303,211,157,101,122,0.547085201793722,0.5733695652173914,0.5672523883798011
train_old_plus_third,logreg_l2_balanced,new_external_160,"old_data,third_batch",train_5fold_oof_balanced_accuracy,0.5602273835055567,162,0.48999999999999994,0.5061728395061729,0.4957983193277311,0.6,22,55,25,60,0.7058823529411765,0.2857142857142857,0.5640947288006112
