fold_id,best_epoch,best_val_selection_metric,test_case_mean_primary_metric,test_case_mean_accuracy,test_case_mean_balanced_accuracy
1,6,0.7070921985815602,0.7983333333333333,0.6991869918699187,0.7008333333333334
2,3,0.6902325581395349,0.7194326241134753,0.639344262295082,0.6629787234042553
3,2,0.6631092704683019,0.7711627906976743,0.635593220338983,0.6984496124031008
4,1,0.7,0.6791971965594138,0.603448275862069,0.5798024848677923
5,3,0.7008333333333334,0.7503401360544218,0.7053571428571429,0.6880952380952381
