group,n,auc,accuracy,balanced_accuracy,f1,sensitivity,specificity,tn,fp,fn,tp
overall,285,0.8313632781717888,0.8070175438596491,0.8065159574468085,0.7955390334572491,0.7588652482269503,0.8541666666666666,123,21,34,107
difficulty_fine=easy,151,0.9882414882414883,0.9602649006622517,0.9602492102492102,0.9594594594594594,0.9594594594594594,0.961038961038961,74,3,3,71
difficulty_fine=hard_core,65,0.27798861480075904,0.4307692307692308,0.43311195445920303,0.4126984126984127,0.38235294117647056,0.4838709677419355,15,16,21,13
difficulty_fine=hard_salvage_teacher,34,0.6807017543859649,0.7352941176470589,0.7070175438596491,0.6086956521739131,0.4666666666666667,0.9473684210526315,18,1,8,7
difficulty_fine=medium,35,0.9150326797385621,0.9142857142857143,0.9150326797385621,0.9142857142857143,0.8888888888888888,0.9411764705882353,16,1,2,16
