split,level,aggregation,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
test_oof,case,mean,0.7488058100994345,0.7055837563451777,0.6876096705010724,0.6143497757847534,0.7608695652173914,0.6088888888888889,0.6116071428571429,280,88,86,137
test_oof:batch1,case,mean,0.7891812865497075,0.7521367521367521,0.7521929824561404,0.7543859649122807,0.75,0.7413793103448276,0.7478260869565218,45,15,14,43
test_oof:batch2,case,mean,0.679705215419501,0.6369047619047619,0.6369047619047619,0.6071428571428571,0.6666666666666666,0.6455696202531646,0.6257668711656442,56,28,33,51
test_oof:third_batch_adapt72_highfocus,case,mean,0.7451298701298702,0.6666666666666666,0.6883116883116883,0.5909090909090909,0.7857142857142857,0.8125,0.6842105263157895,22,6,18,26
test_oof:third_batch_holdout,case,mean,0.7220730397422126,0.7435897435897436,0.6241944146079484,0.4473684210526316,0.8010204081632653,0.30357142857142855,0.3617021276595745,157,39,21,17
test_oof:old,case,mean,0.7286741528762806,0.6842105263157895,0.6840277777777777,0.6666666666666666,0.7013888888888888,0.6861313868613139,0.6762589928057554,101,43,47,94
test_oof:third,case,mean,0.7440113240418118,0.7254901960784313,0.6617486933797909,0.524390243902439,0.7991071428571429,0.48863636363636365,0.5058823529411764,179,45,39,43
