hard_detector,corrector,recall_target,corrector_scope,hard_auc,pass_n,pass_frac,hardlike_n,hardlike_frac,pass_accuracy,pass_hard_contamination,hard_recall_in_hardlike,hard_precision_in_hardlike,base_accuracy,base_balanced_accuracy,final_accuracy,final_balanced_accuracy,final_specificity_low,final_sensitivity_high,final_tn,final_fp,final_fn,final_tp,hardcore_base_accuracy,hardcore_final_accuracy,hardlike_base_accuracy,hardlike_final_accuracy,rescued_total,hurt_total,rescued_hardcore,hurt_hardcore
hard_extra,corr_extra,0.8,pred_hardlike_train,0.6319580419580421,77,0.27017543859649124,208,0.7298245614035088,0.8441558441558441,0.15584415584415584,0.8153846153846154,0.2548076923076923,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7685431442080378,0.7569444444444444,0.7801418439716312,109,35,31,110,0.27692307692307694,0.27692307692307694,0.7403846153846154,0.7403846153846154,1,1,0,0
hard_rf,corr_extra,0.95,pred_hardlike_train,0.6334965034965034,20,0.07017543859649122,265,0.9298245614035088,0.85,0.15,0.9538461538461539,0.2339622641509434,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.27692307692307694,0.26153846153846155,0.7622641509433963,0.7622641509433963,1,1,0,1
hard_rf,corr_extra,0.95,all_train,0.6334965034965034,20,0.07017543859649122,265,0.9298245614035088,0.85,0.15,0.9538461538461539,0.2339622641509434,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.27692307692307694,0.26153846153846155,0.7622641509433963,0.7622641509433963,1,1,0,1
hard_logreg,corr_extra,0.95,all_train,0.5682517482517482,19,0.06666666666666667,266,0.9333333333333333,0.8421052631578947,0.21052631578947367,0.9384615384615385,0.22932330827067668,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.27692307692307694,0.26153846153846155,0.7631578947368421,0.7631578947368421,1,1,0,1
hard_extra,corr_extra,0.95,pred_hardlike_train,0.6319580419580421,23,0.08070175438596491,262,0.9192982456140351,0.8260869565217391,0.17391304347826086,0.9384615384615385,0.23282442748091603,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.27692307692307694,0.26153846153846155,0.7633587786259542,0.7633587786259542,1,1,0,1
hard_extra,corr_extra,0.95,all_train,0.6319580419580421,23,0.08070175438596491,262,0.9192982456140351,0.8260869565217391,0.17391304347826086,0.9384615384615385,0.23282442748091603,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.27692307692307694,0.26153846153846155,0.7633587786259542,0.7633587786259542,1,1,0,1
hard_extra,corr_extra,0.9,pred_hardlike_train,0.6319580419580421,40,0.14035087719298245,245,0.8596491228070176,0.875,0.125,0.9230769230769231,0.24489795918367346,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.27692307692307694,0.26153846153846155,0.7510204081632653,0.7510204081632653,1,1,0,1
hard_extra,corr_extra,0.9,all_train,0.6319580419580421,40,0.14035087719298245,245,0.8596491228070176,0.875,0.125,0.9230769230769231,0.24489795918367346,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.27692307692307694,0.26153846153846155,0.7510204081632653,0.7510204081632653,1,1,0,1
hard_rf,corr_extra,0.9,pred_hardlike_train,0.6334965034965034,65,0.22807017543859648,220,0.7719298245614035,0.9230769230769231,0.09230769230769231,0.9076923076923077,0.2681818181818182,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.27692307692307694,0.26153846153846155,0.7227272727272728,0.7227272727272728,1,1,0,1
hard_rf,corr_extra,0.9,all_train,0.6334965034965034,65,0.22807017543859648,220,0.7719298245614035,0.9230769230769231,0.09230769230769231,0.9076923076923077,0.2681818181818182,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.7638888888888888,0.7730496453900709,110,34,32,109,0.27692307692307694,0.26153846153846155,0.7227272727272728,0.7227272727272728,1,1,0,1
