run,n,accuracy,balanced_accuracy,auc,f1,tn,fp,fn,tp,high_recall,low_specificity
avg_105_126_149,162,0.6975308641975309,0.6946524064171122,0.7271199388846449,0.7231638418079096,49,28,21,64,0.7529411764705882,0.6363636363636364
max_105_126_149,162,0.691358024691358,0.6875477463712758,0.7283422459893047,0.7222222222222222,47,30,20,65,0.7647058823529411,0.6103896103896104
median_105_126_149,162,0.6851851851851852,0.6822765469824293,0.7254392666157372,0.711864406779661,48,29,22,63,0.7411764705882353,0.6233766233766234
min_105_126_149,162,0.6790123456790124,0.678838808250573,0.722077922077922,0.6904761904761905,52,25,27,58,0.6823529411764706,0.6753246753246753
avg_105_149,162,0.6790123456790124,0.6770053475935829,0.7245225362872422,0.7011494252873564,49,28,24,61,0.7176470588235294,0.6363636363636364
