run,threshold_rule,threshold,dev_oof_bacc_at_threshold,n,accuracy,balanced_accuracy,auc,f1,tn,fp,fn,tp,high_recall,low_specificity
126_qkvb_headonly_tta4,dev_oof_bacc,0.5099999999999999,0.7233500682394229,162,0.6851851851851852,0.6816653934300994,0.7291061879297174,0.7150837988826816,47,30,21,64,0.7529411764705882,0.6103896103896104
149_qkvb_stylelight_tta4,dev_oof_bacc,0.4799999999999999,0.6899249366348217,162,0.6728395061728395,0.6711229946524064,0.7242169595110772,0.6936416184971098,49,28,25,60,0.7058823529411765,0.6363636363636364
105_qkvb_tta4,dev_oof_bacc,0.4699999999999999,0.7213150711639695,162,0.6728395061728395,0.6686783804430863,0.7219251336898396,0.7071823204419889,45,32,21,64,0.7529411764705882,0.5844155844155844
140_convnext_tta4,dev_oof_bacc,0.5249999999999999,0.6770142815363618,162,0.5679012345679012,0.5637891520244461,0.6768525592055005,0.6111111111111112,37,40,30,55,0.6470588235294118,0.4805194805194805
149_qkvb_stylelight_tta4,fixed_0.5,0.5,,162,0.6851851851851852,0.6847211611917494,0.7242169595110772,0.6982248520710059,52,25,26,59,0.6941176470588235,0.6753246753246753
105_qkvb_tta4,fixed_0.5,0.5,,162,0.6851851851851852,0.6822765469824293,0.7219251336898396,0.711864406779661,48,29,22,63,0.7411764705882353,0.6233766233766234
126_qkvb_headonly_tta4,fixed_0.5,0.5,,162,0.6851851851851852,0.6816653934300994,0.7291061879297174,0.7150837988826816,47,30,21,64,0.7529411764705882,0.6103896103896104
140_convnext_tta4,fixed_0.5,0.5,,162,0.5925925925925926,0.586096256684492,0.6768525592055005,0.648936170212766,35,42,24,61,0.7176470588235294,0.45454545454545453
