gate_score,target,scope,accept_n,review_n,choices,acc,bacc,sens,spec,tn,fp,fn,tp,rescued,hurt,rescued_fn,hard_acc,hard_rescued,hard_hurt
upper_low_conf,0.9,review_train,100,185,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
upper_low_conf,0.9,all_train,100,185,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
upper_low_conf,0.95,review_train,58,227,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
upper_low_conf,0.95,all_train,58,227,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
hybrid_max_allrange_fn,0.9,review_train,13,272,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
hybrid_max_allrange_fn,0.9,all_train,13,272,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
hybrid_max_allrange_fn,0.95,review_train,0,285,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
hybrid_max_allrange_fn,0.95,all_train,0,285,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
all_range,0.9,review_train,21,264,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
all_range,0.9,all_train,21,264,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
all_range,0.95,review_train,4,281,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
all_range,0.95,all_train,4,281,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
hybrid_overall_then_fn,0.9,review_train,30,255,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
hybrid_overall_then_fn,0.9,all_train,30,255,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
hybrid_overall_then_fn,0.95,review_train,21,264,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
hybrid_overall_then_fn,0.95,all_train,21,264,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
hybrid_mean_all_std_abs_fn,0.9,review_train,34,251,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
hybrid_mean_all_std_abs_fn,0.9,all_train,34,251,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
hybrid_mean_all_std_abs_fn,0.95,review_train,20,265,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
hybrid_mean_all_std_abs_fn,0.95,all_train,20,265,1:main;2:upper;3:upper;4:upper;5:upper,0.7649122807017544,0.7649231678486997,0.7659574468085106,0.7638888888888888,110,34,33,108,0,1,0,0.26153846153846155,0,1
