n,accuracy,balanced_accuracy,f1,tn,fp,fn,tp,sensitivity_high,specificity_low,auc,rescue_source,rescue_threshold,base_prob_min,gap_min,use_veto,veto_threshold,veto_base_prob_max,subset,routed_n
108,0.6203703703703703,0.6028950122078829,0.5176470588235295,45,16,25,22,0.46808510638297873,0.7377049180327869,0.6013254272758981,mean,0.75,0.52,0.0,False,0.0,0.72,all,1
105,0.6095238095238096,0.5961115187087307,0.5176470588235295,42,16,25,22,0.46808510638297873,0.7241379310344828,0.5964783565663977,mean,0.75,0.52,0.0,False,0.0,0.72,strict,1
