accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,fold_id,threshold,inner_accuracy,inner_balanced_accuracy,inner_auc,inner_f1,inner_sensitivity,inner_specificity,inner_tn,inner_fp,inner_fn,inner_tp,feature_set,model,threshold_mode
0.8421052631578947,0.8405172413793103,0.873152709359606,0.8571428571428571,0.9310344827586207,0.75,21,7,2,27,1,0.495,0.8245614035087719,0.8235837438423645,0.8205818965517242,0.8113207547169812,0.7678571428571429,0.8793103448275862,102,14,26,86,candidates_only,logreg_c003,bacc
0.7719298245614035,0.7690886699507389,0.7746305418719213,0.723404255319149,0.6071428571428571,0.9310344827586207,27,2,11,17,2,0.39,0.8464912280701754,0.8465948441708349,0.8500192381685263,0.8471615720524017,0.8584070796460177,0.8347826086956521,96,19,16,97,candidates_only,logreg_c003,bacc
0.8245614035087719,0.8238916256157636,0.8485221674876848,0.8148148148148148,0.7857142857142857,0.8620689655172413,25,4,6,22,3,0.42500000000000004,0.8333333333333334,0.8331666025394382,0.8263947672181606,0.8288288288288288,0.8141592920353983,0.8521739130434782,98,17,21,92,candidates_only,logreg_c003,bacc
0.8245614035087719,0.8245073891625616,0.8165024630541872,0.8214285714285714,0.8214285714285714,0.8275862068965517,24,5,5,23,4,0.46499999999999997,0.8333333333333334,0.8330896498653328,0.8309349749903809,0.8272727272727273,0.8053097345132744,0.8608695652173913,99,16,22,91,candidates_only,logreg_c003,bacc
0.8947368421052632,0.8947044334975369,0.9273399014778325,0.8928571428571429,0.8928571428571429,0.896551724137931,26,3,3,25,5,0.475,0.8157894736842105,0.815544440169296,0.8053097345132743,0.8090909090909091,0.7876106194690266,0.8434782608695652,97,18,24,89,candidates_only,logreg_c003,bacc
0.8421052631578947,0.8405172413793103,0.873152709359606,0.8571428571428571,0.9310344827586207,0.75,21,7,2,27,1,0.495,0.8245614035087719,0.8235837438423645,0.8205818965517242,0.8113207547169812,0.7678571428571429,0.8793103448275862,102,14,26,86,candidates_only,logreg_c003,acc
0.7719298245614035,0.7690886699507389,0.7746305418719213,0.723404255319149,0.6071428571428571,0.9310344827586207,27,2,11,17,2,0.39,0.8464912280701754,0.8465948441708349,0.8500192381685263,0.8471615720524017,0.8584070796460177,0.8347826086956521,96,19,16,97,candidates_only,logreg_c003,acc
0.8245614035087719,0.8238916256157636,0.8485221674876848,0.8148148148148148,0.7857142857142857,0.8620689655172413,25,4,6,22,3,0.42500000000000004,0.8333333333333334,0.8331666025394382,0.8263947672181606,0.8288288288288288,0.8141592920353983,0.8521739130434782,98,17,21,92,candidates_only,logreg_c003,acc
0.8245614035087719,0.8245073891625616,0.8165024630541872,0.8214285714285714,0.8214285714285714,0.8275862068965517,24,5,5,23,4,0.46499999999999997,0.8333333333333334,0.8330896498653328,0.8309349749903809,0.8272727272727273,0.8053097345132744,0.8608695652173913,99,16,22,91,candidates_only,logreg_c003,acc
0.8947368421052632,0.8947044334975369,0.9273399014778325,0.8928571428571429,0.8928571428571429,0.896551724137931,26,3,3,25,5,0.475,0.8157894736842105,0.815544440169296,0.8053097345132743,0.8090909090909091,0.7876106194690266,0.8434782608695652,97,18,24,89,candidates_only,logreg_c003,acc
0.8421052631578947,0.8405172413793103,0.873152709359606,0.8571428571428571,0.9310344827586207,0.75,21,7,2,27,1,0.495,0.8245614035087719,0.8235837438423645,0.8205818965517242,0.8113207547169812,0.7678571428571429,0.8793103448275862,102,14,26,86,candidates_only,logreg_c003,f1
0.7719298245614035,0.7690886699507389,0.7746305418719213,0.723404255319149,0.6071428571428571,0.9310344827586207,27,2,11,17,2,0.39,0.8464912280701754,0.8465948441708349,0.8500192381685263,0.8471615720524017,0.8584070796460177,0.8347826086956521,96,19,16,97,candidates_only,logreg_c003,f1
0.8245614035087719,0.8238916256157636,0.8485221674876848,0.8148148148148148,0.7857142857142857,0.8620689655172413,25,4,6,22,3,0.42500000000000004,0.8333333333333334,0.8331666025394382,0.8263947672181606,0.8288288288288288,0.8141592920353983,0.8521739130434782,98,17,21,92,candidates_only,logreg_c003,f1
0.8245614035087719,0.8245073891625616,0.8165024630541872,0.8214285714285714,0.8214285714285714,0.8275862068965517,24,5,5,23,4,0.46499999999999997,0.8333333333333334,0.8330896498653328,0.8309349749903809,0.8272727272727273,0.8053097345132744,0.8608695652173913,99,16,22,91,candidates_only,logreg_c003,f1
