accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,model,threshold_mode,feature_set
0.8315789473684211,0.8314125295508275,0.8286298266351458,0.8273381294964028,0.8156028368794326,0.8472222222222222,122,22,26,115,rf_d3_l8,bacc,candidates_only
0.8315789473684211,0.8314125295508275,0.8286298266351458,0.8273381294964028,0.8156028368794326,0.8472222222222222,122,22,26,115,rf_d3_l8,acc,candidates_only
0.8315789473684211,0.8313386524822695,0.8282604412923563,0.8260869565217391,0.8085106382978723,0.8541666666666666,123,21,27,114,logreg_c003,bacc,candidates_only
0.8315789473684211,0.8313386524822695,0.8282604412923563,0.8260869565217391,0.8085106382978723,0.8541666666666666,123,21,27,114,logreg_c003,acc,candidates_only
0.8315789473684211,0.8313386524822695,0.8282604412923563,0.8260869565217391,0.8085106382978723,0.8541666666666666,123,21,27,114,logreg_c003,f1,candidates_only
0.8280701754385965,0.8279403073286051,0.8359436564223799,0.8243727598566308,0.8156028368794326,0.8402777777777778,121,23,26,115,logreg_c03,bacc_sens80,candidates_only
0.8280701754385965,0.8279403073286051,0.8359436564223799,0.8243727598566308,0.8156028368794326,0.8402777777777778,121,23,26,115,logreg_c03,acc_sens80,candidates_only
0.8280701754385965,0.8279403073286051,0.8286298266351458,0.8243727598566308,0.8156028368794326,0.8402777777777778,121,23,26,115,rf_d3_l8,f1,candidates_only
0.8280701754385965,0.8279403073286051,0.8286298266351458,0.8243727598566308,0.8156028368794326,0.8402777777777778,121,23,26,115,rf_d3_l8,bacc_sens80,candidates_only
0.8280701754385965,0.8279403073286051,0.8286298266351458,0.8243727598566308,0.8156028368794326,0.8402777777777778,121,23,26,115,rf_d3_l8,acc_sens80,candidates_only
0.8280701754385965,0.8278664302600472,0.8359436564223799,0.8231046931407943,0.8085106382978723,0.8472222222222222,122,22,27,114,logreg_c03,bacc,candidates_only
0.8280701754385965,0.8278664302600472,0.8359436564223799,0.8231046931407943,0.8085106382978723,0.8472222222222222,122,22,27,114,logreg_c03,acc,candidates_only
0.8280701754385965,0.8278664302600472,0.8359436564223799,0.8231046931407943,0.8085106382978723,0.8472222222222222,122,22,27,114,logreg_c03,f1,candidates_only
0.8280701754385965,0.8278664302600472,0.8282604412923563,0.8231046931407943,0.8085106382978723,0.8472222222222222,122,22,27,114,logreg_c003,bacc_sens80,candidates_only
0.8280701754385965,0.8278664302600472,0.8282604412923563,0.8231046931407943,0.8085106382978723,0.8472222222222222,122,22,27,114,logreg_c003,acc_sens80,candidates_only
0.8245614035087719,0.8243203309692672,0.8252561071710007,0.8188405797101449,0.8014184397163121,0.8472222222222222,122,22,28,113,rf_d3_l8,f1,candidates_plus_raw_outputs
0.8210526315789474,0.8209958628841607,0.8319050433412136,0.8185053380782918,0.8156028368794326,0.8263888888888888,119,25,26,115,gb_d2_lr03,bacc,candidates_only
