model_tag,domain,group,n,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
123_qkvb_nocw,new_external_160,overall,162,0.7289533995416348,0.6728395061728395,0.6741787624140565,0.6470588235294118,0.7012987012987013,0.7051282051282052,0.6748466257668712,54,23,30,55
123_qkvb_nocw,strict_external,overall,108,0.6431810254621555,0.6018518518518519,0.6182420648761772,0.7446808510638298,0.4918032786885246,0.5303030303030303,0.6194690265486725,30,31,12,35
137_qkvb_classsampler_nocw,new_external_160,overall,162,0.7327731092436974,0.6790123456790124,0.6763941940412528,0.7294117647058823,0.6233766233766234,0.6813186813186813,0.7045454545454546,48,29,23,62
137_qkvb_classsampler_nocw,strict_external,overall,108,0.6222532263690268,0.5648148148148148,0.6001046389954656,0.8723404255319149,0.3278688524590163,0.5,0.6356589147286822,20,41,6,41
168_qkvb_seed20260525,new_external_160,overall,162,0.7229946524064171,0.6851851851851852,0.6841100076394194,0.7058823529411765,0.6623376623376623,0.6976744186046512,0.7017543859649122,51,26,25,60
168_qkvb_seed20260525,strict_external,overall,108,0.65364492500872,0.5648148148148148,0.5927799093128705,0.8085106382978723,0.3770491803278688,0.5,0.6178861788617886,23,38,9,38
201_subtypeaux_lowrisk,new_external_160,overall,162,0.7239113827349122,0.6790123456790124,0.678838808250573,0.6823529411764706,0.6753246753246753,0.6987951807228916,0.6904761904761905,52,25,27,58
201_subtypeaux_lowrisk,strict_external,overall,108,0.6442274154168119,0.5740740740740741,0.5936519009417509,0.7446808510638298,0.4426229508196721,0.5072463768115942,0.603448275862069,27,34,12,35
