name,n,mean_weight,mean_weight_soft
all,591,1.86082910321489,1.343130287648054
old,285,1.4166666666666667,1.1602807017543857
third,306,2.274509803921569,1.5134313725490194
safe_core,214,1.5761682242990656,1.223177570093458
hard_error,74,3.1358108108108116,1.9312162162162159
domain_focus,384,2.205078125,1.4812760416666666
