feature_model,input_variant,image_size,estimator,weight_mode,objective,all_threshold,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_sensitivity_high,all_specificity_low,all_auc,old_threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity_high,old_specificity_low,old_auc,third_threshold,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity_high,third_specificity_low,third_auc,selection_score,old_guard_090,old_guard_092
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_bal_c0.3,none,balanced_accuracy,0.30499999999999994,0.6463620981387479,0.6709763111717684,0.6220614828209765,210,158,51,172,0.7713004484304933,0.5706521739130435,0.727395691167869,0.30499999999999994,0.6912280701754386,0.6924497635933806,0.7215189873417721,83,61,27,114,0.8085106382978723,0.5763888888888888,0.7597025216706067,0.30499999999999994,0.6045751633986928,0.6371406794425087,0.48945147679324896,127,97,24,58,0.7073170731707317,0.5669642857142857,0.6689351045296167,0.4492658498010318,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_bal_c0.3,label,balanced_accuracy,0.30499999999999994,0.6463620981387479,0.6709763111717684,0.6220614828209765,210,158,51,172,0.7713004484304933,0.5706521739130435,0.727395691167869,0.30499999999999994,0.6912280701754386,0.6924497635933806,0.7215189873417721,83,61,27,114,0.8085106382978723,0.5763888888888888,0.7597025216706067,0.30499999999999994,0.6045751633986928,0.6371406794425087,0.48945147679324896,127,97,24,58,0.7073170731707317,0.5669642857142857,0.6688806620209059,0.4492658498010318,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_plain_c0.3,label,balanced_accuracy,0.30499999999999994,0.6463620981387479,0.6709763111717684,0.6220614828209765,210,158,51,172,0.7713004484304933,0.5706521739130435,0.727395691167869,0.30499999999999994,0.6912280701754386,0.6924497635933806,0.7215189873417721,83,61,27,114,0.8085106382978723,0.5763888888888888,0.7597025216706067,0.30499999999999994,0.6045751633986928,0.6371406794425087,0.48945147679324896,127,97,24,58,0.7073170731707317,0.5669642857142857,0.6689351045296167,0.4492658498010318,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_plain_c0.1,domain_label,balanced_accuracy,0.32499999999999996,0.6412859560067682,0.6677836810294404,0.6200716845878136,206,162,50,173,0.7757847533632287,0.5597826086956522,0.7298084421914603,0.32499999999999996,0.6842105263157895,0.6855791962174941,0.71875,80,64,26,115,0.8156028368794326,0.5555555555555556,0.7630516154452324,0.32499999999999996,0.6013071895424836,0.6349085365853658,0.48739495798319327,126,98,24,58,0.7073170731707317,0.5625,0.6693162020905923,0.4374603893283021,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_plain_c0.1,domain_label,high_sensitivity,0.26499999999999996,0.6311336717428088,0.6675826184441411,0.6254295532646048,191,177,41,182,0.8161434977578476,0.5190217391304348,0.7298084421914603,0.26499999999999996,0.6877192982456141,0.6894946808510638,0.7311178247734139,75,69,20,121,0.8581560283687943,0.5208333333333334,0.7630516154452324,0.26499999999999996,0.5784313725490197,0.6308797909407666,0.4860557768924303,116,108,21,61,0.7439024390243902,0.5178571428571429,0.6693162020905923,0.43706177394209,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_bal_c0.1,domain_label,balanced_accuracy,0.31999999999999995,0.6395939086294417,0.6664249853772666,0.6189624329159212,205,163,50,173,0.7757847533632287,0.5570652173913043,0.7299181126925325,0.31999999999999995,0.6842105263157895,0.6855791962174941,0.71875,80,64,26,115,0.8156028368794326,0.5555555555555556,0.7630023640661938,0.31999999999999995,0.5980392156862745,0.6326763937282229,0.48535564853556484,125,99,24,58,0.7073170731707317,0.5580357142857143,0.6694795296167246,0.4361371516999174,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_bal_c0.3,none,high_sensitivity,0.245,0.6345177664974619,0.6676496393059076,0.6236933797909407,196,172,44,179,0.8026905829596412,0.532608695652174,0.727395691167869,0.245,0.6842105263157895,0.6858008274231678,0.7239263803680982,77,67,23,118,0.8368794326241135,0.5347222222222222,0.7597025216706067,0.245,0.5882352941176471,0.6375762195121951,0.49193548387096775,119,105,21,61,0.7439024390243902,0.53125,0.6689351045296167,0.4357128044830857,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_bal_c0.3,label,high_sensitivity,0.245,0.6345177664974619,0.6676496393059076,0.6236933797909407,196,172,44,179,0.8026905829596412,0.532608695652174,0.727395691167869,0.245,0.6842105263157895,0.6858008274231678,0.7239263803680982,77,67,23,118,0.8368794326241135,0.5347222222222222,0.7597025216706067,0.245,0.5882352941176471,0.6375762195121951,0.49193548387096775,119,105,21,61,0.7439024390243902,0.53125,0.6688806620209059,0.4357128044830857,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_plain_c0.3,label,high_sensitivity,0.245,0.6345177664974619,0.6676496393059076,0.6236933797909407,196,172,44,179,0.8026905829596412,0.532608695652174,0.727395691167869,0.245,0.6842105263157895,0.6858008274231678,0.7239263803680982,77,67,23,118,0.8368794326241135,0.5347222222222222,0.7597025216706067,0.245,0.5882352941176471,0.6375762195121951,0.49193548387096775,119,105,21,61,0.7439024390243902,0.53125,0.6689351045296167,0.4357128044830857,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_plain_c0.1,none,high_sensitivity,0.195,0.6294416243654822,0.6653404659777735,0.6230636833046471,191,177,42,181,0.8116591928251121,0.5190217391304348,0.7322333788262818,0.195,0.6842105263157895,0.6858747044917257,0.725609756097561,76,68,22,119,0.8439716312056738,0.5277777777777778,0.7634948778565801,0.195,0.5784313725490197,0.6347452090592334,0.4901185770750988,115,109,20,62,0.7560975609756098,0.5133928571428571,0.67323606271777,0.43292488015403907,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_plain_c0.03,domain_label_third_up,balanced_accuracy,0.3549999999999999,0.6395939086294417,0.6699588126340417,0.6243386243386243,201,167,46,177,0.7937219730941704,0.5461956521739131,0.7258603041528563,0.3549999999999999,0.6771929824561403,0.6786347517730495,0.7142857142857143,78,66,26,115,0.8156028368794326,0.5416666666666666,0.7480299448384554,0.3549999999999999,0.6045751633986928,0.6526023519163764,0.5061224489795918,123,101,20,62,0.7560975609756098,0.5491071428571429,0.6799869337979094,0.4329177427339348,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_bal_c0.1,domain_label,high_sensitivity,0.25999999999999995,0.6294416243654822,0.6662239227919673,0.6243567753001715,190,178,41,182,0.8161434977578476,0.5163043478260869,0.7299181126925325,0.25999999999999995,0.6842105263157895,0.6860224586288416,0.7289156626506024,74,70,20,121,0.8581560283687943,0.5138888888888888,0.7630023640661938,0.25999999999999995,0.5784313725490197,0.6308797909407666,0.4860557768924303,116,108,21,61,0.7439024390243902,0.5178571428571429,0.6694795296167246,0.43180958095963373,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_plain_c0.3,domain_label,balanced_accuracy,0.245,0.6345177664974619,0.6685330961201014,0.625,195,173,43,180,0.8071748878923767,0.529891304347826,0.7277978163384676,0.245,0.6807017543859649,0.6824024822695036,0.723404255319149,75,69,22,119,0.8439716312056738,0.5208333333333334,0.7611800630417651,0.245,0.5915032679738562,0.639808362369338,0.4939271255060729,120,104,21,61,0.7439024390243902,0.5357142857142857,0.6669751742160279,0.4318060122495816,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_plain_c0.3,domain_label,high_sensitivity,0.245,0.6345177664974619,0.6685330961201014,0.625,195,173,43,180,0.8071748878923767,0.529891304347826,0.7277978163384676,0.245,0.6807017543859649,0.6824024822695036,0.723404255319149,75,69,22,119,0.8439716312056738,0.5208333333333334,0.7611800630417651,0.245,0.5915032679738562,0.639808362369338,0.4939271255060729,120,104,21,61,0.7439024390243902,0.5357142857142857,0.6669751742160279,0.4318060122495816,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_bal_c0.3,domain_label,high_sensitivity,0.24,0.6328257191201354,0.6671744004679274,0.6239168110918544,194,174,43,180,0.8071748878923767,0.5271739130434783,0.7279562292844609,0.24,0.6807017543859649,0.6824024822695036,0.723404255319149,75,69,22,119,0.8439716312056738,0.5208333333333334,0.7613770685579196,0.24,0.5882352941176471,0.6375762195121951,0.49193548387096775,119,105,21,61,0.7439024390243902,0.53125,0.666920731707317,0.4304827746211969,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_bal_c0.3,domain_label_third_up,high_sensitivity,0.27499999999999997,0.6429780033840947,0.6700258334958082,0.6225402504472272,206,162,49,174,0.7802690582959642,0.5597826086956522,0.7229357574575941,0.27499999999999997,0.6736842105263158,0.6750147754137117,0.7084639498432602,79,65,28,113,0.8014184397163121,0.5486111111111112,0.7476359338061466,0.27499999999999997,0.6143790849673203,0.655433362369338,0.5083333333333333,127,97,21,61,0.7439024390243902,0.5669642857142857,0.6757948606271778,0.4304313109599579,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_bal_c0.1,none,high_sensitivity,0.26999999999999996,0.6311336717428088,0.6666991616299474,0.6241379310344828,192,176,42,181,0.8116591928251121,0.5217391304347826,0.7291016767401052,0.26999999999999996,0.6807017543859649,0.6824024822695036,0.723404255319149,75,69,22,119,0.8439716312056738,0.5208333333333334,0.7605397951142633,0.26999999999999996,0.5849673202614379,0.6392094947735192,0.4940239043824701,117,107,20,62,0.7560975609756098,0.5223214285714286,0.6713305749128919,0.43031916242835233,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_bal_c0.1,label,high_sensitivity,0.26999999999999996,0.6311336717428088,0.6666991616299474,0.6241379310344828,192,176,42,181,0.8116591928251121,0.5217391304347826,0.7291138623513355,0.26999999999999996,0.6807017543859649,0.6824024822695036,0.723404255319149,75,69,22,119,0.8439716312056738,0.5208333333333334,0.7605397951142633,0.26999999999999996,0.5849673202614379,0.6392094947735192,0.4940239043824701,117,107,20,62,0.7560975609756098,0.5223214285714286,0.6713850174216028,0.43031916242835233,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_plain_c0.1,label,high_sensitivity,0.26999999999999996,0.6311336717428088,0.6666991616299474,0.6241379310344828,192,176,42,181,0.8116591928251121,0.5217391304347826,0.7291016767401052,0.26999999999999996,0.6807017543859649,0.6824024822695036,0.723404255319149,75,69,22,119,0.8439716312056738,0.5208333333333334,0.7605397951142633,0.26999999999999996,0.5849673202614379,0.6392094947735192,0.4940239043824701,117,107,20,62,0.7560975609756098,0.5223214285714286,0.6713305749128919,0.43031916242835233,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_bal_c0.1,domain_label_third_up,balanced_accuracy,0.30999999999999994,0.6412859560067682,0.6704340514720217,0.624113475177305,203,165,47,176,0.7892376681614349,0.5516304347826086,0.7246661142522908,0.30999999999999994,0.6736842105263158,0.6750886524822695,0.7102803738317757,78,66,27,114,0.8085106382978723,0.5416666666666666,0.7499507486209613,0.30999999999999994,0.6111111111111112,0.657066637630662,0.5102880658436214,125,99,20,62,0.7560975609756098,0.5580357142857143,0.6779725609756099,0.4302898618876805,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_bal_c0.1,domain_label_third_up,high_sensitivity,0.30999999999999994,0.6412859560067682,0.6704340514720217,0.624113475177305,203,165,47,176,0.7892376681614349,0.5516304347826086,0.7246661142522908,0.30999999999999994,0.6736842105263158,0.6750886524822695,0.7102803738317757,78,66,27,114,0.8085106382978723,0.5416666666666666,0.7499507486209613,0.30999999999999994,0.6111111111111112,0.657066637630662,0.5102880658436214,125,99,20,62,0.7560975609756098,0.5580357142857143,0.6779725609756099,0.4302898618876805,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_plain_c0.1,domain_label_third_up,high_sensitivity,0.295,0.6412859560067682,0.6704340514720217,0.624113475177305,203,165,47,176,0.7892376681614349,0.5516304347826086,0.7257262624293235,0.295,0.6736842105263158,0.6750886524822695,0.7102803738317757,78,66,27,114,0.8085106382978723,0.5416666666666666,0.7508865248226949,0.295,0.6111111111111112,0.657066637630662,0.5102880658436214,125,99,20,62,0.7560975609756098,0.5580357142857143,0.6782992160278747,0.4302898618876805,False,False
vit_base_patch16_dinov3.lvd1689m,whole_plus_crop,512,logreg_bal_c0.03,domain_label_third_up,balanced_accuracy,0.35999999999999993,0.6395939086294417,0.6708422694482354,0.6256590509666081,200,168,45,178,0.7982062780269058,0.5434782608695652,0.7252388379801131,0.35999999999999993,0.6736842105263158,0.6751625295508275,0.7120743034055728,77,67,26,115,0.8156028368794326,0.5347222222222222,0.7471434200157604,0.35999999999999993,0.6078431372549019,0.6586999128919862,0.5121951219512195,123,101,19,63,0.7682926829268293,0.5491071428571429,0.6798780487804879,0.4301484128154034,False,False
