group,n,accuracy,balanced_accuracy,f1,auc,tn,fp,fn,tp,high_recall,low_specificity
all,162,0.6851851851851852,0.6816653934300994,0.7150837988826816,0.7291061879297174,47,30,21,64,0.7529411764705882,0.6103896103896104
subtype:A,22,0.45454545454545453,0.45454545454545453,0.0,,10,12,0,0,,0.45454545454545453
subtype:AB,29,0.7931034482758621,0.7931034482758621,0.0,,23,6,0,0,,0.7931034482758621
subtype:B1,26,0.5384615384615384,0.5384615384615384,0.0,,14,12,0,0,,0.5384615384615384
subtype:B2,28,0.6785714285714286,0.6785714285714286,0.8085106382978723,,0,0,9,19,0.6785714285714286,
subtype:B3,29,0.6896551724137931,0.6896551724137931,0.8163265306122449,,0,0,9,20,0.6896551724137931,
subtype:TC,28,0.8928571428571429,0.8928571428571429,0.9433962264150944,,0,0,3,25,0.8928571428571429,
