w_logreg,w_orig,objective,threshold,adapt_acc,adapt_bacc,adapt_f1,adapt_auc,adapt_tn,adapt_fp,adapt_fn,adapt_tp,adapt_sens,adapt_spec,holdout_acc,holdout_bacc,holdout_f1,holdout_auc,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_sens,holdout_spec
0.0,1.0,bacc,0.48999999999999994,0.6111111111111112,0.6298701298701299,0.631578947368421,0.6006493506493507,20,8,20,24,0.5454545454545454,0.7142857142857143,0.7435897435897436,0.7090494092373791,0.45454545454545453,0.7360365198711063,149,47,13,25,0.6578947368421053,0.7602040816326531
0.0,1.0,acc,0.48999999999999994,0.6111111111111112,0.6298701298701299,0.631578947368421,0.6006493506493507,20,8,20,24,0.5454545454545454,0.7142857142857143,0.7435897435897436,0.7090494092373791,0.45454545454545453,0.7360365198711063,149,47,13,25,0.6578947368421053,0.7602040816326531
0.2,0.8,bacc,0.5199999999999999,0.7638888888888888,0.8003246753246753,0.7671232876712328,0.8766233766233765,27,1,16,28,0.6363636363636364,0.9642857142857143,0.8290598290598291,0.7070354457572503,0.5,0.7524167561761548,174,22,18,20,0.5263157894736842,0.8877551020408163
0.05,0.95,acc,0.4799999999999999,0.6666666666666666,0.6688311688311688,0.7073170731707317,0.6956168831168831,19,9,15,29,0.6590909090909091,0.6785714285714286,0.7136752136752137,0.7017991407089151,0.4369747899159664,0.7423469387755102,141,55,12,26,0.6842105263157895,0.7193877551020408
0.4,0.6,bacc,0.5099999999999999,0.9305555555555556,0.9431818181818181,0.9397590361445783,0.9772727272727273,28,0,5,39,0.8863636363636364,1.0,0.782051282051282,0.700187969924812,0.4631578947368421,0.7569817400644467,161,35,16,22,0.5789473684210527,0.8214285714285714
0.4,0.6,acc,0.5099999999999999,0.9305555555555556,0.9431818181818181,0.9397590361445783,0.9772727272727273,28,0,5,39,0.8863636363636364,1.0,0.782051282051282,0.700187969924812,0.4631578947368421,0.7569817400644467,161,35,16,22,0.5789473684210527,0.8214285714285714
0.45,0.55,bacc,0.5099999999999999,0.9444444444444444,0.9545454545454546,0.9523809523809523,0.9837662337662337,28,0,4,40,0.9090909090909091,1.0,0.7777777777777778,0.6976369495166488,0.4583333333333333,0.757921589688507,160,36,16,22,0.5789473684210527,0.8163265306122449
0.45,0.55,acc,0.5099999999999999,0.9444444444444444,0.9545454545454546,0.9523809523809523,0.9837662337662337,28,0,4,40,0.9090909090909091,1.0,0.7777777777777778,0.6976369495166488,0.4583333333333333,0.757921589688507,160,36,16,22,0.5789473684210527,0.8163265306122449
0.5,0.5,bacc,0.5099999999999999,0.9444444444444444,0.9545454545454546,0.9523809523809523,0.987012987012987,28,0,4,40,0.9090909090909091,1.0,0.7649572649572649,0.689983888292159,0.4444444444444444,0.7577873254564984,157,39,16,22,0.5789473684210527,0.8010204081632653
0.5,0.5,acc,0.5099999999999999,0.9444444444444444,0.9545454545454546,0.9523809523809523,0.987012987012987,28,0,4,40,0.9090909090909091,1.0,0.7649572649572649,0.689983888292159,0.4444444444444444,0.7577873254564984,157,39,16,22,0.5789473684210527,0.8010204081632653
0.55,0.44999999999999996,bacc,0.5099999999999999,0.9444444444444444,0.9545454545454546,0.9523809523809523,0.9918831168831169,28,0,4,40,0.9090909090909091,1.0,0.7606837606837606,0.6874328678839957,0.44,0.7573845327604726,156,40,16,22,0.5789473684210527,0.7959183673469388
0.55,0.44999999999999996,acc,0.5099999999999999,0.9444444444444444,0.9545454545454546,0.9523809523809523,0.9918831168831169,28,0,4,40,0.9090909090909091,1.0,0.7606837606837606,0.6874328678839957,0.44,0.7573845327604726,156,40,16,22,0.5789473684210527,0.7959183673469388
0.35000000000000003,0.6499999999999999,bacc,0.49999999999999994,0.9027777777777778,0.913961038961039,0.9156626506024096,0.9699675324675323,27,1,6,38,0.8636363636363636,0.9642857142857143,0.7478632478632479,0.679779806659506,0.42718446601941745,0.7560418904403867,153,43,16,22,0.5789473684210527,0.7806122448979592
1.0,0.0,bacc,0.48999999999999994,0.9861111111111112,0.9821428571428572,0.9887640449438202,0.997564935064935,27,1,0,44,1.0,0.9642857142857143,0.688034188034188,0.6758861439312567,0.4065040650406504,0.7518796992481203,136,60,13,25,0.6578947368421053,0.6938775510204082
1.0,0.0,acc,0.48999999999999994,0.9861111111111112,0.9821428571428572,0.9887640449438202,0.997564935064935,27,1,0,44,1.0,0.9642857142857143,0.688034188034188,0.6758861439312567,0.4065040650406504,0.7518796992481203,136,60,13,25,0.6578947368421053,0.6938775510204082
0.7000000000000001,0.29999999999999993,bacc,0.49999999999999994,0.9583333333333334,0.9594155844155845,0.9655172413793104,0.9943181818181819,27,1,2,42,0.9545454545454546,0.9642857142857143,0.717948717948718,0.6725295381310419,0.4107142857142857,0.7587271750805585,145,51,15,23,0.6052631578947368,0.7397959183673469
0.7000000000000001,0.29999999999999993,acc,0.49999999999999994,0.9583333333333334,0.9594155844155845,0.9655172413793104,0.9943181818181819,27,1,2,42,0.9545454545454546,0.9642857142857143,0.717948717948718,0.6725295381310419,0.4107142857142857,0.7587271750805585,145,51,15,23,0.6052631578947368,0.7397959183673469
0.25,0.75,bacc,0.48999999999999994,0.8472222222222222,0.8555194805194806,0.8674698795180723,0.9212662337662337,25,3,8,36,0.8181818181818182,0.8928571428571429,0.7350427350427351,0.6721267454350162,0.41509433962264153,0.7540279269602578,150,46,16,22,0.5789473684210527,0.7653061224489796
0.25,0.75,acc,0.48999999999999994,0.8472222222222222,0.8555194805194806,0.8674698795180723,0.9212662337662337,25,3,8,36,0.8181818181818182,0.8928571428571429,0.7350427350427351,0.6721267454350162,0.41509433962264153,0.7540279269602578,150,46,16,22,0.5789473684210527,0.7653061224489796
0.30000000000000004,0.7,bacc,0.48999999999999994,0.8888888888888888,0.8961038961038961,0.9047619047619048,0.9537337662337663,26,2,6,38,0.8636363636363636,0.9285714285714286,0.7350427350427351,0.6721267454350162,0.41509433962264153,0.7541621911922664,150,46,16,22,0.5789473684210527,0.7653061224489796
0.30000000000000004,0.7,acc,0.48999999999999994,0.8888888888888888,0.8961038961038961,0.9047619047619048,0.9537337662337663,26,2,6,38,0.8636363636363636,0.9285714285714286,0.7350427350427351,0.6721267454350162,0.41509433962264153,0.7541621911922664,150,46,16,22,0.5789473684210527,0.7653061224489796
0.15000000000000002,0.85,bacc,0.4599999999999999,0.7916666666666666,0.7711038961038961,0.8351648351648352,0.836038961038961,19,9,6,38,0.8636363636363636,0.6785714285714286,0.6452991452991453,0.6715896885069818,0.39416058394160586,0.7510741138560688,124,72,11,27,0.7105263157894737,0.6326530612244898
0.15000000000000002,0.85,acc,0.4599999999999999,0.7916666666666666,0.7711038961038961,0.8351648351648352,0.836038961038961,19,9,6,38,0.8636363636363636,0.6785714285714286,0.6452991452991453,0.6715896885069818,0.39416058394160586,0.7510741138560688,124,72,11,27,0.7105263157894737,0.6326530612244898
0.65,0.35,bacc,0.49999999999999994,0.9583333333333334,0.9594155844155845,0.9655172413793104,0.9943181818181819,27,1,2,42,0.9545454545454546,0.9642857142857143,0.7136752136752137,0.6699785177228786,0.40707964601769914,0.7589957035445757,144,52,15,23,0.6052631578947368,0.7346938775510204
0.65,0.35,acc,0.49999999999999994,0.9583333333333334,0.9594155844155845,0.9655172413793104,0.9943181818181819,27,1,2,42,0.9545454545454546,0.9642857142857143,0.7136752136752137,0.6699785177228786,0.40707964601769914,0.7589957035445757,144,52,15,23,0.6052631578947368,0.7346938775510204
0.1,0.9,bacc,0.5399999999999999,0.6666666666666666,0.7207792207792207,0.6363636363636364,0.7775974025974026,27,1,23,21,0.4772727272727273,0.9642857142857143,0.8547008547008547,0.6693071965628357,0.46875,0.7446294307196564,185,11,23,15,0.39473684210526316,0.9438775510204082
0.9,0.09999999999999998,bacc,0.4799999999999999,0.9861111111111112,0.9821428571428572,0.9887640449438202,0.997564935064935,27,1,0,44,1.0,0.9642857142857143,0.6752136752136753,0.668233082706767,0.3968253968253968,0.7546992481203008,133,63,13,25,0.6578947368421053,0.6785714285714286
0.9,0.09999999999999998,acc,0.4799999999999999,0.9861111111111112,0.9821428571428572,0.9887640449438202,0.997564935064935,27,1,0,44,1.0,0.9642857142857143,0.6752136752136753,0.668233082706767,0.3968253968253968,0.7546992481203008,133,63,13,25,0.6578947368421053,0.6785714285714286
0.9500000000000001,0.04999999999999993,bacc,0.4799999999999999,0.9861111111111112,0.9821428571428572,0.9887640449438202,0.997564935064935,27,1,0,44,1.0,0.9642857142857143,0.6709401709401709,0.6656820622986037,0.3937007874015748,0.7537593984962405,132,64,13,25,0.6578947368421053,0.673469387755102
0.9500000000000001,0.04999999999999993,acc,0.4799999999999999,0.9861111111111112,0.9821428571428572,0.9887640449438202,0.997564935064935,27,1,0,44,1.0,0.9642857142857143,0.6709401709401709,0.6656820622986037,0.3937007874015748,0.7537593984962405,132,64,13,25,0.6578947368421053,0.673469387755102
0.6000000000000001,0.3999999999999999,bacc,0.48999999999999994,0.9583333333333334,0.9594155844155845,0.9655172413793104,0.9935064935064936,27,1,2,42,0.9545454545454546,0.9642857142857143,0.6923076923076923,0.6572234156820622,0.3898305084745763,0.7587271750805585,139,57,15,23,0.6052631578947368,0.7091836734693877
0.6000000000000001,0.3999999999999999,acc,0.48999999999999994,0.9583333333333334,0.9594155844155845,0.9655172413793104,0.9935064935064936,27,1,2,42,0.9545454545454546,0.9642857142857143,0.6923076923076923,0.6572234156820622,0.3898305084745763,0.7587271750805585,139,57,15,23,0.6052631578947368,0.7091836734693877
0.05,0.95,bacc,0.5299999999999999,0.625,0.6737012987012987,0.5970149253731343,0.6956168831168831,25,3,24,20,0.45454545454545453,0.8928571428571429,0.8333333333333334,0.6565520945220193,0.43478260869565216,0.7423469387755102,180,16,23,15,0.39473684210526316,0.9183673469387755
0.8,0.19999999999999996,bacc,0.4699999999999999,0.9722222222222222,0.9707792207792207,0.9772727272727273,0.997564935064935,27,1,1,43,0.9772727272727273,0.9642857142857143,0.6538461538461539,0.6554779806659505,0.3816793893129771,0.7576530612244898,128,68,13,25,0.6578947368421053,0.6530612244897959
0.8,0.19999999999999996,acc,0.4699999999999999,0.9722222222222222,0.9707792207792207,0.9772727272727273,0.997564935064935,27,1,1,43,0.9772727272727273,0.9642857142857143,0.6538461538461539,0.6554779806659505,0.3816793893129771,0.7576530612244898,128,68,13,25,0.6578947368421053,0.6530612244897959
0.8500000000000001,0.1499999999999999,bacc,0.4699999999999999,0.9861111111111112,0.9821428571428572,0.9887640449438202,0.997564935064935,27,1,0,44,1.0,0.9642857142857143,0.6495726495726496,0.6529269602577874,0.3787878787878788,0.7564446831364126,127,69,13,25,0.6578947368421053,0.6479591836734694
0.8500000000000001,0.1499999999999999,acc,0.4699999999999999,0.9861111111111112,0.9821428571428572,0.9887640449438202,0.997564935064935,27,1,0,44,1.0,0.9642857142857143,0.6495726495726496,0.6529269602577874,0.3787878787878788,0.7564446831364126,127,69,13,25,0.6578947368421053,0.6479591836734694
0.35000000000000003,0.6499999999999999,acc,0.4799999999999999,0.9166666666666666,0.9123376623376623,0.9318181818181818,0.9699675324675323,25,3,3,41,0.9318181818181818,0.8928571428571429,0.6923076923076923,0.6466165413533835,0.3793103448275862,0.7560418904403867,140,56,16,22,0.5789473684210527,0.7142857142857143
