"experiment","role","uses_gross_at_inference","accuracy","balanced_accuracy","auc","f1","tn","fp","fn","tp","conclusion"
"current_best_upper_image_only","正式图像主线基线","no","0.7684210526","0.7684692671","0.81535658","0.7676056338","110","34","32","109","当前仍是正式图像主线最好结果"
"oracle_hardcore_gross_calibrator","回顾性hard-core复核上限","yes_oracle_hard_route","0.898245614","0.8981973995","0.9429669031","0.896797153","130","14","15","126","医生表对已识别hard_core非常有效，但依赖回顾性hard_core路由"
"auto_router_gross_calibrator_best","自动路由尝试","yes_auto_route","0.7684210526","0.7684692671","0.81535658","0.7676056338","110","34","32","109","自动识别哪些病例该进入gross校准失败，未超过基线"
"50_gross_boundary_aux_hardcore_w010_full5fold","65例hard-core结构标签辅助头","no","0.691228070175439","0.691119976359338","0.775413711583924","0.685714285714286","101","43","45","96","全65例直接做辅助头后hard_core被学反，失败"
"51_gross_boundary_aux_trusted55_w002_full5fold","55例可信gross结构标签低权重辅助头","no","0.687719298245614","0.687795508274232","0.751674546887313","0.687719298245614","98","46","43","98","只保留gross正确病例仍未改善，失败"
"52_gross_distill_trusted55_w005_full5fold","55例可信gross软概率蒸馏","no","0.705263157894737","0.705526004728132","0.753004334121355","0.710344827586207","98","46","38","103","直接蒸馏比辅助头略好但仍低于主线，失败"
"53_gross_boundary_aux_allcases_w0005_full5fold","全量肉眼所见结构标签极低权重正则","no","0.708771929824561","0.708924349881797","0.780609732072498","0.710801393728223","100","44","39","102","全量弱正则未改善，失败"
"gross_student_source_stacking_best","gross学生源与图像源stacking","no","0.743859649122807","0.744533096926714","0.79191292356186","0.757475083056478","98","46","27","114","作为互补图像源也未超过主线"
