candidate,objective,selection_split,holdout_used_for_selection,adapt_threshold,adapt_accuracy,adapt_balanced_accuracy,adapt_f1,adapt_tn,adapt_fp,adapt_fn,adapt_tp,adapt_sensitivity_high,adapt_specificity_low,adapt_auc,holdout_threshold,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_sensitivity_high,holdout_specificity_low,holdout_auc
single__06_rawtop_whole_crop__logreg_c003__bacc,high_sens85,third_adapt72_only,0,0.195,0.6111111111111112,0.551948051948052,0.72,8,20,8,36,0.8181818181818182,0.2857142857142857,0.5584415584415584,0.195,0.2905982905982906,0.5128893662728249,0.2782608695652174,36,160,6,32,0.8421052631578947,0.1836734693877551,0.674140708915145
single__06_rawtop_whole_crop__logreg_c003__sens90,accuracy,third_adapt72_only,0,0.195,0.6111111111111112,0.551948051948052,0.72,8,20,8,36,0.8181818181818182,0.2857142857142857,0.5584415584415584,0.195,0.2905982905982906,0.5128893662728249,0.2782608695652174,36,160,6,32,0.8421052631578947,0.1836734693877551,0.674140708915145
single__06_rawtop_whole_crop__logreg_c003__sens90,high_sens75,third_adapt72_only,0,0.195,0.6111111111111112,0.551948051948052,0.72,8,20,8,36,0.8181818181818182,0.2857142857142857,0.5584415584415584,0.195,0.2905982905982906,0.5128893662728249,0.2782608695652174,36,160,6,32,0.8421052631578947,0.1836734693877551,0.674140708915145
single__06_rawtop_whole_crop__logreg_c003__sens90,high_sens85,third_adapt72_only,0,0.195,0.6111111111111112,0.551948051948052,0.72,8,20,8,36,0.8181818181818182,0.2857142857142857,0.5584415584415584,0.195,0.2905982905982906,0.5128893662728249,0.2782608695652174,36,160,6,32,0.8421052631578947,0.1836734693877551,0.674140708915145
single__11_flip_whole_crop_64style__route_score,high_sens75,third_adapt72_only,0,0.30999999999999994,0.5972222222222222,0.5275974025974026,0.7184466019417476,6,22,7,37,0.8409090909090909,0.21428571428571427,0.515422077922078,0.30999999999999994,0.3076923076923077,0.5124865735767992,0.2767857142857143,41,155,7,31,0.8157894736842105,0.20918367346938777,0.4585123523093448
single__11_flip_whole_crop_64style__route_score,high_sens85,third_adapt72_only,0,0.30999999999999994,0.5972222222222222,0.5275974025974026,0.7184466019417476,6,22,7,37,0.8409090909090909,0.21428571428571427,0.515422077922078,0.30999999999999994,0.3076923076923077,0.5124865735767992,0.2767857142857143,41,155,7,31,0.8157894736842105,0.20918367346938777,0.4585123523093448
single__07_cropm40_64style__route_score,high_sens75,third_adapt72_only,0,0.05,0.4861111111111111,0.4561688311688312,0.5842696629213483,9,19,18,26,0.5909090909090909,0.32142857142857145,0.4707792207792208,0.05,0.37606837606837606,0.510875402792696,0.27,61,135,11,27,0.7105263157894737,0.3112244897959184,0.5671321160042965
single__07_cropm40_64style__route_score,high_sens85,third_adapt72_only,0,0.05,0.4861111111111111,0.4561688311688312,0.5842696629213483,9,19,18,26,0.5909090909090909,0.32142857142857145,0.4707792207792208,0.05,0.37606837606837606,0.510875402792696,0.27,61,135,11,27,0.7105263157894737,0.3112244897959184,0.5671321160042965
meta__logreg_plain_c0.3,balanced_accuracy,third_adapt72_only,0,0.58,0.8194444444444444,0.8262987012987013,0.8433734939759037,24,4,9,35,0.7954545454545454,0.8571428571428571,0.898538961038961,0.58,0.49572649572649574,0.5080558539205156,0.25316455696202533,96,100,18,20,0.5263157894736842,0.4897959183673469,0.5338345864661654
meta__logreg_plain_c0.3,high_sens75,third_adapt72_only,0,0.58,0.8194444444444444,0.8262987012987013,0.8433734939759037,24,4,9,35,0.7954545454545454,0.8571428571428571,0.898538961038961,0.58,0.49572649572649574,0.5080558539205156,0.25316455696202533,96,100,18,20,0.5263157894736842,0.4897959183673469,0.5338345864661654
