candidate,objective,selection_split,holdout_used_for_selection,adapt_threshold,adapt_accuracy,adapt_balanced_accuracy,adapt_f1,adapt_tn,adapt_fp,adapt_fn,adapt_tp,adapt_sensitivity_high,adapt_specificity_low,adapt_auc,holdout_threshold,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_sensitivity_high,holdout_specificity_low,holdout_auc
single__11_flip_whole_crop_64style__route_score,balanced_accuracy,third_adapt72_only,0,0.42999999999999994,0.5416666666666666,0.5665584415584416,0.547945205479452,19,9,24,20,0.45454545454545453,0.6785714285714286,0.515422077922078,0.42999999999999994,0.5512820512820513,0.44575725026852847,0.1732283464566929,118,78,27,11,0.2894736842105263,0.6020408163265306,0.4585123523093448
single__12_tta_orig_flip_whole_crop_64style__route_score,accuracy,third_adapt72_only,0,0.08,0.5833333333333334,0.4967532467532467,0.7222222222222222,3,25,5,39,0.8863636363636364,0.10714285714285714,0.461038961038961,0.08,0.14957264957264957,0.4074919441460795,0.23166023166023167,5,191,8,30,0.7894736842105263,0.025510204081632654,0.29900644468313636
single__12_tta_orig_flip_whole_crop_64style__route_score,high_sens75,third_adapt72_only,0,0.08,0.5833333333333334,0.4967532467532467,0.7222222222222222,3,25,5,39,0.8863636363636364,0.10714285714285714,0.461038961038961,0.08,0.14957264957264957,0.4074919441460795,0.23166023166023167,5,191,8,30,0.7894736842105263,0.025510204081632654,0.29900644468313636
single__12_tta_orig_flip_whole_crop_64style__route_score,high_sens85,third_adapt72_only,0,0.08,0.5833333333333334,0.4967532467532467,0.7222222222222222,3,25,5,39,0.8863636363636364,0.10714285714285714,0.461038961038961,0.08,0.14957264957264957,0.4074919441460795,0.23166023166023167,5,191,8,30,0.7894736842105263,0.025510204081632654,0.29900644468313636
single__01_whole_64style__route_score,balanced_accuracy,third_adapt72_only,0,0.14999999999999997,0.625,0.5892857142857143,0.7096774193548387,12,16,11,33,0.75,0.42857142857142855,0.5689935064935066,0.14999999999999997,0.2692307692307692,0.40467239527389903,0.2119815668202765,40,156,15,23,0.6052631578947368,0.20408163265306123,0.35486036519871106
single__01_whole_64style__route_score,accuracy,third_adapt72_only,0,0.14999999999999997,0.625,0.5892857142857143,0.7096774193548387,12,16,11,33,0.75,0.42857142857142855,0.5689935064935066,0.14999999999999997,0.2692307692307692,0.40467239527389903,0.2119815668202765,40,156,15,23,0.6052631578947368,0.20408163265306123,0.35486036519871106
single__01_whole_64style__route_score,high_sens75,third_adapt72_only,0,0.14999999999999997,0.625,0.5892857142857143,0.7096774193548387,12,16,11,33,0.75,0.42857142857142855,0.5689935064935066,0.14999999999999997,0.2692307692307692,0.40467239527389903,0.2119815668202765,40,156,15,23,0.6052631578947368,0.20408163265306123,0.35486036519871106
single__01_whole_64style__route_score,high_sens85,third_adapt72_only,0,0.14999999999999997,0.625,0.5892857142857143,0.7096774193548387,12,16,11,33,0.75,0.42857142857142855,0.5689935064935066,0.14999999999999997,0.2692307692307692,0.40467239527389903,0.2119815668202765,40,156,15,23,0.6052631578947368,0.20408163265306123,0.35486036519871106
single__13_wpc_stats_64style__route_score,balanced_accuracy,third_adapt72_only,0,0.6799999999999999,0.5555555555555556,0.6168831168831169,0.4838709677419355,25,3,29,15,0.3409090909090909,0.8928571428571429,0.5957792207792207,0.6799999999999999,0.49572649572649574,0.38077336197636946,0.11940298507462686,108,88,30,8,0.21052631578947367,0.5510204081632653,0.35324919441460795
single__13_wpc_stats_64style__route_score,accuracy,third_adapt72_only,0,0.22499999999999998,0.625,0.5698051948051949,0.7272727272727273,9,19,8,36,0.8181818181818182,0.32142857142857145,0.5957792207792207,0.22499999999999998,0.23076923076923078,0.360499462943072,0.1891891891891892,33,163,17,21,0.5526315789473685,0.1683673469387755,0.35324919441460795
single__13_wpc_stats_64style__route_score,high_sens75,third_adapt72_only,0,0.22499999999999998,0.625,0.5698051948051949,0.7272727272727273,9,19,8,36,0.8181818181818182,0.32142857142857145,0.5957792207792207,0.22499999999999998,0.23076923076923078,0.360499462943072,0.1891891891891892,33,163,17,21,0.5526315789473685,0.1683673469387755,0.35324919441460795
single__13_wpc_stats_64style__route_score,high_sens85,third_adapt72_only,0,0.22499999999999998,0.625,0.5698051948051949,0.7272727272727273,9,19,8,36,0.8181818181818182,0.32142857142857145,0.5957792207792207,0.22499999999999998,0.23076923076923078,0.360499462943072,0.1891891891891892,33,163,17,21,0.5526315789473685,0.1683673469387755,0.35324919441460795
single__11_flip_whole_crop_64style__reviewer_prob_high,balanced_accuracy,third_adapt72_only,0,0.6,0.5277777777777778,0.5746753246753247,0.48484848484848486,22,6,28,16,0.36363636363636365,0.7857142857142857,0.49188311688311687,0.6,0.45726495726495725,0.3578141783029001,0.11188811188811189,99,97,30,8,0.21052631578947367,0.5051020408163265,0.28356605800214824
single__01_whole_64style__reviewer_prob_high,balanced_accuracy,third_adapt72_only,0,0.615,0.5,0.5324675324675325,0.4857142857142857,19,9,27,17,0.38636363636363635,0.6785714285714286,0.4237012987012987,0.615,0.32905982905982906,0.3237110633727175,0.13259668508287292,65,131,26,12,0.3157894736842105,0.33163265306122447,0.287593984962406
