group,n,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
overall,162,0.7289533995416348,0.6728395061728395,0.6741787624140565,0.6470588235294118,0.7012987012987013,0.7051282051282052,0.6748466257668712,54,23,30,55
subtype:A,22,,0.5909090909090909,0.5909090909090909,0.0,0.5909090909090909,0.0,0.0,13,9,0,0
subtype:AB,29,,0.8275862068965517,0.8275862068965517,0.0,0.8275862068965517,0.0,0.0,24,5,0,0
subtype:B1,26,,0.6538461538461539,0.6538461538461539,0.0,0.6538461538461539,0.0,0.0,17,9,0,0
subtype:B2,28,,0.6428571428571429,0.6428571428571429,0.6428571428571429,,1.0,0.782608695652174,0,0,10,18
subtype:B3,29,,0.5517241379310345,0.5517241379310345,0.5517241379310345,,1.0,0.7111111111111111,0,0,13,16
subtype:TC,28,,0.75,0.75,0.75,,1.0,0.8571428571428571,0,0,7,21
domain:new_external_160,162,0.7289533995416348,0.6728395061728395,0.6741787624140565,0.6470588235294118,0.7012987012987013,0.7051282051282052,0.6748466257668712,54,23,30,55
