feature_model,global_pool,input_variant,image_size,estimator,weight_mode,objective,all_threshold,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_sensitivity_high,all_specificity_low,all_auc,old_threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity_high,old_specificity_low,old_auc,third_threshold,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity_high,third_specificity_low,third_auc,selection_score,old_guard_090,old_guard_092
vitamin_large_384.datacomp1b_clip,avg,whole_plus_crop,384,logreg_plain_c0.003,none,high_sensitivity,0.44499999999999995,0.6852791878172588,0.7039932248001559,0.651685393258427,231,137,49,174,0.7802690582959642,0.6277173913043478,0.7677788067849483,0.44499999999999995,0.6807017543859649,0.6821069739952719,0.7165109034267912,79,65,26,115,0.8156028368794326,0.5486111111111112,0.7510835303388494,0.44499999999999995,0.6895424836601307,0.6990418118466899,0.5539906103286385,152,72,23,59,0.7195121951219512,0.6785714285714286,0.7618684668989547,0.4690952377477726,False,False
vitamin_large_384.datacomp1b_clip,avg,whole_plus_crop,384,logreg_bal_c0.003,domain_label,high_sensitivity,0.4649999999999999,0.676818950930626,0.6980832033534803,0.6469500924214417,225,143,48,175,0.7847533632286996,0.6114130434782609,0.7697285045817899,0.4649999999999999,0.6771929824561403,0.6786347517730495,0.7142857142857143,78,66,26,115,0.8156028368794326,0.5416666666666666,0.7523148148148149,0.4649999999999999,0.6764705882352942,0.6939786585365854,0.547945205479452,147,77,22,60,0.7317073170731707,0.65625,0.7676938153310104,0.45970971968731766,False,False
vitamin_large_384.datacomp1b_clip,avg,whole_plus_crop,384,logreg_bal_c0.003,domain_label_third_up,high_sensitivity,0.4149999999999999,0.6683587140439933,0.6992408364203548,0.6524822695035462,211,157,39,184,0.8251121076233184,0.5733695652173914,0.7675716513940339,0.4149999999999999,0.6736842105263158,0.6753102836879432,0.7155963302752294,75,69,24,117,0.8297872340425532,0.5208333333333334,0.7435973207249803,0.4149999999999999,0.6633986928104575,0.7121080139372822,0.5654008438818565,136,88,15,67,0.8170731707317073,0.6071428571428571,0.7715047909407666,0.457326280481238,False,False
vitamin_large_384.datacomp1b_clip,avg,whole_plus_crop,384,logreg_plain_c0.003,domain_label_third_up,high_sensitivity,0.4149999999999999,0.6666666666666666,0.6969986839539872,0.650088809946714,211,157,40,183,0.820627802690583,0.5733695652173914,0.7676569506726457,0.4149999999999999,0.6736842105263158,0.6753102836879432,0.7155963302752294,75,69,24,117,0.8297872340425532,0.5208333333333334,0.7439913317572892,0.4149999999999999,0.6601307189542484,0.7060104529616724,0.559322033898305,136,88,16,66,0.8048780487804879,0.6071428571428571,0.7706337108013938,0.45484341741731327,False,False
vitamin_large_384.datacomp1b_clip,avg,whole_plus_crop,384,logreg_bal_c0.003,none,high_sensitivity,0.4599999999999999,0.6734348561759729,0.6962492688633262,0.6458715596330276,222,146,47,176,0.7892376681614349,0.6032608695652174,0.7694604211347241,0.4599999999999999,0.6736842105263158,0.6751625295508275,0.7120743034055728,77,67,26,115,0.8156028368794326,0.5347222222222222,0.7507387706855791,0.4599999999999999,0.673202614379085,0.6956119337979094,0.5495495495495496,145,79,21,61,0.7439024390243902,0.6473214285714286,0.7682926829268292,0.45429391451201706,False,False
vitamin_large_384.datacomp1b_clip,avg,whole_plus_crop,384,logreg_bal_c0.003,label,high_sensitivity,0.4599999999999999,0.6734348561759729,0.6962492688633262,0.6458715596330276,222,146,47,176,0.7892376681614349,0.6032608695652174,0.7694604211347241,0.4599999999999999,0.6736842105263158,0.6751625295508275,0.7120743034055728,77,67,26,115,0.8156028368794326,0.5347222222222222,0.7507387706855791,0.4599999999999999,0.673202614379085,0.6956119337979094,0.5495495495495496,145,79,21,61,0.7439024390243902,0.6473214285714286,0.7682926829268292,0.45429391451201706,False,False
vitamin_large_384.datacomp1b_clip,avg,whole_plus_crop,384,logreg_plain_c0.003,label,high_sensitivity,0.4599999999999999,0.6734348561759729,0.6962492688633262,0.6458715596330276,222,146,47,176,0.7892376681614349,0.6032608695652174,0.7694604211347241,0.4599999999999999,0.6736842105263158,0.6751625295508275,0.7120743034055728,77,67,26,115,0.8156028368794326,0.5347222222222222,0.7507387706855791,0.4599999999999999,0.673202614379085,0.6956119337979094,0.5495495495495496,145,79,21,61,0.7439024390243902,0.6473214285714286,0.7682926829268292,0.45429391451201706,False,False
vitamin_large_384.datacomp1b_clip,avg,whole_plus_crop,384,logreg_bal_c0.1,domain_label_third_up,balanced_accuracy,0.33999999999999997,0.6802030456852792,0.6937329401442777,0.638623326959847,235,133,56,167,0.7488789237668162,0.6385869565217391,0.7436878533827256,0.33999999999999997,0.6631578947368421,0.6640070921985816,0.6862745098039216,84,60,36,105,0.7446808510638298,0.5833333333333334,0.7089243498817966,0.33999999999999997,0.696078431372549,0.7151023519163764,0.5714285714285714,151,73,20,62,0.7560975609756098,0.6741071428571429,0.7637195121951219,0.4487379931932076,False,False
vitamin_large_384.datacomp1b_clip,avg,whole_plus_crop,384,logreg_bal_c0.1,domain_label_third_up,high_sensitivity,0.33999999999999997,0.6802030456852792,0.6937329401442777,0.638623326959847,235,133,56,167,0.7488789237668162,0.6385869565217391,0.7436878533827256,0.33999999999999997,0.6631578947368421,0.6640070921985816,0.6862745098039216,84,60,36,105,0.7446808510638298,0.5833333333333334,0.7089243498817966,0.33999999999999997,0.696078431372549,0.7151023519163764,0.5714285714285714,151,73,20,62,0.7560975609756098,0.6741071428571429,0.7637195121951219,0.4487379931932076,False,False
vitamin_large_384.datacomp1b_clip,avg,whole_plus_crop,384,logreg_plain_c0.1,domain_label_third_up,balanced_accuracy,0.31999999999999995,0.6785109983079526,0.6932577013062975,0.6387832699619772,233,135,55,168,0.7533632286995515,0.6331521739130435,0.7436634821602652,0.31999999999999995,0.6631578947368421,0.6640809692671394,0.6883116883116883,83,61,35,106,0.75177304964539,0.5763888888888888,0.7083825847123719,0.31999999999999995,0.6928104575163399,0.7128702090592334,0.5688073394495413,150,74,20,62,0.7560975609756098,0.6696428571428571,0.763665069686411,0.4474369186853904,False,False
