fold,kind,repeat_adapt,threshold_objective,threshold,fold_accuracy,fold_balanced_accuracy,fold_f1,fold_tn,fold_fp,fold_fn,fold_tp,fold_auc
0,extratrees_5,1,accuracy,0.5299999999999999,0.8064516129032258,0.7019607843137254,0.5714285714285714,42,3,9,8,0.7607843137254902
1,extratrees_5,1,accuracy,0.5399999999999999,0.819672131147541,0.65625,0.47619047619047616,45,0,11,5,0.8388888888888889
2,extratrees_5,1,accuracy,0.5199999999999999,0.6885245901639344,0.5472222222222223,0.2962962962962963,38,7,12,4,0.6361111111111111
3,extratrees_5,1,accuracy,0.5299999999999999,0.7377049180327869,0.6611111111111111,0.5,37,8,8,8,0.7513888888888889
4,extratrees_5,1,accuracy,0.5299999999999999,0.7868852459016393,0.6537433155080214,0.48,42,2,11,6,0.8155080213903744
