fold,kind,repeat_adapt,threshold_objective,threshold,fold_accuracy,fold_balanced_accuracy,fold_f1,fold_tn,fold_fp,fold_fn,fold_tp,fold_auc
0,logreg_0.001,2,accuracy,0.6699999999999999,0.7580645161290323,0.6869281045751634,0.5454545454545454,38,7,8,9,0.8339869281045751
1,logreg_0.001,2,accuracy,0.5599999999999999,0.8524590163934426,0.7791666666666667,0.6896551724137931,42,3,6,10,0.8777777777777778
2,logreg_0.001,2,accuracy,0.7699999999999999,0.8032786885245902,0.6451388888888889,0.45454545454545453,44,1,11,5,0.7430555555555556
3,logreg_0.001,2,accuracy,0.6799999999999999,0.7868852459016393,0.6743055555555555,0.5185185185185185,41,4,9,7,0.7791666666666667
4,logreg_0.001,2,accuracy,0.7499999999999999,0.8032786885245902,0.6470588235294118,0.45454545454545453,44,0,12,5,0.7553475935828876
