accuracy,balanced_accuracy,f1,tn,fp,fn,tp,task_l6_label,n
0.6839622641509434,0.6839622641509434,0.0,145,67,0,0,AB,212
0.5833333333333334,0.5833333333333334,0.0,7,5,0,0,B1,12
0.27586206896551724,0.27586206896551724,0.43243243243243246,0,0,21,8,B2,29
0.6226415094339622,0.6226415094339622,0.7674418604651163,0,0,20,33,TC,53
