task_l6_label,n,accuracy,tn,fp,fn,tp
A,8,0.875,7,1,0,0
AB,39,0.6410256410256411,25,14,0,0
B1,11,0.5454545454545454,6,5,0,0
B1_B2_mixed,1,1.0,0,0,0,1
B2,28,0.5,0,0,14,14
B2_B3_mixed,3,0.6666666666666666,0,0,1,2
B3,10,0.8,0,0,2,8
MNT_assumed_low,3,1.0,3,0,0,0
TC,5,0.6,0,0,2,3
