experiment,old_base_bacc,old_policy_bacc,third_base_acc,third_base_bacc,third_base_f1,third_final_acc,third_final_bacc,third_final_f1,tn,fp,fn,tp,routed_n,routed_pct,pass_acc,routed_acc,dir
04_whole_plus_crop_64style,0.7372931442080378,0.7546542553191489,0.7124183006535948,0.6760126306620209,0.5268817204301075,0.7124183006535948,0.6760126306620209,0.5268817204301075,169,55,33,49,1,0.0032679738562091504,0.7114754098360656,1.0,04_third_batch_whole_plus_crop_64style_20260521
11_flip_lr_wpc_64style,0.7124704491725768,0.7443853427895981,0.6895424836601307,0.6294642857142857,0.4632768361581921,0.6830065359477124,0.625,0.4581005586592179,168,56,41,41,2,0.006535947712418301,0.6875,0.0,11_third_batch_flip_lr_whole_plus_crop_64style_20260521
08_bgnorm_wpc_64style,0.7191932624113475,0.7336731678486997,0.6372549019607843,0.59375,0.42487046632124353,0.6405228758169934,0.6075783972125436,0.4444444444444444,152,72,38,44,111,0.3627450980392157,0.5641025641025641,0.7747747747747747,08_third_batch_bgnorm085_whole_plus_crop_64style_20260521
03_roi_crop_64style,0.7092198581560283,0.7294621749408983,0.6437908496732027,0.6136759581881533,0.45226130653266333,0.6372549019607843,0.6014808362369338,0.4365482233502538,152,72,39,43,13,0.042483660130718956,0.6382252559726962,0.6153846153846154,03_third_batch_crop_64style_20260521
13_wpc_plus_image_stats_64style,0.7221483451536643,0.740839243498818,0.673202614379085,0.5873802264808363,0.39759036144578314,0.630718954248366,0.5892857142857143,0.4205128205128205,152,72,41,41,126,0.4117647058823529,0.6055555555555555,0.6666666666666666,13_third_batch_wpc_plus_image_stats_64style_20260521
01_whole_64style,0.7367760047281324,0.7582003546099291,0.6993464052287581,0.6168336236933798,0.43902439024390244,0.6503267973856209,0.5872168989547039,0.4088397790055249,162,62,45,37,17,0.05555555555555555,0.6851211072664359,0.058823529411764705,01_third_batch_64style_image_only_20260521
07_cropm40_64style,0.7191193853427896,0.7464539007092199,0.6535947712418301,0.5971798780487805,0.42391304347826086,0.6470588235294118,0.5811193379790941,0.4,162,62,46,36,55,0.17973856209150327,0.6573705179282868,0.6,07_third_batch_cropm40_64style_20260521
12_tta_avg_orig_flip_wpc_64style,0.7188238770685579,0.7550236406619385,0.6928104575163399,0.6046385017421603,0.41975308641975306,0.5294117647058824,0.5432817944250871,0.3949579831932773,115,109,35,47,165,0.5392156862745098,0.5673758865248227,0.49696969696969695,12_third_batch_tta_avg_orig_flip_lr_whole_plus_crop_64style_20260521
