split,level,aggregation,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
test_oof,case,mean,0.7591026515890036,0.6598984771573604,0.6827293332033535,0.7757847533632287,0.5896739130434783,0.5339506172839507,0.6325411334552102,217,151,50,173
test_oof:batch1,case,mean,0.7619883040935672,0.6923076923076923,0.6938596491228071,0.7543859649122807,0.6333333333333333,0.6615384615384615,0.7049180327868853,38,22,14,43
test_oof:batch2,case,mean,0.6839569160997733,0.6190476190476191,0.6190476190476191,0.7857142857142857,0.4523809523809524,0.5892857142857143,0.673469387755102,38,46,18,66
test_oof:third_batch_adapt72_highfocus,case,mean,0.7711038961038961,0.7222222222222222,0.6883116883116883,0.8409090909090909,0.5357142857142857,0.74,0.7872340425531915,15,13,7,37
test_oof:third_batch_holdout,case,mean,0.7670515574650913,0.6538461538461539,0.6766917293233083,0.7105263157894737,0.6428571428571429,0.27835051546391754,0.4,126,70,11,27
test_oof:old,case,mean,0.7177403467297084,0.6491228070175439,0.6504137115839244,0.7730496453900709,0.5277777777777778,0.615819209039548,0.6855345911949685,76,68,32,109
test_oof:third,case,mean,0.7962216898954704,0.6699346405228758,0.7049760452961673,0.7804878048780488,0.6294642857142857,0.43537414965986393,0.5589519650655022,141,83,18,64
