score,best_accept_accuracy,best_review_frac,best_accept_n,best_hardcore_recall,best_error_recall,review_frac_for_acc90,accept_n_for_acc90,hardcore_recall_at_acc90,error_recall_at_acc90,fn_recall_at_acc90
upper_low_conf,0.9436619718309859,0.7499999999999999,71,0.9230769230769231,0.9393939393939394,0.7,85.0,0.8769230769230769,0.8939393939393939,0.84375
learn_hard_core_model_only_extra,0.9069767441860465,0.85,43,0.9384615384615385,0.9393939393939394,0.7499999999999999,71.0,0.8769230769230769,0.8939393939393939,0.90625
learn_hard_core_model_only_logreg,0.9122807017543859,0.7999999999999999,57,0.9230769230769231,0.9242424242424242,0.7999999999999999,57.0,0.9230769230769231,0.9242424242424242,0.90625
ensemble_prob_range,0.9302325581395349,0.85,43,0.9538461538461539,0.9545454545454546,0.85,43.0,0.9538461538461539,0.9545454545454546,0.90625
ensemble_prob_std,0.9302325581395349,0.85,43,0.9538461538461539,0.9545454545454546,0.85,43.0,0.9538461538461539,0.9545454545454546,0.90625
learn_upper_fn_model_embedding_history_extra,0.9069767441860465,0.85,43,0.9384615384615385,0.9393939393939394,0.85,43.0,0.9384615384615385,0.9393939393939394,1.0
learn_hard_core_model_only_rf,0.8837209302325582,0.85,43,0.9230769230769231,0.9242424242424242,,,,,
learn_upper_fn_model_embedding_history_gross_extra,0.8604651162790697,0.85,43,0.9076923076923077,0.9090909090909091,,,,,
