fold_id,best_epoch,best_val_selection_metric,test_case_mean_primary_metric,test_case_mean_accuracy,test_case_mean_balanced_accuracy
1,4,0.6950354609929078,0.783611111111111,0.6910569105691057,0.7129166666666666
2,2,0.6888372093023256,0.7653900709219859,0.7295081967213115,0.7085106382978723
3,9,0.7104173303599872,0.7795348837209302,0.6864406779661016,0.7136434108527132
4,3,0.769047619047619,0.7556546670914304,0.6724137931034483,0.701497292131252
5,7,0.7020833333333334,0.7761904761904762,0.6964285714285714,0.6428571428571428
