accuracy,balanced_accuracy,f1,tn,fp,fn,tp,task_l6_label,n
0.7311320754716981,0.7311320754716981,0.0,155,57,0,0,AB,212
0.5833333333333334,0.5833333333333334,0.0,7,5,0,0,B1,12
0.1724137931034483,0.1724137931034483,0.29411764705882354,0,0,24,5,B2,29
0.5849056603773585,0.5849056603773585,0.7380952380952381,0,0,22,31,TC,53
