score,target,accept_n,accept_frac,review_frac,accept_acc,accept_bacc,accept_sens,accept_spec,tn,fp,fn,tp,review_error_precision,error_recall,fn_recall,hard_recall
learn_upper_wrong_gb,0.9,17,0.05964912280701754,0.9403508771929825,0.8823529411764706,0.5,1.0,0.0,0,2,0,15,0.23880597014925373,0.9696969696969697,1.0,0.9692307692307692
learn_hard_core_extra,0.9,56,0.19649122807017544,0.8035087719298246,0.875,0.5,1.0,0.0,0,7,0,49,0.2576419213973799,0.8939393939393939,1.0,0.8923076923076924
learn_hard_core_rf,0.9,52,0.1824561403508772,0.8175438596491228,0.8653846153846154,0.7815964523281597,0.926829268292683,0.6363636363636364,7,4,3,38,0.2532188841201717,0.8939393939393939,0.90625,0.8769230769230769
upper_low_conf,0.9,89,0.312280701754386,0.6877192982456141,0.8651685393258427,0.8630769230769231,0.88,0.8461538461538461,33,6,6,44,0.2755102040816326,0.8181818181818182,0.8125,0.8307692307692308
learn_hard_core_gb,0.9,29,0.10175438596491228,0.8982456140350877,0.8620689655172413,0.5,1.0,0.0,0,4,0,25,0.2421875,0.9393939393939394,1.0,0.9076923076923077
learn_upper_fn_extra,0.9,40,0.14035087719298245,0.8596491228070176,0.85,0.5,1.0,0.0,0,6,0,34,0.24489795918367346,0.9090909090909091,1.0,0.9076923076923077
upper_predlow_pupper,0.9,39,0.1368421052631579,0.8631578947368421,0.8461538461538461,0.5,0.0,1.0,33,0,6,0,0.24390243902439024,0.9090909090909091,0.8125,0.9076923076923077
hybrid_max_allrange_fn,0.9,51,0.17894736842105263,0.8210526315789474,0.8431372549019608,0.7941176470588236,0.6470588235294118,0.9411764705882353,32,2,6,11,0.24786324786324787,0.8787878787878788,0.8125,0.8769230769230769
learn_upper_wrong_rf,0.9,56,0.19649122807017544,0.8035087719298246,0.8392857142857143,0.75,0.9285714285714286,0.5714285714285714,8,6,3,39,0.24890829694323144,0.8636363636363636,0.90625,0.8615384615384616
all_vote_disagree,0.9,100,0.3508771929824561,0.6491228070175439,0.83,0.8232323232323232,0.7555555555555555,0.8909090909090909,49,6,11,34,0.2648648648648649,0.7424242424242424,0.65625,0.7384615384615385
learn_upper_fn_rf,0.9,17,0.05964912280701754,0.9403508771929825,0.8235294117647058,0.5,1.0,0.0,0,3,0,14,0.23507462686567165,0.9545454545454546,1.0,0.9538461538461539
hybrid_rank_allrange_025_fn_075,0.9,72,0.25263157894736843,0.7473684210526316,0.8194444444444444,0.8257277734067663,0.8709677419354839,0.7804878048780488,32,9,4,27,0.24882629107981222,0.803030303030303,0.875,0.8
predlow_vote_frac,0.9,60,0.21052631578947367,0.7894736842105263,0.8166666666666667,0.5,0.0,1.0,49,0,11,0,0.24444444444444444,0.8333333333333334,0.65625,0.8307692307692308
all_std,0.9,38,0.13333333333333333,0.8666666666666667,0.8157894736842105,0.6393939393939394,0.8787878787878788,0.4,2,3,4,29,0.2388663967611336,0.8939393939393939,0.875,0.8923076923076924
hybrid_fn_then_overall,0.9,73,0.256140350877193,0.743859649122807,0.8082191780821918,0.8121189024390244,0.84375,0.7804878048780488,32,9,5,27,0.24528301886792453,0.7878787878787878,0.84375,0.7846153846153846
hybrid_rank_allrange_050_fn_050,0.9,41,0.14385964912280702,0.856140350877193,0.8048780487804879,0.805952380952381,0.7619047619047619,0.85,17,3,5,16,0.23770491803278687,0.8787878787878788,0.84375,0.8769230769230769
hybrid_mean_all_std_abs_fn,0.9,43,0.15087719298245614,0.8491228070175438,0.7906976744186046,0.7782258064516129,0.8064516129032258,0.75,9,3,6,25,0.23553719008264462,0.8636363636363636,0.8125,0.8615384615384616
hybrid_overall_then_fn,0.9,41,0.14385964912280702,0.856140350877193,0.7804878048780488,0.7568681318681318,0.8214285714285714,0.6923076923076923,9,4,5,23,0.2336065573770492,0.8636363636363636,0.84375,0.8615384615384616
mean_absdiff_to_upper,0.9,59,0.20701754385964913,0.7929824561403509,0.7796610169491526,0.7323848238482384,0.8536585365853658,0.6111111111111112,11,7,6,35,0.2345132743362832,0.803030303030303,0.8125,0.8
hybrid_rank_allrange_075_fn_025,0.9,40,0.14035087719298245,0.8596491228070176,0.775,0.7440476190476191,0.8214285714285714,0.6666666666666666,8,4,5,23,0.23265306122448978,0.8636363636363636,0.84375,0.8615384615384616
all_range,0.9,31,0.10877192982456141,0.8912280701754386,0.7741935483870968,0.7038461538461538,0.8076923076923077,0.6,3,2,5,21,0.23228346456692914,0.8939393939393939,0.84375,0.8923076923076924
learn_upper_wrong_extra,0.9,47,0.1649122807017544,0.8350877192982457,0.7659574468085106,0.7305194805194806,0.8181818181818182,0.6428571428571429,9,5,6,27,0.23109243697478993,0.8333333333333334,0.8125,0.8307692307692308
learn_hard_core_logreg,0.9,33,0.11578947368421053,0.8842105263157894,0.7575757575757576,0.4807692307692308,0.9615384615384616,0.0,0,7,1,25,0.23015873015873015,0.8787878787878788,0.96875,0.8769230769230769
predlow_ensemble_median,0.9,25,0.08771929824561403,0.9122807017543859,0.72,0.5,0.0,1.0,18,0,7,0,0.22692307692307692,0.8939393939393939,0.78125,0.8923076923076924
learn_upper_fn_gb,0.9,7,0.02456140350877193,0.9754385964912281,0.7142857142857143,0.5,1.0,0.0,0,2,0,5,0.2302158273381295,0.9696969696969697,1.0,0.9692307692307692
max_absdiff_to_upper,0.9,25,0.08771929824561403,0.9122807017543859,0.68,0.5,0.8,0.2,1,4,4,16,0.2230769230769231,0.8787878787878788,0.875,0.8769230769230769
learn_upper_wrong_logreg,0.9,9,0.031578947368421054,0.968421052631579,0.6666666666666666,0.7,0.4,1.0,4,0,3,2,0.22826086956521738,0.9545454545454546,0.90625,1.0
predlow_disagree_mean,0.9,13,0.0456140350877193,0.9543859649122807,0.6153846153846154,0.5,0.0,1.0,8,0,5,0,0.22426470588235295,0.9242424242424242,0.84375,0.9230769230769231
learn_upper_fn_logreg,0.9,7,0.02456140350877193,0.9754385964912281,0.5714285714285714,0.5,0.0,1.0,4,0,3,0,0.22661870503597123,0.9545454545454546,0.90625,1.0
