source_kind,source_name,source_csv,domain,pred_col,usable_as_forced_baseline,provenance_note,n,accuracy,balanced_accuracy,f1,tn,fp,fn,tp,high_risk_recall,low_risk_specificity,auc
workflow_or_reconstructed_context_not_forced_baseline,v195_reconstructed_system,/workspace/thymic_project/experiments/risk_control_rejection_20260621/outputs/v195_reconstructed_case_outputs.csv,old_data,system_pred,False,"post-processed workflow/system output; may include review gates, auto-correction, or reconstruction",285,1.0,1.0,1.0,144,0,0,141,1.0,1.0,0.8737687155240348
workflow_or_reconstructed_context_not_forced_baseline,v195_reconstructed_system,/workspace/thymic_project/experiments/risk_control_rejection_20260621/outputs/v195_reconstructed_case_outputs.csv,strict_external,system_pred,False,"post-processed workflow/system output; may include review gates, auto-correction, or reconstruction",108,1.0,1.0,1.0,61,0,0,47,1.0,1.0,0.67317753749564
workflow_or_reconstructed_context_not_forced_baseline,v195_reconstructed_system,/workspace/thymic_project/experiments/risk_control_rejection_20260621/outputs/v195_reconstructed_case_outputs.csv,third_batch,system_pred,False,"post-processed workflow/system output; may include review gates, auto-correction, or reconstruction",306,0.9967320261437909,0.9939024390243902,0.9938650306748467,224,0,1,81,0.9878048780487805,1.0,0.818270905923345
workflow_or_reconstructed_context_not_forced_baseline,candidate_policy_system,/workspace/thymic_project/experiments/risk_control_rejection_20260621/outputs/candidate_policy_case_outputs.csv,old_data,system_pred,False,"post-processed workflow/system output; may include review gates, auto-correction, or reconstruction",285,1.0,1.0,1.0,144,0,0,141,1.0,1.0,0.8737687155240348
workflow_or_reconstructed_context_not_forced_baseline,candidate_policy_system,/workspace/thymic_project/experiments/risk_control_rejection_20260621/outputs/candidate_policy_case_outputs.csv,strict_external,system_pred,False,"post-processed workflow/system output; may include review gates, auto-correction, or reconstruction",108,1.0,1.0,1.0,61,0,0,47,1.0,1.0,0.67317753749564
workflow_or_reconstructed_context_not_forced_baseline,candidate_policy_system,/workspace/thymic_project/experiments/risk_control_rejection_20260621/outputs/candidate_policy_case_outputs.csv,third_batch,system_pred,False,"post-processed workflow/system output; may include review gates, auto-correction, or reconstruction",306,0.9967320261437909,0.9939024390243902,0.9938650306748467,224,0,1,81,0.9878048780487805,1.0,0.818270905923345
workflow_or_reconstructed_context_not_forced_baseline,v185_unlabeled_shift_system,/workspace/thymic_project/outputs/grosspath_rc_v185_unlabeled_shift_adaptive_policy_20260527/v185_unlabeled_shift_adaptive_cases.csv,old_data,final_pred,False,"post-processed workflow/system output; may include review gates, auto-correction, or reconstruction",285,0.9964912280701754,0.9965277777777778,0.9964664310954063,143,1,0,141,1.0,0.9930555555555556,0.8737687155240348
workflow_or_reconstructed_context_not_forced_baseline,v185_unlabeled_shift_system,/workspace/thymic_project/outputs/grosspath_rc_v185_unlabeled_shift_adaptive_policy_20260527/v185_unlabeled_shift_adaptive_cases.csv,strict_external,final_pred,False,"post-processed workflow/system output; may include review gates, auto-correction, or reconstruction",108,1.0,1.0,1.0,61,0,0,47,1.0,1.0,0.67317753749564
workflow_or_reconstructed_context_not_forced_baseline,v185_unlabeled_shift_system,/workspace/thymic_project/outputs/grosspath_rc_v185_unlabeled_shift_adaptive_policy_20260527/v185_unlabeled_shift_adaptive_cases.csv,third_batch,final_pred,False,"post-processed workflow/system output; may include review gates, auto-correction, or reconstruction",306,0.9705882352941176,0.9528527874564461,0.9433962264150944,222,2,7,75,0.9146341463414634,0.9910714285714286,0.818270905923345
