profile,model_kind,repeat_adapt,threshold_objective,threshold,task_l6_label,n,correct,accuracy
adapt150_high_focus,logreg_0.0003,2,accuracy,0.5499999999999999,TC,11,7,0.6363636363636364
adapt150_high_focus,logreg_0.0003,4,balanced_accuracy,0.6599999999999999,AB,132,125,0.946969696969697
adapt150_high_focus,logreg_0.0003,4,balanced_accuracy,0.6599999999999999,B1,6,4,0.6666666666666666
adapt150_high_focus,logreg_0.0003,4,balanced_accuracy,0.6599999999999999,B2,7,3,0.42857142857142855
adapt150_high_focus,logreg_0.0003,4,balanced_accuracy,0.6599999999999999,TC,11,6,0.5454545454545454
adapt150_high_focus,logreg_0.0003,4,accuracy,0.6599999999999999,AB,132,125,0.946969696969697
adapt150_high_focus,logreg_0.0003,4,accuracy,0.6599999999999999,B1,6,4,0.6666666666666666
adapt150_high_focus,logreg_0.0003,4,accuracy,0.6599999999999999,B2,7,3,0.42857142857142855
adapt150_high_focus,logreg_0.0003,4,accuracy,0.6599999999999999,TC,11,6,0.5454545454545454
adapt150_high_focus,logreg_0.001,1,balanced_accuracy,0.5199999999999999,AB,132,102,0.7727272727272727
adapt150_high_focus,logreg_0.001,1,balanced_accuracy,0.5199999999999999,B1,6,4,0.6666666666666666
adapt150_high_focus,logreg_0.001,1,balanced_accuracy,0.5199999999999999,B2,7,4,0.5714285714285714
adapt150_high_focus,logreg_0.001,1,balanced_accuracy,0.5199999999999999,TC,11,8,0.7272727272727273
adapt150_high_focus,logreg_0.001,1,accuracy,0.5199999999999999,AB,132,102,0.7727272727272727
adapt150_high_focus,logreg_0.001,1,accuracy,0.5199999999999999,B1,6,4,0.6666666666666666
adapt150_high_focus,logreg_0.001,1,accuracy,0.5199999999999999,B2,7,4,0.5714285714285714
adapt150_high_focus,logreg_0.001,1,accuracy,0.5199999999999999,TC,11,8,0.7272727272727273
adapt150_high_focus,logreg_0.001,2,balanced_accuracy,0.3999999999999999,AB,132,82,0.6212121212121212
adapt150_high_focus,logreg_0.001,2,balanced_accuracy,0.3999999999999999,B1,6,0,0.0
adapt150_high_focus,logreg_0.001,2,balanced_accuracy,0.3999999999999999,B2,7,5,0.7142857142857143
adapt150_high_focus,logreg_0.001,2,balanced_accuracy,0.3999999999999999,TC,11,11,1.0
adapt150_high_focus,logreg_0.001,2,accuracy,0.5499999999999999,AB,132,110,0.8333333333333334
