candidate,variant,model_kind,repeat_adapt,threshold_objective,threshold,train_accuracy,train_balanced_accuracy,train_f1,train_tn,train_fp,train_fn,train_tp,train_auc,old_oof_accuracy,old_oof_balanced_accuracy,old_oof_f1,old_oof_tn,old_oof_fp,old_oof_fn,old_oof_tp,old_oof_auc,adapt_oof_accuracy,adapt_oof_balanced_accuracy,adapt_oof_f1,adapt_oof_tn,adapt_oof_fp,adapt_oof_fn,adapt_oof_tp,adapt_oof_auc,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_auc,selection_score,error
raw__logreg_0.003__r4,raw,logreg_0.003,4.0,accuracy,0.4799999999999999,0.6722689075630253,0.6713230672532998,0.688,111.0,61.0,56.0,129.0,0.7158390949088624,0.6666666666666666,0.6668144208037825,0.6689895470383276,94.0,50.0,45.0,96.0,0.720104412923562,0.6944444444444444,0.6785714285714286,0.75,17.0,11.0,11.0,33.0,0.6915584415584415,0.6752136752136753,0.657626208378088,0.3870967741935484,134.0,62.0,14.0,24.0,0.7148227712137486,0.7807065222075118,
raw__logreg_0.01__r1,raw,logreg_0.01,1.0,balanced_accuracy,0.4099999999999999,0.6890756302521008,0.6871307353865493,0.7116883116883117,109.0,63.0,48.0,137.0,0.7473287240729102,0.7017543859649122,0.7024231678486997,0.717607973421927,92.0,52.0,33.0,108.0,0.7673364854215918,0.6388888888888888,0.6331168831168831,0.6904761904761905,17.0,11.0,15.0,29.0,0.6753246753246752,0.6495726495726496,0.6529269602577874,0.3787878787878788,127.0,69.0,13.0,25.0,0.705827067669173,0.7475170158077135,
raw__logreg_0.01__r1,raw,logreg_0.01,1.0,accuracy,0.4099999999999999,0.6890756302521008,0.6871307353865493,0.7116883116883117,109.0,63.0,48.0,137.0,0.7473287240729102,0.7017543859649122,0.7024231678486997,0.717607973421927,92.0,52.0,33.0,108.0,0.7673364854215918,0.6388888888888888,0.6331168831168831,0.6904761904761905,17.0,11.0,15.0,29.0,0.6753246753246752,0.6495726495726496,0.6529269602577874,0.3787878787878788,127.0,69.0,13.0,25.0,0.705827067669173,0.7475170158077135,
raw__logreg_0.01__r2,raw,logreg_0.01,2.0,balanced_accuracy,0.3499999999999999,0.6694677871148459,0.6657605279698303,0.7064676616915423,97.0,75.0,43.0,142.0,0.7247957259585167,0.6771929824561403,0.6780437352245863,0.6993464052287581,86.0,58.0,34.0,107.0,0.7418242710795903,0.6388888888888888,0.5941558441558441,0.7291666666666666,11.0,17.0,9.0,35.0,0.6217532467532467,0.5982905982905983,0.632921589688507,0.3561643835616438,114.0,82.0,12.0,26.0,0.7046186895810956,0.7059915519566682,
raw__logreg_0.01__r2,raw,logreg_0.01,2.0,accuracy,0.3499999999999999,0.6694677871148459,0.6657605279698303,0.7064676616915423,97.0,75.0,43.0,142.0,0.7247957259585167,0.6771929824561403,0.6780437352245863,0.6993464052287581,86.0,58.0,34.0,107.0,0.7418242710795903,0.6388888888888888,0.5941558441558441,0.7291666666666666,11.0,17.0,9.0,35.0,0.6217532467532467,0.5982905982905983,0.632921589688507,0.3561643835616438,114.0,82.0,12.0,26.0,0.7046186895810956,0.7059915519566682,
raw__logreg_0.01__r4,raw,logreg_0.01,4.0,balanced_accuracy,0.71,0.6722689075630253,0.6768384663733501,0.6355140186915887,138.0,34.0,83.0,102.0,0.7193588937774985,0.712280701754386,0.7109929078014184,0.6693548387096774,120.0,24.0,58.0,83.0,0.7460598896769108,0.5138888888888888,0.5373376623376623,0.5205479452054794,18.0,10.0,25.0,19.0,0.6160714285714285,0.782051282051282,0.6471535982814178,0.4,166.0,30.0,21.0,17.0,0.7024704618689581,0.6442527227469088,
raw__logreg_0.01__r4,raw,logreg_0.01,4.0,accuracy,0.71,0.6722689075630253,0.6768384663733501,0.6355140186915887,138.0,34.0,83.0,102.0,0.7193588937774985,0.712280701754386,0.7109929078014184,0.6693548387096774,120.0,24.0,58.0,83.0,0.7460598896769108,0.5138888888888888,0.5373376623376623,0.5205479452054794,18.0,10.0,25.0,19.0,0.6160714285714285,0.782051282051282,0.6471535982814178,0.4,166.0,30.0,21.0,17.0,0.7024704618689581,0.6442527227469088,
raw__ridge_0.3__r1,raw,ridge_0.3,1.0,balanced_accuracy,0.49999999999999994,0.6778711484593838,0.678362664990572,0.6814404432132964,119.0,53.0,62.0,123.0,0.7368321810182275,0.7157894736842105,0.7158687943262412,0.7157894736842105,102.0,42.0,39.0,102.0,0.7638888888888888,0.5277777777777778,0.5422077922077921,0.5526315789473685,17.0,11.0,23.0,21.0,0.6176948051948052,0.6452991452991453,0.6185553168635876,0.3464566929133858,129.0,67.0,16.0,22.0,0.654672395273899,0.6500002008955497,
raw__ridge_0.3__r1,raw,ridge_0.3,1.0,accuracy,0.49999999999999994,0.6778711484593838,0.678362664990572,0.6814404432132964,119.0,53.0,62.0,123.0,0.7368321810182275,0.7157894736842105,0.7158687943262412,0.7157894736842105,102.0,42.0,39.0,102.0,0.7638888888888888,0.5277777777777778,0.5422077922077921,0.5526315789473685,17.0,11.0,23.0,21.0,0.6176948051948052,0.6452991452991453,0.6185553168635876,0.3464566929133858,129.0,67.0,16.0,22.0,0.654672395273899,0.6500002008955497,
raw__ridge_0.3__r2,raw,ridge_0.3,2.0,balanced_accuracy,0.57,0.6358543417366946,0.6396605908233814,0.6036585365853658,128.0,44.0,86.0,99.0,0.6841294783155248,0.6666666666666666,0.6657801418439716,0.6332046332046332,108.0,36.0,59.0,82.0,0.7121256895193064,0.5138888888888888,0.5503246753246753,0.4927536231884058,20.0,8.0,27.0,17.0,0.564935064935065,0.7393162393162394,0.6004296455424275,0.32967032967032966,158.0,38.0,23.0,15.0,0.6544038668098819,0.6527783906679255,
raw__ridge_0.3__r2,raw,ridge_0.3,2.0,accuracy,0.57,0.6358543417366946,0.6396605908233814,0.6036585365853658,128.0,44.0,86.0,99.0,0.6841294783155248,0.6666666666666666,0.6657801418439716,0.6332046332046332,108.0,36.0,59.0,82.0,0.7121256895193064,0.5138888888888888,0.5503246753246753,0.4927536231884058,20.0,8.0,27.0,17.0,0.564935064935065,0.7393162393162394,0.6004296455424275,0.32967032967032966,158.0,38.0,23.0,15.0,0.6544038668098819,0.6527783906679255,
