group,n,accuracy,balanced_accuracy,f1,auc,tn,fp,fn,tp,high_recall,low_specificity
all,162,0.5925925925925926,0.586096256684492,0.648936170212766,0.6768525592055005,35,42,24,61,0.7176470588235294,0.45454545454545453
subtype:A,22,0.3181818181818182,0.3181818181818182,0.0,,7,15,0,0,,0.3181818181818182
subtype:AB,29,0.6206896551724138,0.6206896551724138,0.0,,18,11,0,0,,0.6206896551724138
subtype:B1,26,0.38461538461538464,0.38461538461538464,0.0,,10,16,0,0,,0.38461538461538464
subtype:B2,28,0.6428571428571429,0.6428571428571429,0.782608695652174,,0,0,10,18,0.6428571428571429,
subtype:B3,29,0.6551724137931034,0.6551724137931034,0.7916666666666666,,0,0,10,19,0.6551724137931034,
subtype:TC,28,0.8571428571428571,0.8571428571428571,0.9230769230769231,,0,0,4,24,0.8571428571428571,
