fold,kind,repeat_adapt,threshold_objective,threshold,fold_accuracy,fold_balanced_accuracy,fold_f1,fold_tn,fold_fp,fold_fn,fold_tp,fold_auc
0,logreg_0.001,2,balanced_accuracy,0.6699999999999999,0.7580645161290323,0.6869281045751634,0.5454545454545454,38,7,8,9,0.8339869281045751
1,logreg_0.001,2,balanced_accuracy,0.4499999999999999,0.7540983606557377,0.7326388888888888,0.5945945945945946,35,10,5,11,0.8777777777777778
2,logreg_0.001,2,balanced_accuracy,0.4499999999999999,0.6885245901639344,0.6680555555555556,0.5128205128205128,32,13,6,10,0.7430555555555556
3,logreg_0.001,2,balanced_accuracy,0.37999999999999995,0.6229508196721312,0.6840277777777778,0.5306122448979592,25,20,3,13,0.7791666666666667
4,logreg_0.001,2,balanced_accuracy,0.49999999999999994,0.7540983606557377,0.6671122994652406,0.5161290322580645,38,6,9,8,0.7553475935828876
