split,policy,n,control_n,control_rate,auto_n,auto_rate,remaining_error_n,auto_wrong_n,auto_fn_n,auto_fp_n,captured_wrong_n,captured_fn_n,captured_fp_n,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,extra_control_n,extra_control_rate,extra_captured_wrong_n,extra_captured_fn_n,extra_captured_fp_n,candidate,rate
pseudo_third_to_old,v75_quality_lowconf_base,285,213,0.7473684210526316,72,0.25263157894736843,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,,,,,,none,0.0
pseudo_third_to_old,v75_plus_pred_high_quality_proxy_r025,285,216,0.7578947368421053,69,0.24210526315789474,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,3.0,0.010526315789473684,0.0,0.0,0.0,pred_high_quality_proxy,0.025
pseudo_third_to_old,v75_plus_pred_high_quality_proxy_r050,285,216,0.7578947368421053,69,0.24210526315789474,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,3.0,0.010526315789473684,0.0,0.0,0.0,pred_high_quality_proxy,0.05
pseudo_third_to_old,v75_plus_pred_high_quality_proxy_r075,285,219,0.7684210526315789,66,0.23157894736842105,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,6.0,0.021052631578947368,0.0,0.0,0.0,pred_high_quality_proxy,0.075
pseudo_third_to_old,v75_plus_pred_high_quality_proxy_r100,285,222,0.7789473684210526,63,0.22105263157894736,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,9.0,0.031578947368421054,0.0,0.0,0.0,pred_high_quality_proxy,0.1
pseudo_third_to_old,v75_plus_pred_high_quality_proxy_r125,285,224,0.7859649122807018,61,0.21403508771929824,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,11.0,0.03859649122807018,0.0,0.0,0.0,pred_high_quality_proxy,0.125
pseudo_third_to_old,v75_plus_pred_high_quality_proxy_r150,285,227,0.7964912280701755,58,0.20350877192982456,0,0,0,0,33,11,22,1.0,1.0,1.0,1.0,1.0,1.0,144,0,0,141,14.0,0.04912280701754386,1.0,0.0,1.0,pred_high_quality_proxy,0.15
pseudo_third_to_old,v75_plus_pred_high_quality_proxy_r175,285,231,0.8105263157894737,54,0.18947368421052632,0,0,0,0,33,11,22,1.0,1.0,1.0,1.0,1.0,1.0,144,0,0,141,18.0,0.06315789473684211,1.0,0.0,1.0,pred_high_quality_proxy,0.175
pseudo_third_to_old,v75_plus_pred_high_quality_proxy_r200,285,234,0.8210526315789474,51,0.17894736842105263,0,0,0,0,33,11,22,1.0,1.0,1.0,1.0,1.0,1.0,144,0,0,141,21.0,0.07368421052631578,1.0,0.0,1.0,pred_high_quality_proxy,0.2
pseudo_third_to_old,v75_plus_pred_high_risk_any_r025,285,213,0.7473684210526316,72,0.25263157894736843,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,0.0,0.0,0.0,0.0,0.0,pred_high_risk_any,0.025
