n,flip_n,flip_rate,base_errors,final_errors,net_errors_reduced,rescued_n,hurt_n,base_n,base_accuracy,base_balanced_accuracy,base_f1,base_sensitivity_high,base_specificity_low,base_tn,base_fp,base_fn,base_tp,base_auc,final_n,final_accuracy,final_balanced_accuracy,final_f1,final_sensitivity_high,final_specificity_low,final_tn,final_fp,final_fn,final_tp,final_auc,delta_bacc,eval_scope,rule_name,base_model,pseudo_subset,signal,mode,threshold
119,17,0.14285714285714285,12,25,-13,2,15,119,0.8991596638655462,0.8377932551319649,0.7857142857142857,0.7096774193548387,0.9659090909090909,85,3,9,22,0.8911290322580645,119,0.7899159663865546,0.7012463343108504,0.5614035087719298,0.5161290322580645,0.8863636363636364,78,10,15,16,0.8911290322580645,-0.13654692082111453,quality_top20_internal,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.808596,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8085959665871396
285,53,0.18596491228070175,45,82,-37,8,45,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.712280701754386,0.7111406619385343,0.6746031746031746,0.6028368794326241,0.8194444444444444,118,26,56,85,0.9036643026004727,-0.1305407801418439,old_data,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.808596,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8085959665871396
306,66,0.21568627450980393,59,67,-8,29,37,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.7810457516339869,0.6919642857142857,0.5503355704697986,0.5,0.8839285714285714,198,26,41,41,0.8161476480836237,-0.044915069686411124,third_batch,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.808596,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8085959665871396
105,37,0.3523809523809524,32,49,-17,10,27,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.5333333333333333,0.5210931768158474,0.4367816091954023,0.40425531914893614,0.6379310344827587,37,21,28,19,0.6621423330887748,-0.17278063096111518,strict_external,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.808596,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8085959665871396
696,156,0.22413793103448276,136,198,-62,47,109,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182,696,0.7155172413793104,0.6828377673448096,0.5942622950819673,0.5370370370370371,0.8286384976525821,353,73,125,145,0.8477743001217182,-0.10532081377151803,all_three_domains,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.808596,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8085959665871396
119,14,0.11764705882352941,12,22,-10,2,12,119,0.8991596638655462,0.8377932551319649,0.7857142857142857,0.7096774193548387,0.9659090909090909,85,3,9,22,0.8911290322580645,119,0.8151260504201681,0.718291788856305,0.5925925925925926,0.5161290322580645,0.9204545454545454,81,7,15,16,0.8911290322580645,-0.11950146627565994,quality_top20_internal,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.841002,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8410017432284593
285,37,0.12982456140350876,45,70,-25,6,31,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.7543859649122807,0.7530289598108747,0.7154471544715447,0.624113475177305,0.8819444444444444,127,17,53,88,0.9036643026004727,-0.08865248226950351,old_data,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.841002,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8410017432284593
306,52,0.16993464052287582,59,65,-6,23,29,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.7875816993464052,0.67323606271777,0.5185185185185185,0.4268292682926829,0.9196428571428571,206,18,47,35,0.8161476480836237,-0.06364329268292679,third_batch,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.841002,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8410017432284593
105,30,0.2857142857142857,32,44,-12,9,21,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.580952380952381,0.5702494497432136,0.5,0.46808510638297873,0.6724137931034483,39,19,25,22,0.6621423330887748,-0.12362435803374905,strict_external,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.841002,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8410017432284593
696,119,0.17097701149425287,136,179,-43,38,81,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182,696,0.742816091954023,0.7051382368283776,0.6183368869936035,0.5370370370370371,0.8732394366197183,372,54,125,145,0.8477743001217182,-0.08302034428795002,all_three_domains,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.841002,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8410017432284593
119,9,0.07563025210084033,12,19,-7,1,8,119,0.8991596638655462,0.8377932551319649,0.7857142857142857,0.7096774193548387,0.9659090909090909,85,3,9,22,0.8911290322580645,119,0.8403361344537815,0.7457844574780059,0.6415094339622641,0.5483870967741935,0.9431818181818182,83,5,14,17,0.8911290322580645,-0.09200879765395897,quality_top20_internal,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.877802,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8778020940718312
285,25,0.08771929824561403,45,64,-19,3,22,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.775438596491228,0.7742316784869976,0.744,0.6595744680851063,0.8888888888888888,128,16,48,93,0.9036643026004727,-0.06744976359338062,old_data,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.877802,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8778020940718312
306,35,0.11437908496732026,59,66,-7,14,21,306,0.8071895424836601,0.7368793554006968,0.6193548387096774,0.5853658536585366,0.8883928571428571,199,25,34,48,0.8161476480836237,306,0.7843137254901961,0.6748693379790941,0.5217391304347826,0.43902439024390244,0.9107142857142857,204,20,46,36,0.8161476480836237,-0.062010017421602726,third_batch,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.877802,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8778020940718312
105,14,0.13333333333333333,32,36,-4,5,9,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.6571428571428571,0.6452677916360968,0.5813953488372093,0.5319148936170213,0.7586206896551724,44,14,22,25,0.6621423330887748,-0.04860601614086579,strict_external,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.877802,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8778020940718312
696,74,0.10632183908045977,136,166,-30,22,52,696,0.8045977011494253,0.7881585811163276,0.7394636015325671,0.7148148148148148,0.8615023474178404,367,59,77,193,0.8477743001217182,696,0.7614942528735632,0.7264997391757955,0.6497890295358649,0.5703703703703704,0.8826291079812206,376,50,116,154,0.8477743001217182,-0.06165884194053217,all_three_domains,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.877802,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8778020940718312
119,9,0.07563025210084033,12,19,-7,1,8,119,0.8991596638655462,0.8377932551319649,0.7857142857142857,0.7096774193548387,0.9659090909090909,85,3,9,22,0.8911290322580645,119,0.8403361344537815,0.7457844574780059,0.6415094339622641,0.5483870967741935,0.9431818181818182,83,5,14,17,0.8911290322580645,-0.09200879765395897,quality_top20_internal,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.883766,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8837660733634999
285,24,0.08421052631578947,45,63,-18,3,21,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.7789473684210526,0.7777777777777777,0.749003984063745,0.6666666666666666,0.8888888888888888,128,16,47,94,0.9036643026004727,-0.06390366430260053,old_data,robust_prob|quality_top20_internal|single:v144_concept_directional|all_preds|t=0.883766,robust_prob,quality_top20_internal,single:v144_concept_directional,all_preds,0.8837660733634999
