accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,metric,max_size,allow_repeats,oracle_acc
0.8350877192982457,0.8348108747044918,0.8348108747044918,0.8290909090909091,0.8085106382978723,0.8611111111111112,124,20,27,114,accuracy,1,0,0.9543859649122807
0.8315789473684211,0.8313386524822695,0.8408687943262412,0.8260869565217391,0.8085106382978723,0.8541666666666666,123,21,27,114,balanced_accuracy,5,0,0.9543859649122807
0.8315789473684211,0.8313386524822695,0.8403516548463358,0.8260869565217391,0.8085106382978723,0.8541666666666666,123,21,27,114,balanced_accuracy,8,0,0.9543859649122807
0.8315789473684211,0.8313386524822695,0.8350571315996848,0.8260869565217391,0.8085106382978723,0.8541666666666666,123,21,27,114,balanced_accuracy,3,0,0.9543859649122807
0.8315789473684211,0.8313386524822695,0.8345153664302599,0.8260869565217391,0.8085106382978723,0.8541666666666666,123,21,27,114,accuracy,3,0,0.9543859649122807
0.8315789473684211,0.8312647754137117,0.8312647754137117,0.8248175182481752,0.8014184397163121,0.8611111111111112,124,20,28,113,balanced_accuracy,1,0,0.9543859649122807
0.8245614035087719,0.824394208037825,0.8431343577620172,0.8201438848920863,0.8085106382978723,0.8402777777777778,121,23,27,114,accuracy,5,0,0.9543859649122807
0.8245614035087719,0.824394208037825,0.8431343577620172,0.8201438848920863,0.8085106382978723,0.8402777777777778,121,23,27,114,accuracy,8,0,0.9543859649122807
