domain,score,score_label,n,wrong_n,wrong_rate,error_auc,error_ap,aurc,fn_auc_in_pred_low,fn_ap_in_pred_low,fp_auc_in_pred_high,fp_ap_in_pred_high,capture_at_10,precision_at_10,lift_at_10,capture_at_20,precision_at_20,lift_at_20,capture_at_30,precision_at_30,lift_at_30,capture_at_50,precision_at_50,lift_at_50,capture_at_75,precision_at_75,lift_at_75,capture_at_80,precision_at_80,lift_at_80
old_data,random_expected,Random expected,285,33,0.11578947368421053,0.5,0.11578947368421053,0.11578947368421051,0.5,,0.5,,0.1,0.11578947368421053,1.0,0.2,0.11578947368421053,1.0,0.3,0.11578947368421053,1.0,0.5,0.11578947368421053,1.0,0.75,0.11578947368421053,1.0,0.8,0.11578947368421053,1.0
old_data,uncertainty_min_margin,Confidence uncertainty,285,33,0.11578947368421053,0.7252284752284752,0.23621124101351879,0.05681603253018879,0.6385991058122206,0.1692924468398325,0.8062937062937063,0.368342070634231,0.15151515151515152,0.17857142857142858,1.5422077922077924,0.36363636363636365,0.21052631578947367,1.8181818181818181,0.6666666666666666,0.2558139534883721,2.2093023255813953,0.8181818181818182,0.19014084507042253,1.6421254801536491,0.9090909090909091,0.14018691588785046,1.2107051826677995,0.9696969696969697,0.14035087719298245,1.2121212121212122
old_data,ensemble_disagreement,Ensemble disagreement,285,33,0.11578947368421053,0.6331770081770083,0.21848515107845876,0.09056917504883955,0.44672131147540983,0.10390258567306171,0.6854895104895105,0.26606290151447587,0.24242424242424243,0.2857142857142857,2.4675324675324672,0.42424242424242425,0.24561403508771928,2.121212121212121,0.5151515151515151,0.19767441860465115,1.7071881606765327,0.696969696969697,0.1619718309859155,1.3988476312419975,0.7878787878787878,0.12149532710280374,1.0492778249787595,0.7878787878787878,0.11403508771929824,0.9848484848484848
old_data,risk_any_oof,OOF any-error risk,285,33,0.11578947368421053,0.7445887445887445,0.4520956791618975,0.05384679672428091,0.5566318926974665,0.14543379073199236,0.837062937062937,0.5983126496898523,0.42424242424242425,0.5,4.318181818181818,0.48484848484848486,0.2807017543859649,2.4242424242424243,0.5757575757575758,0.22093023255813954,1.9080338266384778,0.7272727272727273,0.16901408450704225,1.4596670934699103,0.9696969696969697,0.14953271028037382,1.2914188615123194,1.0,0.14473684210526316,1.25
old_data,risk_direction_oof,OOF direction risk,285,33,0.11578947368421053,0.7718855218855218,0.4207994748001102,0.04678238998084671,0.631892697466468,0.11959916962757644,0.8524475524475524,0.5757884371006985,0.36363636363636365,0.42857142857142855,3.7012987012987013,0.5151515151515151,0.2982456140350877,2.5757575757575757,0.6363636363636364,0.2441860465116279,2.1088794926004226,0.8181818181818182,0.19014084507042253,1.6421254801536491,1.0,0.1542056074766355,1.3317757009345794,1.0,0.14473684210526316,1.25
old_data,quality_proxy,Quality proxy,285,33,0.11578947368421053,0.45478595478595474,0.11500766175688776,0.10898321117220586,0.4180327868852459,0.08270676691729323,0.47027972027972026,0.15989304812834224,0.030303030303030304,0.03571428571428571,0.3084415584415584,0.18181818181818182,0.10526315789473684,0.9090909090909091,0.30303030303030304,0.11627906976744186,1.0042283298097252,0.5151515151515151,0.11971830985915492,1.0339308578745199,0.7878787878787878,0.12149532710280374,1.0492778249787595,0.8484848484848485,0.12280701754385964,1.0606060606060606
old_data,quality_plus_lowconf,Quality + low confidence,285,33,0.11578947368421053,0.6715969215969216,0.17229492832318086,0.06592669425985143,0.5618479880774963,0.10060042747467282,0.7524475524475525,0.2851794722230119,0.09090909090909091,0.10714285714285714,0.9253246753246753,0.21212121212121213,0.12280701754385964,1.0606060606060606,0.48484848484848486,0.18604651162790697,1.6067653276955602,0.7878787878787878,0.18309859154929578,1.5813060179257363,0.9090909090909091,0.14018691588785046,1.2107051826677995,0.9090909090909091,0.13157894736842105,1.1363636363636362
old_data,quality_plus_direction,Quality + direction risk,285,33,0.11578947368421053,0.7347282347282348,0.23752654631042994,0.054596414779110945,0.549925484351714,0.09440189397008349,0.8304195804195804,0.4150290998037599,0.30303030303030304,0.35714285714285715,3.0844155844155847,0.48484848484848486,0.2807017543859649,2.4242424242424243,0.6363636363636364,0.2441860465116279,2.1088794926004226,0.7878787878787878,0.18309859154929578,1.5813060179257363,0.9090909090909091,0.14018691588785046,1.2107051826677995,1.0,0.14473684210526316,1.25
old_data,max_any_direction_quality,"Max(any, direction, quality)",285,33,0.11578947368421053,0.7169913419913421,0.29698964051179844,0.05852981661508282,0.532414307004471,0.09113357225480029,0.8041958041958042,0.5002393164739675,0.36363636363636365,0.42857142857142855,3.7012987012987013,0.45454545454545453,0.2631578947368421,2.2727272727272725,0.5454545454545454,0.20930232558139536,1.8076109936575053,0.7575757575757576,0.176056338028169,1.5204865556978233,0.9393939393939394,0.14485981308411214,1.2510620220900595,0.9696969696969697,0.14035087719298245,1.2121212121212122
old_data,oracle_wrong,Oracle,285,33,0.11578947368421053,1.0,1.0,0.008102255072667203,1.0,1.0,1.0,1.0,0.8484848484848485,1.0,8.636363636363637,1.0,0.5789473684210527,5.0,1.0,0.38372093023255816,3.313953488372093,1.0,0.2323943661971831,2.0070422535211265,1.0,0.1542056074766355,1.3317757009345794,1.0,0.14473684210526316,1.25
third_batch,random_expected,Random expected,306,58,0.1895424836601307,0.5,0.1895424836601307,0.18954248366013068,0.5,,0.5,,0.1,0.1895424836601307,1.0,0.2,0.1895424836601307,1.0,0.3,0.1895424836601307,1.0,0.5,0.1895424836601307,1.0,0.75,0.1895424836601307,1.0,0.8,0.1895424836601307,1.0
third_batch,uncertainty_min_margin,Confidence uncertainty,306,58,0.1895424836601307,0.6880561735261401,0.3547115854565599,0.10892593865752616,0.6437696335078534,0.29284302741002755,0.6788942052099947,0.5221426913609428,0.15517241379310345,0.2903225806451613,1.531701890989989,0.3275862068965517,0.3114754098360656,1.6433013001695875,0.4827586206896552,0.30434782608695654,1.605697151424288,0.7758620689655172,0.29411764705882354,1.5517241379310347,0.9310344827586207,0.23478260869565218,1.238680659670165,0.9482758620689655,0.22448979591836735,1.1843771991555243
third_batch,ensemble_disagreement,Ensemble disagreement,306,58,0.1895424836601307,0.6479073971078976,0.27298208293222015,0.13083110411179952,0.5812565445026179,0.15018151928938678,0.6355661881977671,0.44167444328288363,0.1206896551724138,0.22580645161290322,1.1913236929922135,0.3275862068965517,0.3114754098360656,1.6433013001695875,0.5172413793103449,0.32608695652173914,1.7203898050974513,0.6896551724137931,0.26143790849673204,1.3793103448275863,0.8793103448275862,0.2217391304347826,1.169865067466267,0.896551724137931,0.21224489795918366,1.1197748064743138
third_batch,risk_any_oof,OOF any-error risk,306,58,0.1895424836601307,0.7292130144605117,0.4577012976827194,0.10665258922114963,0.574240837696335,0.14271547084888758,0.732589048378522,0.6164646816514787,0.3103448275862069,0.5806451612903226,3.063403781979978,0.46551724137931033,0.4426229508196721,2.335217637083098,0.5689655172413793,0.358695652173913,1.8924287856071964,0.7241379310344828,0.27450980392156865,1.4482758620689657,0.8793103448275862,0.2217391304347826,1.169865067466267,0.9310344827586207,0.22040816326530613,1.1628430682617876
third_batch,risk_direction_oof,OOF direction risk,306,58,0.1895424836601307,0.6855533926585095,0.41474492687451636,0.12462258527895627,0.5579057591623037,0.1491288753665055,0.7081339712918661,0.5812382190955345,0.29310344827586204,0.5483870967741935,2.89321468298109,0.41379310344827586,0.39344262295081966,2.075749010740531,0.5344827586206896,0.33695652173913043,1.777736131934033,0.6896551724137931,0.26143790849673204,1.3793103448275863,0.8275862068965517,0.20869565217391303,1.1010494752623687,0.9137931034482759,0.2163265306122449,1.1413089373680507
third_batch,quality_proxy,Quality proxy,306,58,0.1895424836601307,0.4207800333704116,0.17445366027501946,0.22003198875504604,0.417696335078534,0.13416400154107985,0.512227538543328,0.3554868134947431,0.05172413793103448,0.0967741935483871,0.5105672969966629,0.1206896551724138,0.11475409836065574,0.6054267947993217,0.1724137931034483,0.10869565217391304,0.5734632683658171,0.5,0.1895424836601307,1.0,0.7241379310344828,0.1826086956521739,0.9634182908545728,0.7413793103448276,0.17551020408163265,0.9259676284306826
third_batch,quality_plus_lowconf,Quality + low confidence,306,58,0.1895424836601307,0.5786637931034483,0.23030604070379534,0.1461827827810255,0.5345549738219896,0.16607010171956832,0.6629452418926104,0.49016954542294955,0.10344827586206896,0.1935483870967742,1.0211345939933258,0.20689655172413793,0.19672131147540983,1.0378745053702656,0.3275862068965517,0.20652173913043478,1.0895802098950524,0.5862068965517241,0.2222222222222222,1.1724137931034482,0.896551724137931,0.22608695652173913,1.1928035982008995,0.9310344827586207,0.22040816326530613,1.1628430682617876
third_batch,quality_plus_direction,Quality + direction risk,306,58,0.1895424836601307,0.5839474416017798,0.23749655799281855,0.15389817528215374,0.4671204188481675,0.12056036705687359,0.6626794258373206,0.4863847563454945,0.15517241379310345,0.2903225806451613,1.531701890989989,0.1896551724137931,0.18032786885245902,0.9513849632560769,0.3620689655172414,0.22826086956521738,1.2042728635682158,0.603448275862069,0.22875816993464052,1.206896551724138,0.8275862068965517,0.20869565217391303,1.1010494752623687,0.8620689655172413,0.20408163265306123,1.0767065446868402
third_batch,max_any_direction_quality,"Max(any, direction, quality)",306,58,0.1895424836601307,0.6520439377085651,0.328080418603044,0.13124328791240306,0.494869109947644,0.13973353564492585,0.7014885699096225,0.5355513542531387,0.22413793103448276,0.41935483870967744,2.2124582869855396,0.3620689655172414,0.3442622950819672,1.816280384397965,0.4482758620689655,0.2826086956521739,1.4910044977511243,0.6551724137931034,0.24836601307189543,1.310344827586207,0.8793103448275862,0.2217391304347826,1.169865067466267,0.9310344827586207,0.22040816326530613,1.1628430682617876
third_batch,oracle_wrong,Oracle,306,58,0.1895424836601307,1.0,1.0,0.02154935457618075,1.0,1.0,1.0,1.0,0.5344827586206896,1.0,5.275862068965518,1.0,0.9508196721311475,5.016393442622951,1.0,0.6304347826086957,3.3260869565217392,1.0,0.3790849673202614,2.0,1.0,0.25217391304347825,1.3304347826086957,1.0,0.23673469387755103,1.2489795918367348
strict_external,random_expected,Random expected,108,32,0.2962962962962963,0.5,0.2962962962962963,0.2962962962962963,0.5,,0.5,,0.1,0.2962962962962963,1.0,0.2,0.2962962962962963,1.0,0.3,0.2962962962962963,1.0,0.5,0.2962962962962963,1.0,0.75,0.2962962962962963,1.0,0.8,0.2962962962962963,1.0
strict_external,uncertainty_min_margin,Confidence uncertainty,108,32,0.2962962962962963,0.4017269736842105,0.24492943718613386,0.3484982716780495,0.36363636363636365,0.20355012898574576,0.4485294117647059,0.34708728975675884,0.0,0.0,0.0,0.09375,0.13636363636363635,0.4602272727272727,0.125,0.125,0.421875,0.4375,0.25925925925925924,0.875,0.71875,0.2839506172839506,0.9583333333333334,0.75,0.27906976744186046,0.9418604651162791
strict_external,ensemble_disagreement,Ensemble disagreement,108,32,0.2962962962962963,0.4950657894736842,0.31953654101199686,0.2983092687332121,0.4772727272727273,0.24067767146389812,0.48897058823529416,0.4129300511568349,0.09375,0.2727272727272727,0.9204545454545454,0.125,0.18181818181818182,0.6136363636363636,0.25,0.25,0.84375,0.5,0.2962962962962963,1.0,0.75,0.2962962962962963,1.0,0.8125,0.3023255813953488,1.0203488372093024
strict_external,risk_any_oof,OOF any-error risk,108,32,0.2962962962962963,0.6652960526315789,0.41219405416161975,0.19997157919178493,0.5909090909090908,0.31165268886928854,0.7095588235294117,0.5090500819511636,0.125,0.36363636363636365,1.2272727272727273,0.3125,0.45454545454545453,1.5340909090909092,0.4375,0.4375,1.4765625,0.6875,0.4074074074074074,1.375,0.875,0.345679012345679,1.1666666666666667,0.90625,0.3372093023255814,1.1380813953488373
strict_external,risk_direction_oof,OOF direction risk,108,32,0.2962962962962963,0.6657072368421052,0.41028434395328245,0.19710516932038954,0.5924242424242424,0.3105704377870374,0.7095588235294117,0.5090500819511636,0.125,0.36363636363636365,1.2272727272727273,0.3125,0.45454545454545453,1.5340909090909092,0.4375,0.4375,1.4765625,0.6875,0.4074074074074074,1.375,0.90625,0.35802469135802467,1.2083333333333333,0.9375,0.3488372093023256,1.177325581395349
strict_external,quality_proxy,Quality proxy,108,32,0.2962962962962963,0.5349506578947367,0.32337972852250285,0.2712025523747628,0.5553030303030303,0.29866280547823537,0.48713235294117646,0.3644748947220986,0.09375,0.2727272727272727,0.9204545454545454,0.21875,0.3181818181818182,1.0738636363636365,0.375,0.375,1.265625,0.5,0.2962962962962963,1.0,0.8125,0.32098765432098764,1.0833333333333333,0.84375,0.313953488372093,1.059593023255814
