accuracy,balanced_accuracy,auc,ap,f1,precision,recall,tn,fp,fn,tp,threshold,top10_precision,top10_recall,top20_precision,top20_recall,top30_precision,top30_recall,top38_precision,top38_recall,top65_precision,top65_recall,top80_precision,top80_recall,top100_precision,top100_recall,run_name,target,feature_set,classifier,positives,top47_precision,top47_recall,top27_precision,top27_recall
0.9929824561403509,0.9961240310077519,0.9989951191501579,0.9900144807305113,0.9642857142857143,0.9310344827586207,1.0,256,2,0,27,0.72,1.0,0.37037037037037035,1.0,0.7407407407407407,0.9,1.0,0.7105263157894737,1.0,,,0.3375,1.0,0.27,1.0,best41_fn__gross_hand_model__logreg,best41_fn,gross_hand_model,logreg,27,,,0.9629629629629629,0.9629629629629629
0.9929824561403509,0.9961240310077519,0.9989951191501579,0.9900144807305113,0.9642857142857143,0.9310344827586207,1.0,256,2,0,27,0.71,1.0,0.37037037037037035,1.0,0.7407407407407407,0.9,1.0,0.7105263157894737,1.0,,,0.3375,1.0,0.27,1.0,best41_fn__gross_text_hand_model__logreg,best41_fn,gross_text_hand_model,logreg,27,,,0.9629629629629629,0.9629629629629629
0.9964912280701754,0.998062015503876,0.9989951191501579,0.9895625061406057,0.9818181818181818,0.9642857142857143,1.0,257,1,0,27,0.63,1.0,0.37037037037037035,1.0,0.7407407407407407,0.9,1.0,0.7105263157894737,1.0,,,0.3375,1.0,0.27,1.0,best41_fn__gross_hand_model__logreg_c1,best41_fn,gross_hand_model,logreg_c1,27,,,0.9629629629629629,0.9629629629629629
0.9964912280701754,0.998062015503876,0.9989951191501579,0.9895625061406057,0.9818181818181818,0.9642857142857143,1.0,257,1,0,27,0.6399999999999999,1.0,0.37037037037037035,1.0,0.7407407407407407,0.9,1.0,0.7105263157894737,1.0,,,0.3375,1.0,0.27,1.0,best41_fn__gross_text_hand_model__logreg_c1,best41_fn,gross_text_hand_model,logreg_c1,27,,,0.9629629629629629,0.9629629629629629
0.9824561403508771,0.9571490094745909,0.9645420614412862,0.9366953984842171,0.9090909090909091,0.8928571428571429,0.9259259259259259,255,3,2,25,0.5599999999999999,1.0,0.37037037037037035,1.0,0.7407407407407407,0.8333333333333334,0.9259259259259259,0.6578947368421053,0.9259259259259259,,,0.3125,0.9259259259259259,0.25,0.9259259259259259,best41_fn__gross_hand_model__extra,best41_fn,gross_hand_model,extra,27,,,0.9259259259259259,0.9259259259259259
0.9438596491228071,0.919250645994832,0.9483204134366925,0.883585259123196,0.75,0.6486486486486487,0.8888888888888888,245,13,3,24,0.57,1.0,0.37037037037037035,0.95,0.7037037037037037,0.7666666666666667,0.8518518518518519,0.631578947368421,0.8888888888888888,,,0.3125,0.9259259259259259,0.25,0.9259259259259259,best41_fn__gross_text_hand_model__extra,best41_fn,gross_text_hand_model,extra,27,,,0.8148148148148148,0.8148148148148148
0.8912280701754386,0.8901808785529716,0.9262130347401665,0.6605096535666408,0.6075949367088608,0.46153846153846156,0.8888888888888888,230,28,3,24,0.5299999999999999,0.8,0.2962962962962963,0.7,0.5185185185185185,0.6333333333333333,0.7037037037037037,0.5263157894736842,0.7407407407407407,,,0.3125,0.9259259259259259,0.25,0.9259259259259259,best41_fn__model_visible__extra,best41_fn,model_visible,extra,27,,,0.6296296296296297,0.6296296296296297
0.9298245614035088,0.9612403100775193,0.9537037037037037,0.5668400485776373,0.7297297297297297,0.574468085106383,1.0,238,20,0,27,0.49999999999999994,0.5,0.18518518518518517,0.45,0.3333333333333333,0.5333333333333333,0.5925925925925926,0.5526315789473685,0.7777777777777778,,,0.3375,1.0,0.27,1.0,best41_fn__gross_hand__logreg,best41_fn,gross_hand,logreg,27,,,0.5185185185185185,0.5185185185185185
0.9298245614035088,0.9612403100775193,0.9537037037037037,0.5668400485776373,0.7297297297297297,0.574468085106383,1.0,238,20,0,27,0.49999999999999994,0.5,0.18518518518518517,0.45,0.3333333333333333,0.5666666666666667,0.6296296296296297,0.5526315789473685,0.7777777777777778,,,0.3375,1.0,0.27,1.0,best41_fn__gross_hand__logreg_c1,best41_fn,gross_hand,logreg_c1,27,,,0.5185185185185185,0.5185185185185185
0.9298245614035088,0.9612403100775193,0.9534883720930232,0.5427366680722292,0.7297297297297297,0.574468085106383,1.0,238,20,0,27,0.49999999999999994,0.4,0.14814814814814814,0.45,0.3333333333333333,0.5,0.5555555555555556,0.6052631578947368,0.8518518518518519,,,0.3375,1.0,0.27,1.0,best41_fn__gross_text_hand__logreg,best41_fn,gross_text_hand,logreg,27,,,0.4444444444444444,0.4444444444444444
