policy,score_name,extra_rate,split,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,control_n,control_rate,extra_captured_wrong_n,captured_wrong_n,captured_fn_n,captured_fp_n,remaining_error_n
v50_base,none,0.0,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,428,0.7241962774957699,0,84,32,52,7
v50_base,none,0.0,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,0,29,14,15,3
v50_plus_rank_ood,core_model_range,0.025,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,430,0.727580372250423,0,84,32,52,7
v50_plus_rank_ood,core_model_range,0.025,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,0,29,14,15,3
v50_plus_rank_ood,core_model_range,0.05,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,433,0.7326565143824028,0,84,32,52,7
v50_plus_rank_ood,core_model_range,0.05,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,0,29,14,15,3
v50_plus_rank_ood,core_model_range,0.075,development,0.9898477157360406,0.9891974556443751,0.9865470852017937,0.9918478260869565,0.9865470852017937,0.9865470852017937,365,3,3,220,435,0.7360406091370558,1,85,33,52,6
v50_plus_rank_ood,core_model_range,0.075,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,80,0.7407407407407407,0,29,14,15,3
v50_plus_rank_ood,core_model_range,0.1,development,0.9898477157360406,0.9891974556443751,0.9865470852017937,0.9918478260869565,0.9865470852017937,0.9865470852017937,365,3,3,220,439,0.7428087986463621,1,85,33,52,6
v50_plus_rank_ood,core_model_range,0.1,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,81,0.75,0,29,14,15,3
v50_plus_rank_ood,core_model_range,0.125,development,0.9898477157360406,0.9891974556443751,0.9865470852017937,0.9918478260869565,0.9865470852017937,0.9865470852017937,365,3,3,220,442,0.7478849407783418,1,85,33,52,6
v50_plus_rank_ood,core_model_range,0.125,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,82,0.7592592592592593,0,29,14,15,3
v50_plus_rank_ood,core_model_range,0.15,development,0.9898477157360406,0.9891974556443751,0.9865470852017937,0.9918478260869565,0.9865470852017937,0.9865470852017937,365,3,3,220,445,0.7529610829103215,1,85,33,52,6
v50_plus_rank_ood,core_model_range,0.15,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,82,0.7592592592592593,0,29,14,15,3
v50_plus_rank_ood,core_model_range,0.2,development,0.9898477157360406,0.9891974556443751,0.9865470852017937,0.9918478260869565,0.9865470852017937,0.9865470852017937,365,3,3,220,451,0.7631133671742809,1,85,33,52,6
v50_plus_rank_ood,core_model_range,0.2,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,82,0.7592592592592593,0,29,14,15,3
v50_plus_rank_ood,core_model_range,0.25,development,0.9898477157360406,0.9891974556443751,0.9865470852017937,0.9918478260869565,0.9865470852017937,0.9865470852017937,365,3,3,220,459,0.7766497461928934,1,85,33,52,6
v50_plus_rank_ood,core_model_range,0.25,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,83,0.7685185185185185,0,29,14,15,3
v50_plus_rank_ood,image_common5_isolation_forest,0.025,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,431,0.7292724196277496,0,84,32,52,7
v50_plus_rank_ood,image_common5_isolation_forest,0.025,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,80,0.7407407407407407,0,29,14,15,3
