scope,candidate,candidate_label,baseline,baseline_label,n,candidate_bacc,baseline_bacc,delta_bacc,delta_bacc_ci_low,delta_bacc_ci_high,candidate_acc,baseline_acc,delta_acc,delta_acc_ci_low,delta_acc_ci_high,candidate_fn,baseline_fn,delta_fn,candidate_fp,baseline_fp,delta_fp,candidate_error_n,baseline_error_n,delta_error_n,candidate_better_case_n,candidate_worse_case_n,mcnemar_p
all_domains,quality_direction_uniform90,Quality+direction uniform90,v79_light_lowrisk_guard,Fixed v79-light,699,0.9988344988344988,0.9884097384097384,0.010424760424760371,0.0023933621489244774,0.020110307424852165,0.9985693848354793,0.9899856938483548,0.008583690987124526,0.0014306151645206988,0.01716738197424894,0,5,-5,1,2,-1,1,7,-6,7,1,0.0703125
all_domains,quality_direction_uniform90,Quality+direction uniform90,v79_strict_lowrisk_guard,Fixed v79-strict,699,0.9988344988344988,0.9907407407407407,0.008093758093758119,0.0006577929113140701,0.01730103806228378,0.9985693848354793,0.9928469241773963,0.005722460658083017,0.0,0.012875536480686733,0,5,-5,1,0,1,1,5,-4,5,1,0.21875
all_domains,quality_direction_uniform90,Quality+direction uniform90,adaptive_v50_to_v79_light,Batch-adaptive main,699,0.9988344988344988,0.9823750323750324,0.016459466459466388,0.0062154064092400435,0.02747773465647812,0.9985693848354793,0.9842632331902719,0.014306151645207432,0.005722460658082906,0.024320457796852657,0,7,-7,1,4,-3,1,11,-10,11,1,0.00634765625
all_domains,quality_direction_uniform90,Quality+direction uniform90,risk_direction_uniform80,Risk-direction uniform80,699,0.9988344988344988,0.9884097384097384,0.010424760424760371,0.0030478155503877473,0.019119941639249058,0.9985693848354793,0.9899856938483548,0.008583690987124526,0.0028612303290415086,0.01573676680972813,0,5,-5,1,2,-1,1,7,-6,6,0,0.03125
all_domains,adaptive_v50_to_v79_light,Batch-adaptive main,v50_main,Fixed v50,699,0.9823750323750324,0.9793576793576793,0.003017353017353175,0.0,0.007813036020583034,0.9842632331902719,0.9814020028612304,0.0028612303290415086,0.0,0.007153075822603716,7,8,-1,4,5,-1,11,13,-2,2,0,0.5
all_domains,v79_light_lowrisk_guard,Fixed v79-light,v50_main,Fixed v50,699,0.9884097384097384,0.9793576793576793,0.009052059052059191,0.002304015043169702,0.01674873762228643,0.9899856938483548,0.9814020028612304,0.008583690987124415,0.0028612303290413976,0.015736766809728242,5,8,-3,2,5,-3,7,13,-6,6,0,0.03125
strict_external,quality_direction_uniform90,Quality+direction uniform90,v79_light_lowrisk_guard,Fixed v79-light,108,0.9918032786885246,0.9918032786885246,0.0,-0.023809523809523836,0.024193548387096753,0.9907407407407407,0.9907407407407407,0.0,-0.02777777777777779,0.02777777777777779,0,0,0,1,1,0,1,1,0,1,1,1.0
strict_external,quality_direction_uniform90,Quality+direction uniform90,v50_main,Fixed v50,108,0.9918032786885246,0.9729682595047087,0.018835019183815915,0.0,0.04862361561154907,0.9907407407407407,0.9722222222222222,0.01851851851851849,0.0,0.04629629629629628,0,1,-1,1,2,-1,1,3,-2,2,0,0.5
strict_external,adaptive_v50_to_v79_light,Batch-adaptive main,v50_main,Fixed v50,108,0.9918032786885246,0.9729682595047087,0.018835019183815915,0.0,0.048308336239972105,0.9907407407407407,0.9722222222222222,0.01851851851851849,0.0,0.04629629629629628,0,1,-1,1,2,-1,1,3,-2,2,0,0.5
