group_by,group_value,n,n_low,n_high,accuracy,balanced_accuracy,sensitivity,specificity,review_or_control_n,review_or_control_rate,tn,fp,fn,tp,error_n,policy
task_l6_label,B1_B2_mixed,1,0,1,1.0,,1.0,,0,0.0,0,0,0,1,0,v52_quality_le82
task_l6_label,B2,28,0,28,1.0,,1.0,,24,0.8571428571428571,0,0,0,28,0,v52_quality_le82
task_l6_label,B2_B3_mixed,3,0,3,1.0,,1.0,,3,1.0,0,0,0,3,0,v52_quality_le82
task_l6_label,B3,10,0,10,1.0,,1.0,,9,0.9,0,0,0,10,0,v52_quality_le82
task_l6_label,MNT_assumed_low,3,3,0,1.0,,,1.0,2,0.6666666666666666,3,0,0,0,0,v52_quality_le82
task_l6_label,TC,5,0,5,1.0,,1.0,,3,0.6,0,0,0,5,0,v52_quality_le82
quality_status,borderline,66,36,30,0.9848484848484849,0.9861111111111112,1.0,0.9722222222222222,52,0.7878787878787878,35,1,0,30,1,v52_quality_le82
quality_status,pass,40,24,16,1.0,1.0,1.0,1.0,37,0.925,24,0,0,16,0,v52_quality_le82
quality_status,reject,1,1,0,1.0,,,1.0,1,1.0,1,0,0,0,0,v52_quality_le82
quality_score_bucket,100,41,24,17,1.0,1.0,1.0,1.0,38,0.926829268292683,24,0,0,17,0,v52_quality_le82
quality_score_bucket,75-82,13,3,10,1.0,1.0,1.0,1.0,13,1.0,3,0,0,10,0,v52_quality_le82
quality_score_bucket,83-88,13,7,6,0.9230769230769231,0.9285714285714286,1.0,0.8571428571428571,8,0.6153846153846154,6,1,0,6,1,v52_quality_le82
quality_score_bucket,89-99,34,22,12,1.0,1.0,1.0,1.0,25,0.7352941176470589,22,0,0,12,0,v52_quality_le82
quality_score_bucket,<=74,7,5,2,1.0,1.0,1.0,1.0,7,1.0,5,0,0,2,0,v52_quality_le82
pred_group_p2,p2_pred_high,49,17,32,0.9795918367346939,0.9705882352941176,1.0,0.9411764705882353,40,0.8163265306122449,16,1,0,32,1,v52_quality_le82
pred_group_p2,p2_pred_low,59,44,15,1.0,1.0,1.0,1.0,51,0.864406779661017,44,0,0,15,0,v52_quality_le82
