accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,config,route,feature,objective,routed_n,rescue_n,hurt_n,net_rescue,train_groups,apply_groups
0.9263157894736842,0.9259751773049645,0.9397655634357763,0.9230769230769231,0.8936170212765957,0.9583333333333334,138,6,15,126,train_hardcore_apply_hardcore__image_core_gross_hand_text__balanced_accuracy,train_hardcore_apply_hardcore,image_core_gross_hand_text,balanced_accuracy,65,30,4,26,hard_core,hard_core
0.9263157894736842,0.9259751773049645,0.9391252955082743,0.9230769230769231,0.8936170212765957,0.9583333333333334,138,6,15,126,train_hardcore_apply_hardcore__image_core_gross_hand_text__accuracy,train_hardcore_apply_hardcore,image_core_gross_hand_text,accuracy,65,30,4,26,hard_core,hard_core
0.9263157894736842,0.9259751773049645,0.9393715524034674,0.9230769230769231,0.8936170212765957,0.9583333333333334,138,6,15,126,train_hardcore_apply_hardcore__image_core_gross_hand_text__f1,train_hardcore_apply_hardcore,image_core_gross_hand_text,f1,65,30,4,26,hard_core,hard_core
0.9228070175438596,0.922798463356974,0.9509456264775414,0.9219858156028369,0.9219858156028369,0.9236111111111112,133,11,11,130,train_allhard_apply_hardcore__image_core_notext__f1,train_allhard_apply_hardcore,image_core_notext,f1,65,27,2,25,hard_core|hard_salvage_teacher,hard_core
0.9228070175438596,0.9225768321513002,0.9513396375098504,0.9202898550724637,0.900709219858156,0.9444444444444444,136,8,14,127,train_hardcore_apply_hardcore__image_core_text__balanced_accuracy,train_hardcore_apply_hardcore,image_core_text,balanced_accuracy,65,29,4,25,hard_core,hard_core
0.9192982456140351,0.9191784869976359,0.9415878644602049,0.9175627240143369,0.9078014184397163,0.9305555555555556,134,10,13,128,train_allhard_apply_hardcore__image_core_gross_hand_notext__balanced_accuracy,train_allhard_apply_hardcore,image_core_gross_hand_notext,balanced_accuracy,65,29,5,24,hard_core|hard_salvage_teacher,hard_core
0.9192982456140351,0.9191784869976359,0.9415878644602049,0.9175627240143369,0.9078014184397163,0.9305555555555556,134,10,13,128,train_allhard_apply_hardcore__image_core_gross_hand_notext__accuracy,train_allhard_apply_hardcore,image_core_gross_hand_notext,accuracy,65,29,5,24,hard_core|hard_salvage_teacher,hard_core
0.9192982456140351,0.9191784869976359,0.9415878644602049,0.9175627240143369,0.9078014184397163,0.9305555555555556,134,10,13,128,train_allhard_apply_hardcore__image_core_gross_hand_notext__f1,train_allhard_apply_hardcore,image_core_gross_hand_notext,f1,65,29,5,24,hard_core|hard_salvage_teacher,hard_core
0.9157894736842105,0.9160756501182032,0.9542454688731284,0.9172413793103448,0.9432624113475178,0.8888888888888888,128,16,8,133,train_allhard_apply_allhard__image_core_text__accuracy,train_allhard_apply_allhard,image_core_text,accuracy,99,35,12,23,hard_core|hard_salvage_teacher,hard_core|hard_salvage_teacher
0.9157894736842105,0.9157062647754137,0.9392237982663515,0.9142857142857143,0.9078014184397163,0.9236111111111112,133,11,13,128,train_allhard_apply_hardcore__image_core_gross_hand_text__accuracy,train_allhard_apply_hardcore,image_core_gross_hand_text,accuracy,65,29,6,23,hard_core|hard_salvage_teacher,hard_core
0.9157894736842105,0.9157062647754137,0.9392237982663515,0.9142857142857143,0.9078014184397163,0.9236111111111112,133,11,13,128,train_allhard_apply_hardcore__image_core_gross_hand_text__f1,train_allhard_apply_hardcore,image_core_gross_hand_text,f1,65,29,6,23,hard_core|hard_salvage_teacher,hard_core
0.9157894736842105,0.9156323877068557,0.9310480693459416,0.9136690647482014,0.900709219858156,0.9305555555555556,134,10,14,127,train_allhard_apply_hardcore__image_review_gross_hand_notext__balanced_accuracy,train_allhard_apply_hardcore,image_review_gross_hand_notext,balanced_accuracy,65,28,5,23,hard_core|hard_salvage_teacher,hard_core
0.9157894736842105,0.9156323877068557,0.9315405831363278,0.9136690647482014,0.900709219858156,0.9305555555555556,134,10,14,127,train_allhard_apply_hardcore__image_review_gross_hand_text__balanced_accuracy,train_allhard_apply_hardcore,image_review_gross_hand_text,balanced_accuracy,65,28,5,23,hard_core|hard_salvage_teacher,hard_core
0.9122807017543859,0.912677304964539,0.9529156816390858,0.9146757679180887,0.950354609929078,0.875,126,18,7,134,train_allhard_apply_allhard__image_core_notext__balanced_accuracy,train_allhard_apply_allhard,image_core_notext,balanced_accuracy,99,35,13,22,hard_core|hard_salvage_teacher,hard_core|hard_salvage_teacher
0.9122807017543859,0.9126034278959811,0.9539007092198581,0.9140893470790378,0.9432624113475178,0.8819444444444444,127,17,8,133,train_allhard_apply_allhard__image_core_text__balanced_accuracy,train_allhard_apply_allhard,image_core_text,balanced_accuracy,99,35,13,22,hard_core|hard_salvage_teacher,hard_core|hard_salvage_teacher
0.9122807017543859,0.9121601654846336,0.9391745468873128,0.910394265232975,0.900709219858156,0.9236111111111112,133,11,14,127,train_allhard_apply_hardcore__image_core_gross_hand_text__balanced_accuracy,train_allhard_apply_hardcore,image_core_gross_hand_text,balanced_accuracy,65,29,7,22,hard_core|hard_salvage_teacher,hard_core
0.9122807017543859,0.9121601654846336,0.9310480693459416,0.910394265232975,0.900709219858156,0.9236111111111112,133,11,14,127,train_allhard_apply_hardcore__image_review_gross_hand_notext__accuracy,train_allhard_apply_hardcore,image_review_gross_hand_notext,accuracy,65,28,6,22,hard_core|hard_salvage_teacher,hard_core
0.9122807017543859,0.9121601654846336,0.9315898345153664,0.910394265232975,0.900709219858156,0.9236111111111112,133,11,14,127,train_allhard_apply_hardcore__image_review_gross_hand_notext__f1,train_allhard_apply_hardcore,image_review_gross_hand_notext,f1,65,28,6,22,hard_core|hard_salvage_teacher,hard_core
0.9122807017543859,0.9121601654846336,0.9311958234830576,0.910394265232975,0.900709219858156,0.9236111111111112,133,11,14,127,train_allhard_apply_hardcore__image_review_gross_hand_text__accuracy,train_allhard_apply_hardcore,image_review_gross_hand_text,accuracy,65,28,6,22,hard_core|hard_salvage_teacher,hard_core
0.9122807017543859,0.9121601654846336,0.9311958234830576,0.910394265232975,0.900709219858156,0.9236111111111112,133,11,14,127,train_allhard_apply_hardcore__image_review_gross_hand_text__f1,train_allhard_apply_hardcore,image_review_gross_hand_text,f1,65,28,6,22,hard_core|hard_salvage_teacher,hard_core
0.9087719298245615,0.9092789598108748,0.9537529550827423,0.9121621621621622,0.9574468085106383,0.8611111111111112,124,20,6,135,train_allhard_apply_allhard__image_core_notext__f1,train_allhard_apply_allhard,image_core_notext,f1,99,34,13,21,hard_core|hard_salvage_teacher,hard_core|hard_salvage_teacher
0.9087719298245615,0.9092789598108748,0.9539007092198581,0.9121621621621622,0.9574468085106383,0.8611111111111112,124,20,6,135,train_allhard_apply_allhard__image_core_text__f1,train_allhard_apply_allhard,image_core_text,f1,99,33,12,21,hard_core|hard_salvage_teacher,hard_core|hard_salvage_teacher
0.9087719298245615,0.9090573286052009,0.9502068557919622,0.9103448275862069,0.9361702127659575,0.8819444444444444,127,17,9,132,train_allhard_apply_allhard__image_core_notext__accuracy,train_allhard_apply_allhard,image_core_notext,accuracy,99,33,12,21,hard_core|hard_salvage_teacher,hard_core|hard_salvage_teacher
0.8912280701754386,0.8912529550827423,0.9204097714736014,0.8904593639575972,0.8936170212765957,0.8888888888888888,128,16,15,126,train_allhard_apply_allhard__image_review_gross_hand_notext__balanced_accuracy,train_allhard_apply_allhard,image_review_gross_hand_notext,balanced_accuracy,99,31,15,16,hard_core|hard_salvage_teacher,hard_core|hard_salvage_teacher
