score,accept_acc_at_30,accept_bacc_at_30,hardcore_recall_at_30,error_recall_at_30,fn_recall_at_30,review_frac_for_acc90,accept_n_for_acc90,hardcore_recall_at_acc90,error_recall_at_acc90
ensemble_prob_range,0.8241206030150754,0.8243079409981815,0.47692307692307695,0.4696969696969697,0.5,,,,
learn_hard_core_model_only_rf,0.8241206030150754,0.8247625782986462,0.4461538461538462,0.4696969696969697,0.3125,,,,
learn_hard_core_model_only_logreg,0.8190954773869347,0.8187512628813902,0.5076923076923077,0.45454545454545453,0.375,,,,
ensemble_prob_std,0.8190954773869347,0.8190909090909091,0.46153846153846156,0.45454545454545453,0.4375,,,,
learn_hard_core_model_embedding_history_extra,0.8190954773869347,0.8189812007277137,0.4153846153846154,0.45454545454545453,0.4375,,,,
learn_hard_core_model_only_extra,0.8140703517587939,0.8147100424328146,0.47692307692307695,0.4393939393939394,0.28125,,,,
learn_upper_wrong_model_embedding_history_rf,0.8140703517587939,0.8143709546925566,0.4307692307692308,0.4393939393939394,0.375,,,,
learn_upper_wrong_model_embedding_history_logreg,0.8090452261306532,0.8091414141414142,0.38461538461538464,0.42424242424242425,0.46875,,,,
learn_hard_core_model_embedding_history_gross_rf,0.8090452261306532,0.8090909090909091,0.36923076923076925,0.42424242424242425,0.375,,,,
learn_upper_wrong_model_embedding_basic_extra,0.8040201005025126,0.8043544150333402,0.46153846153846156,0.4090909090909091,0.3125,,,,
learn_hard_core_model_embedding_basic_extra,0.8040201005025126,0.8040226399838286,0.4461538461538462,0.4090909090909091,0.40625,,,,
learn_upper_wrong_model_embedding_history_gross_rf,0.8040201005025126,0.8064713064713065,0.4307692307692308,0.4090909090909091,0.25,,,,
learn_hard_core_model_embedding_history_rf,0.8040201005025126,0.8037699615928846,0.36923076923076925,0.4090909090909091,0.375,,,,
learn_upper_wrong_model_embedding_history_gross_extra,0.8040201005025126,0.8056064306064306,0.36923076923076925,0.4090909090909091,0.28125,,,,
learn_upper_wrong_model_embedding_basic_logreg,0.8040201005025126,0.8038461538461539,0.35384615384615387,0.4090909090909091,0.375,,,,
learn_upper_wrong_model_only_logreg,0.7989949748743719,0.7994538834951457,0.4461538461538462,0.3939393939393939,0.3125,,,,
learn_upper_wrong_model_embedding_history_extra,0.7989949748743719,0.7992523742170136,0.4461538461538462,0.3939393939393939,0.3125,,,,
upper_low_conf,0.7989949748743719,0.7989492826833704,0.4307692307692308,0.3939393939393939,0.375,,,,
learn_upper_wrong_model_only_rf,0.7989949748743719,0.7990999190938511,0.4307692307692308,0.3939393939393939,0.34375,,,,
learn_hard_core_model_embedding_history_gross_extra,0.7989949748743719,0.7990999190938511,0.4153846153846154,0.3939393939393939,0.34375,,,,
learn_hard_core_model_embedding_basic_rf,0.7989949748743719,0.799040404040404,0.4,0.3939393939393939,0.40625,,,,
learn_upper_wrong_model_embedding_basic_rf,0.7989949748743719,0.799493927125506,0.4,0.3939393939393939,0.3125,,,,
learn_hard_core_model_embedding_basic_logreg,0.7939698492462312,0.793939393939394,0.36923076923076925,0.3787878787878788,0.375,,,,
learn_upper_wrong_model_only_extra,0.7889447236180904,0.7890909090909091,0.4307692307692308,0.36363636363636365,0.25,,,,
learn_hard_core_model_embedding_history_logreg,0.7889447236180904,0.7886832524271845,0.36923076923076925,0.36363636363636365,0.34375,,,,
learn_upper_wrong_model_embedding_history_gross_logreg,0.7889447236180904,0.7900182592818016,0.3384615384615385,0.36363636363636365,0.25,,,,
vote_disagree,0.7839195979899497,0.7838383838383838,0.38461538461538464,0.3484848484848485,0.375,,,,
learn_hard_core_model_embedding_history_gross_logreg,0.7788944723618091,0.7788967611336033,0.35384615384615387,0.3333333333333333,0.28125,,,,
learn_upper_fn_model_embedding_history_logreg,0.7738693467336684,0.7511944329040299,0.26153846153846155,0.3181818181818182,0.59375,,,,
learn_upper_fn_model_embedding_basic_logreg,0.7587939698492462,0.7307247899159663,0.23076923076923078,0.2727272727272727,0.53125,,,,
learn_upper_fn_model_embedding_history_rf,0.7537688442211056,0.7201405152224825,0.26153846153846155,0.25757575757575757,0.5,,,,
learn_upper_fn_model_only_extra,0.7487437185929648,0.7136470087289759,0.27692307692307694,0.24242424242424243,0.5,,,,
learn_upper_fn_model_embedding_history_gross_extra,0.7487437185929648,0.7114516129032258,0.26153846153846155,0.24242424242424243,0.46875,,,,
learn_upper_fn_model_only_rf,0.7437185929648241,0.7072100984167737,0.24615384615384617,0.22727272727272727,0.46875,,,,
learn_upper_fn_model_embedding_basic_rf,0.7437185929648241,0.7074193548387098,0.23076923076923078,0.22727272727272727,0.4375,,,,
learn_upper_fn_model_embedding_history_extra,0.7437185929648241,0.7074193548387098,0.23076923076923078,0.22727272727272727,0.4375,,,,
learn_upper_fn_model_embedding_history_gross_logreg,0.7437185929648241,0.7186374231828777,0.2,0.22727272727272727,0.375,,,,
learn_upper_fn_model_only_logreg,0.7386934673366834,0.7076711167620259,0.26153846153846155,0.21212121212121213,0.4375,,,,
learn_upper_fn_model_embedding_basic_extra,0.7336683417085427,0.6890857392825898,0.2153846153846154,0.19696969696969696,0.40625,,,,
learn_upper_fn_model_embedding_history_gross_rf,0.7336683417085427,0.6946075233746467,0.2153846153846154,0.19696969696969696,0.375,,,,
