fold,kind,repeat_adapt,threshold_objective,threshold,fold_accuracy,fold_balanced_accuracy,fold_f1,fold_tn,fold_fp,fold_fn,fold_tp,fold_auc
0,logreg_0.0003,4,accuracy,0.61,0.7741935483870968,0.7163398692810458,0.5882352941176471,38,7,7,10,0.8418300653594771
1,logreg_0.0003,4,accuracy,0.62,0.8032786885245902,0.6854166666666667,0.5384615384615384,42,3,9,7,0.8902777777777777
2,logreg_0.0003,4,accuracy,0.6499999999999999,0.7868852459016393,0.6944444444444444,0.5517241379310345,40,5,8,8,0.7541666666666667
3,logreg_0.0003,4,accuracy,0.6699999999999999,0.8032786885245902,0.7256944444444444,0.6,40,5,7,9,0.7736111111111111
4,logreg_0.0003,4,accuracy,0.7,0.819672131147541,0.6764705882352942,0.5217391304347826,44,0,11,6,0.7807486631016043
