policy,evidence_level,description,n,auto_output_n,auto_output_rate,review_n,review_rate,retake_n,retake_rate,risk_control_n,risk_control_rate,route_auto_low_n,route_auto_high_n,route_review_quality_n,route_review_safety_n,route_review_both_n,route_retake_n,workflow_n,workflow_accuracy,workflow_balanced_accuracy,workflow_sensitivity,workflow_specificity,workflow_precision,workflow_f1,workflow_tn,workflow_fp,workflow_fn,workflow_tp,auto_n,auto_accuracy,auto_balanced_accuracy,auto_sensitivity,auto_specificity,auto_precision,auto_f1,auto_tn,auto_fp,auto_fn,auto_tp
P0_main_auto_all,strict_auto_baseline,主模型直接输出，所有病例自动判读。,108,108,1.0,0,0.0,0,0.0,0,0.0,73,35,0,0,0,0,108,0.6481481481481481,0.627485176142309,0.46808510638297873,0.7868852459016393,0.6285714285714286,0.5365853658536586,48,13,25,22,108,0.6481481481481481,0.627485176142309,0.46808510638297873,0.7868852459016393,0.6285714285714286,0.5365853658536586,48,13,25,22
P1_robust_auto_all,strict_auto_baseline,鲁棒分支全量替换主模型。,108,108,1.0,0,0.0,0,0.0,0,0.0,59,49,0,0,0,0,108,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,0.6530612244897959,0.6666666666666666,44,17,15,32,108,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,0.6530612244897959,0.6666666666666666,44,17,15,32
P2_safety_switch_auto,strict_auto_rule,主模型低危但鲁棒分支高危时自动切换到鲁棒分支。,108,108,1.0,0,0.0,0,0.0,0,0.0,59,49,0,0,0,0,108,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,0.6530612244897959,0.6666666666666666,44,17,15,32,108,0.7037037037037037,0.7010812696198117,0.6808510638297872,0.7213114754098361,0.6530612244897959,0.6666666666666666,44,17,15,32
P3_qscore92_review_else_safety,automatic_quality_heuristic,自动质量分数低于 92 的病例进入复核，其余病例应用安全切换。,108,74,0.6851851851851852,33,0.3055555555555556,1,0.009259259259259259,34,0.3148148148148148,45,29,33,0,0,1,108,0.7685185185185185,0.7657830484827346,0.7446808510638298,0.7868852459016393,0.7291666666666666,0.7368421052631579,48,13,12,35,74,0.6621621621621622,0.6444099378881987,0.5714285714285714,0.717391304347826,0.5517241379310345,0.5614035087719299,33,13,12,16
P4_rf_quality_review_else_safety,quality_cv_proof_of_concept,随机森林质量门控提示复核，其余病例应用安全切换。,108,54,0.5,53,0.49074074074074076,1,0.009259259259259259,54,0.5,26,28,53,0,0,1,108,0.8518518518518519,0.8517614230903383,0.851063829787234,0.8524590163934426,0.8163265306122449,0.8333333333333334,52,9,7,40,54,0.7037037037037037,0.7046703296703296,0.7307692307692307,0.6785714285714286,0.6785714285714286,0.7037037037037038,19,9,7,19
P5_extra_trees_quality_review_else_safety,quality_cv_proof_of_concept,Extra Trees 质量门控提示复核，其余病例应用安全切换。,108,46,0.42592592592592593,61,0.5648148148148148,1,0.009259259259259259,62,0.5740740740740741,24,22,61,0,0,1,108,0.8796296296296297,0.8787931635856296,0.8723404255319149,0.8852459016393442,0.8541666666666666,0.8631578947368421,54,7,6,41,46,0.717391304347826,0.7171428571428571,0.7142857142857143,0.72,0.6818181818181818,0.6976744186046512,18,7,6,15
P6_manual_quality_or_safety_review_upper,manual_quality_upper_bound,人工质量标签或安全分歧触发复核，上限分析。,108,67,0.6203703703703703,20,0.18518518518518517,21,0.19444444444444445,41,0.37962962962962965,41,26,7,12,1,21,108,0.8240740740740741,0.822288106034182,0.8085106382978723,0.8360655737704918,0.7916666666666666,0.7999999999999999,51,10,9,38,67,0.7164179104477612,0.700952380952381,0.64,0.7619047619047619,0.6153846153846154,0.6274509803921569,32,10,9,16
P7_logistic_recall90_quality_or_safety_review,quality_cv_high_safety,高召回学习型质量门控或安全分歧触发复核，低漏诊模式。,108,26,0.24074074074074073,81,0.75,1,0.009259259259259259,82,0.7592592592592593,16,10,67,4,10,1,108,0.9259259259259259,0.9246599232647367,0.9148936170212766,0.9344262295081968,0.9148936170212766,0.9148936170212766,57,4,4,43,26,0.6923076923076923,0.675,0.6,0.75,0.6,0.6,12,4,4,6
