workflow,scope,n,review_n,review_rate,auto_pass_n,auto_pass_rate,newly_released_from_review_n,newly_released_from_review_rate,released_error_n,remaining_error_n,fn,fp,accuracy,balanced_accuracy,f1,auc,sensitivity_high,specificity_low
v118_high_safety_scorecard,old_data,285,217,0.7614035087719299,68,0.23859649122807017,0,0.0,0,0,0,0,1.0,1.0,1.0,0.8737687155240348,1.0,1.0
v118_high_safety_scorecard,third_batch,306,248,0.8104575163398693,58,0.1895424836601307,0,0.0,0,1,1,0,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,0.9878048780487805,1.0
v118_high_safety_scorecard,strict_external,108,94,0.8703703703703703,14,0.12962962962962962,0,0.0,0,0,0,0,1.0,1.0,1.0,0.67317753749564,1.0,1.0
v118_high_safety_scorecard,all_domains,699,559,0.7997138769670958,140,0.20028612303290416,0,0.0,0,1,1,0,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,0.9962962962962963,1.0
v161_safe_release_scorecard,old_data,285,158,0.5543859649122806,127,0.4456140350877193,59,0.20701754385964913,0,0,0,0,1.0,1.0,1.0,0.8737687155240348,1.0,1.0
v161_safe_release_scorecard,third_batch,306,170,0.5555555555555556,136,0.4444444444444444,78,0.2549019607843137,0,1,1,0,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,0.9878048780487805,1.0
v161_safe_release_scorecard,strict_external,108,74,0.6851851851851852,34,0.3148148148148148,20,0.18518518518518517,0,0,0,0,1.0,1.0,1.0,0.67317753749564,1.0,1.0
v161_safe_release_scorecard,all_domains,699,402,0.575107296137339,297,0.4248927038626609,157,0.2246065808297568,0,1,1,0,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,0.9962962962962963,1.0
