rule_name,signal,mode,threshold,eval_domain,n,flip_n,flip_rate,base_errors,final_errors,net_errors_reduced,rescued_n,hurt_n,rescued_fn,rescued_fp,hurt_to_fn,hurt_to_fp,base_n,base_accuracy,base_balanced_accuracy,base_f1,base_sensitivity_high,base_specificity_low,base_tn,base_fp,base_fn,base_tp,base_auc,final_n,final_accuracy,final_balanced_accuracy,final_f1,final_sensitivity_high,final_specificity_low,final_tn,final_fp,final_fn,final_tp,final_auc
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.691720,single:v143_pca_any,pred_low_only,0.6917199732110754,strict_external,105,0,0.0,51,51,0,0,0,0,0,0,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.691720,single:v143_pca_any,pred_low_only,0.6917199732110754,all_three_domains,696,44,0.06321839080459771,177,201,-24,10,34,10,0,0,34,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7112068965517241,0.7281429316640584,0.6834645669291338,0.8037037037037037,0.6525821596244131,278,148,53,217,0.8353069031472786
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.734613,single:v143_pca_any,pred_low_only,0.7346131757751482,old_data,285,16,0.056140350877192984,61,73,-12,2,14,2,0,0,14,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.743859649122807,0.7449763593380614,0.7667731629392971,0.851063829787234,0.6388888888888888,92,52,21,120,0.8737687155240348
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.734613,single:v143_pca_any,pred_low_only,0.7346131757751482,third_batch,306,18,0.058823529411764705,65,75,-10,4,14,4,0,0,14,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7549019607843137,0.7475500871080138,0.6153846153846154,0.7317073170731707,0.7633928571428571,171,53,22,60,0.818270905923345
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.734613,single:v143_pca_any,pred_low_only,0.7346131757751482,strict_external,105,0,0.0,51,51,0,0,0,0,0,0,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.734613,single:v143_pca_any,pred_low_only,0.7346131757751482,all_three_domains,696,34,0.04885057471264368,177,199,-22,6,28,6,0,0,28,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7140804597701149,0.7277777777777777,0.6816,0.7888888888888889,0.6666666666666666,284,142,57,213,0.8353069031472786
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.773537,single:v143_pca_any,pred_low_only,0.7735365567956266,old_data,285,14,0.04912280701754386,61,71,-10,2,12,2,0,0,12,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7508771929824561,0.7519208037825059,0.7717041800643086,0.851063829787234,0.6527777777777778,94,50,21,120,0.8737687155240348
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.773537,single:v143_pca_any,pred_low_only,0.7735365567956266,third_batch,306,16,0.05228758169934641,65,73,-8,4,12,4,0,0,12,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.761437908496732,0.7520143728222997,0.6217616580310881,0.7317073170731707,0.7723214285714286,173,51,22,60,0.818270905923345
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.773537,single:v143_pca_any,pred_low_only,0.7735365567956266,strict_external,105,0,0.0,51,51,0,0,0,0,0,0,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.773537,single:v143_pca_any,pred_low_only,0.7735365567956266,all_three_domains,696,30,0.04310344827586207,177,195,-18,6,24,6,0,0,24,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7198275862068966,0.7324726134585289,0.6859903381642513,0.7888888888888889,0.676056338028169,288,138,57,213,0.8353069031472786
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.798729,single:v143_pca_any,pred_low_only,0.7987287149416248,old_data,285,13,0.0456140350877193,61,72,-11,1,12,1,0,0,12,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7473684210526316,0.7483747044917257,0.7677419354838709,0.8439716312056738,0.6527777777777778,94,50,22,119,0.8737687155240348
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.798729,single:v143_pca_any,pred_low_only,0.7987287149416248,third_batch,306,11,0.03594771241830065,65,70,-5,3,8,3,0,0,8,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7712418300653595,0.7548453832752613,0.6276595744680851,0.7195121951219512,0.7901785714285714,177,47,23,59,0.818270905923345
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.798729,single:v143_pca_any,pred_low_only,0.7987287149416248,strict_external,105,0,0.0,51,51,0,0,0,0,0,0,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.798729,single:v143_pca_any,pred_low_only,0.7987287149416248,all_three_domains,696,24,0.034482758620689655,177,193,-16,4,20,4,0,0,20,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7227011494252874,0.7334637454355764,0.6861788617886179,0.7814814814814814,0.6854460093896714,292,134,59,211,0.8353069031472786
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.849860,single:v143_pca_any,pred_low_only,0.8498599278616802,old_data,285,9,0.031578947368421054,61,68,-7,1,8,1,0,0,8,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7614035087719299,0.7622635933806147,0.7777777777777778,0.8439716312056738,0.6805555555555556,98,46,22,119,0.8737687155240348
