split,policy,n,control_n,control_rate,auto_n,auto_rate,remaining_error_n,auto_wrong_n,auto_fn_n,auto_fp_n,captured_wrong_n,captured_fn_n,captured_fp_n,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,extra_control_n,extra_control_rate,extra_captured_wrong_n,extra_captured_fn_n,extra_captured_fp_n,candidate,rate,eligible_auto_high_n
pseudo_third_to_old,v75_base,285,213,0.7473684210526316,72,0.25263157894736843,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,,,,,,none,0.0,
pseudo_third_to_old,v75_plus_lowrisk_protect_direct_low_main_prob_r025,285,220,0.7719298245614035,65,0.22807017543859648,1,1,0,1,32,11,21,0.9964912280701754,0.9965277777777778,1.0,0.9930555555555556,0.9929577464788732,0.9964664310954063,143,1,0,141,7.0,0.02456140350877193,0.0,0.0,0.0,direct_low_main_prob,0.025,62.0
pseudo_third_to_old,v75_plus_lowrisk_protect_direct_low_main_prob_r050,285,227,0.7964912280701755,58,0.20350877192982456,0,0,0,0,33,11,22,1.0,1.0,1.0,1.0,1.0,1.0,144,0,0,141,14.0,0.04912280701754386,1.0,0.0,1.0,direct_low_main_prob,0.05,62.0
pseudo_third_to_old,v75_plus_lowrisk_protect_direct_low_main_prob_r075,285,234,0.8210526315789474,51,0.17894736842105263,0,0,0,0,33,11,22,1.0,1.0,1.0,1.0,1.0,1.0,144,0,0,141,21.0,0.07368421052631578,1.0,0.0,1.0,direct_low_main_prob,0.075,62.0
pseudo_third_to_old,v75_plus_lowrisk_protect_direct_low_main_prob_r100,285,241,0.8456140350877193,44,0.1543859649122807,0,0,0,0,33,11,22,1.0,1.0,1.0,1.0,1.0,1.0,144,0,0,141,28.0,0.09824561403508772,1.0,0.0,1.0,direct_low_main_prob,0.1,62.0
pseudo_third_to_old,v75_plus_lowrisk_protect_direct_low_main_prob_r125,285,249,0.8736842105263158,36,0.12631578947368421,0,0,0,0,33,11,22,1.0,1.0,1.0,1.0,1.0,1.0,144,0,0,141,36.0,0.12631578947368421,1.0,0.0,1.0,direct_low_main_prob,0.125,62.0
pseudo_third_to_old,v75_plus_lowrisk_protect_direct_low_main_prob_r150,285,256,0.8982456140350877,29,0.10175438596491228,0,0,0,0,33,11,22,1.0,1.0,1.0,1.0,1.0,1.0,144,0,0,141,43.0,0.15087719298245614,1.0,0.0,1.0,direct_low_main_prob,0.15,62.0
pseudo_third_to_old,v75_plus_lowrisk_protect_direct_low_main_prob_r175,285,263,0.9228070175438596,22,0.07719298245614035,0,0,0,0,33,11,22,1.0,1.0,1.0,1.0,1.0,1.0,144,0,0,141,50.0,0.17543859649122806,1.0,0.0,1.0,direct_low_main_prob,0.175,62.0
pseudo_third_to_old,v75_plus_lowrisk_protect_direct_low_main_prob_r200,285,270,0.9473684210526315,15,0.05263157894736842,0,0,0,0,33,11,22,1.0,1.0,1.0,1.0,1.0,1.0,144,0,0,141,57.0,0.2,1.0,0.0,1.0,direct_low_main_prob,0.2,62.0
pseudo_third_to_old,v75_plus_lowrisk_protect_direct_low_main_prob_r250,285,275,0.9649122807017544,10,0.03508771929824561,0,0,0,0,33,11,22,1.0,1.0,1.0,1.0,1.0,1.0,144,0,0,141,62.0,0.21754385964912282,1.0,0.0,1.0,direct_low_main_prob,0.25,62.0
