target_dev_bacc,group_col,group_value,n,review_n,review_rate,p2_wrong_n,captured_p2_wrong_n,missed_p2_wrong_n,capture_rate,review_precision_vs_p2_error
0.9,p2_error_direction,FN_high_to_low,15,1,0.06666666666666667,15,1,14,0.06666666666666667,1.0
0.9,p2_error_direction,FP_low_to_high,17,5,0.29411764705882354,17,5,12,0.29411764705882354,1.0
0.9,p2_error_direction,correct,76,11,0.14473684210526316,0,0,0,,0.0
0.92,p2_error_direction,FN_high_to_low,15,4,0.26666666666666666,15,4,11,0.26666666666666666,1.0
0.92,p2_error_direction,FP_low_to_high,17,10,0.5882352941176471,17,10,7,0.5882352941176471,1.0
0.92,p2_error_direction,correct,76,17,0.2236842105263158,0,0,0,,0.0
0.95,p2_error_direction,FN_high_to_low,15,9,0.6,15,9,6,0.6,1.0
0.95,p2_error_direction,FP_low_to_high,17,13,0.7647058823529411,17,13,4,0.7647058823529411,1.0
0.95,p2_error_direction,correct,76,31,0.40789473684210525,0,0,0,,0.0
0.97,p2_error_direction,FN_high_to_low,15,10,0.6666666666666666,15,10,5,0.6666666666666666,1.0
0.97,p2_error_direction,FP_low_to_high,17,15,0.8823529411764706,17,15,2,0.8823529411764706,1.0
0.97,p2_error_direction,correct,76,39,0.5131578947368421,0,0,0,,0.0
