score,final_acc_at_10pct,final_bacc_at_10pct,high_sens_at_10pct,fn_recall_at_10pct,error_recall_at_10pct,final_acc_at_20pct,final_bacc_at_20pct,high_sens_at_20pct,fn_recall_at_20pct,error_recall_at_20pct,final_acc_at_30pct,final_bacc_at_30pct,high_sens_at_30pct,fn_recall_at_30pct,error_recall_at_30pct,final_acc_at_40pct,final_bacc_at_40pct,high_sens_at_40pct,fn_recall_at_40pct,error_recall_at_40pct,min_review_for_acc_ge_90,review_n_for_acc_ge_90,min_review_for_bacc_ge_90,review_n_for_bacc_ge_90,min_review_for_sensitivity_high_ge_90,review_n_for_sensitivity_high_ge_90,min_review_for_sensitivity_high_ge_95,review_n_for_sensitivity_high_ge_95,min_review_for_accepted_acc_ge_90,review_n_for_accepted_acc_ge_90,min_review_for_acc90_and_sens90,review_n_for_acc90_and_sens90,min_review_for_acc90_and_sens95,review_n_for_acc90_and_sens95,auc_upper_wrong,auc_upper_fn,auc_hard_core
all_range,0.8035087719298246,0.8035608747044918,0.8085106382978723,0.15625,0.15151515151515152,0.8596491228070176,0.8595596926713949,0.851063829787234,0.34375,0.3939393939393939,0.887719298245614,0.8876329787234043,0.8794326241134752,0.46875,0.5151515151515151,0.9052631578947369,0.9051418439716312,0.8936170212765957,0.53125,0.5909090909090909,0.4,114,0.4,114,0.49,140,0.75,214.0,,,0.49,140,0.75,214.0,0.617545316175453,0.5533596837944664,0.5995104895104896
hybrid_overall_then_fn,0.8,0.8003102836879432,0.8297872340425532,0.25,0.13636363636363635,0.8491228070175438,0.849290780141844,0.8652482269503546,0.40625,0.3484848484848485,0.8842105263157894,0.88423463356974,0.8865248226950354,0.5,0.5,0.8947368421052632,0.8947251773049645,0.8936170212765957,0.53125,0.5454545454545454,0.43,123,0.43,123,0.41,117,0.71,202.0,,,0.43,123,0.71,202.0,0.6136363636363636,0.6213562252964426,0.5877972027972028
hybrid_max_allrange_fn,0.7929824561403509,0.793218085106383,0.8156028368794326,0.1875,0.10606060606060606,0.8385964912280702,0.8389479905437353,0.8723404255319149,0.4375,0.30303030303030304,0.8771929824561403,0.8775118203309693,0.9078014184397163,0.59375,0.4696969696969697,0.9087719298245615,0.9091312056737588,0.9432624113475178,0.75,0.6060606060606061,0.38,108,0.38,108,0.29,83,0.43,123.0,,,0.38,108,0.43,123.0,0.6365365988653662,0.7453680830039526,0.5983216783216784
hybrid_rank_allrange_075_fn_025,0.8035087719298246,0.8039302600472813,0.8439716312056738,0.3125,0.15151515151515152,0.8421052631578947,0.8424202127659575,0.8723404255319149,0.4375,0.3181818181818182,0.8771929824561403,0.8772901891252955,0.8865248226950354,0.5,0.4696969696969697,0.8982456140350877,0.8982712765957447,0.900709219858156,0.5625,0.5606060606060606,0.42,120,0.42,120,0.39,111,0.68,194.0,,,0.42,120,0.68,194.0,0.6087588210875882,0.6371665019762845,0.5816433566433568
max_absdiff_to_upper,0.8140350877192982,0.8139775413711583,0.8085106382978723,0.15625,0.19696969696969696,0.8491228070175438,0.8489952718676124,0.8368794326241135,0.28125,0.3484848484848485,0.8736842105263158,0.8736702127659575,0.8723404255319149,0.4375,0.45454545454545453,0.887719298245614,0.8877807328605201,0.8936170212765957,0.53125,0.5151515151515151,0.52,148,0.52,148,0.44,125,0.75,214.0,,,0.52,148,0.75,214.0,0.5873806558738066,0.5464426877470355,0.5486013986013987
hybrid_mean_all_std_abs_fn,0.8,0.8003841607565012,0.8368794326241135,0.28125,0.13636363636363635,0.8456140350877193,0.8458924349881797,0.8723404255319149,0.4375,0.3333333333333333,0.8701754385964913,0.870345744680851,0.8865248226950354,0.5,0.4393939393939394,0.8912280701754386,0.8913268321513002,0.900709219858156,0.5625,0.5303030303030303,0.42,120,0.42,120,0.37,105,0.65,185.0,,,0.42,120,0.65,185.0,0.6025667635256676,0.6447628458498024,0.5664335664335665
all_std,0.8105263157894737,0.8105791962174941,0.8156028368794326,0.1875,0.18181818181818182,0.8456140350877193,0.845596926713948,0.8439716312056738,0.3125,0.3333333333333333,0.8701754385964913,0.8701241134751774,0.8652482269503546,0.40625,0.4393939393939394,0.887719298245614,0.8876329787234043,0.8794326241134752,0.46875,0.5151515151515151,0.46,131,0.46,131,0.5,142,0.8,228.0,,,0.5,142,0.8,228.0,0.6068908260689082,0.5500247035573123,0.5934965034965036
learn_hard_core_extra,0.8035087719298246,0.8034869976359338,0.8014184397163121,0.125,0.15151515151515152,0.8315789473684211,0.8315602836879432,0.8297872340425532,0.25,0.2727272727272727,0.8701754385964913,0.8700502364066194,0.8581560283687943,0.375,0.4393939393939394,0.9017543859649123,0.901595744680851,0.8865248226950354,0.5,0.5757575757575758,0.4,114,0.4,114,0.46,131,0.74,211.0,,,0.46,131,0.74,211.0,0.6192749411927494,0.5520009881422925,0.6423076923076924
learn_hard_core_logreg,0.8,0.8001625295508275,0.8156028368794326,0.1875,0.13636363636363635,0.8350877192982457,0.8350325059101655,0.8297872340425532,0.25,0.2878787878787879,0.8701754385964913,0.8699763593380614,0.851063829787234,0.34375,0.4393939393939394,0.8842105263157894,0.8840868794326242,0.8723404255319149,0.4375,0.5,0.43,123,0.43,123,0.42,120,0.64,182.0,,,0.43,123,0.64,182.0,0.5967206309672063,0.5796689723320159,0.6268531468531469
mean_absdiff_to_upper,0.8035087719298246,0.8034869976359338,0.8014184397163121,0.125,0.15151515151515152,0.8280701754385965,0.8279403073286051,0.8156028368794326,0.1875,0.25757575757575757,0.8666666666666667,0.8665780141843972,0.8581560283687943,0.375,0.42424242424242425,0.8807017543859649,0.8806885342789599,0.8794326241134752,0.46875,0.48484848484848486,0.52,148,0.52,148,0.54,154,0.66,188.0,,,0.54,154,0.66,188.0,0.5907015359070154,0.5427371541501975,0.5934265734265735
learn_upper_wrong_extra,0.8,0.7997931442080378,0.7801418439716312,0.03125,0.13636363636363635,0.8315789473684211,0.8314864066193853,0.8226950354609929,0.21875,0.2727272727272727,0.8666666666666667,0.8665780141843972,0.8581560283687943,0.375,0.42424242424242425,0.8912280701754386,0.8910313238770686,0.8723404255319149,0.4375,0.5303030303030303,0.43,123,0.43,123,0.45,128,0.72,205.0,,,0.45,128,0.72,205.0,0.6039850560398505,0.532608695652174,0.6206293706293706
