score,final_acc_at_10pct,final_bacc_at_10pct,high_sens_at_10pct,fn_recall_at_10pct,error_recall_at_10pct,final_acc_at_20pct,final_bacc_at_20pct,high_sens_at_20pct,fn_recall_at_20pct,error_recall_at_20pct,final_acc_at_30pct,final_bacc_at_30pct,high_sens_at_30pct,fn_recall_at_30pct,error_recall_at_30pct,final_acc_at_40pct,final_bacc_at_40pct,high_sens_at_40pct,fn_recall_at_40pct,error_recall_at_40pct,min_review_for_acc_ge_90,review_n_for_acc_ge_90,min_review_for_bacc_ge_90,review_n_for_bacc_ge_90,min_review_for_sensitivity_high_ge_90,review_n_for_sensitivity_high_ge_90,min_review_for_sensitivity_high_ge_95,review_n_for_sensitivity_high_ge_95,min_review_for_accepted_acc_ge_90,review_n_for_accepted_acc_ge_90,min_review_for_acc90_and_sens90,review_n_for_acc90_and_sens90,min_review_for_acc90_and_sens95,review_n_for_acc90_and_sens95,auc_upper_wrong,auc_upper_fn,auc_hard_core
upper_low_conf,0.7929824561403509,0.7929964539007093,0.7943262411347518,0.09375,0.10606060606060606,0.8280701754385965,0.8280141843971631,0.8226950354609929,0.21875,0.25757575757575757,0.8596491228070176,0.8596335697399528,0.8581560283687943,0.375,0.3939393939393939,0.887719298245614,0.8876329787234043,0.8794326241134752,0.46875,0.5151515151515151,0.44,125,0.44,125,0.45,128,0.63,180.0,0.66,188.0,0.45,128,0.63,180.0,0.6358101563581016,0.5830039525691699,0.6660839160839161
upper_predlow_pupper,0.7964912280701755,0.796838061465721,0.8297872340425532,0.25,0.12121212121212122,0.8280701754385965,0.8287529550827423,0.8936170212765957,0.53125,0.25757575757575757,0.856140350877193,0.8571217494089834,0.950354609929078,0.78125,0.3787878787878788,0.8666666666666667,0.8677600472813238,0.9716312056737588,0.875,0.42424242424242425,0.56,160,0.56,160,0.21,60,0.3,86.0,,,0.56,160,0.56,160.0,0.5223467552234675,0.8380681818181819,0.47853146853146855
all_vote_disagree,0.7964912280701755,0.7962470449172576,0.7730496453900709,0.0,0.12121212121212122,0.8105263157894737,0.8102836879432624,0.7872340425531915,0.0625,0.18181818181818182,0.856140350877193,0.8560874704491725,0.851063829787234,0.34375,0.3787878787878788,0.887719298245614,0.8877068557919621,0.8865248226950354,0.5,0.5151515151515151,0.42,120,0.42,120,0.42,120,0.82,234.0,,,0.42,120,0.82,234.0,0.5607098381070984,0.5040143280632411,0.557867132867133
learn_upper_wrong_rf,0.7894736842105263,0.7893764775413712,0.7801418439716312,0.03125,0.09090909090909091,0.8210526315789474,0.8209219858156028,0.8085106382978723,0.15625,0.22727272727272727,0.856140350877193,0.8560874704491725,0.851063829787234,0.34375,0.3787878787878788,0.8807017543859649,0.880540780141844,0.8652482269503546,0.40625,0.48484848484848486,0.46,131,0.46,131,0.49,140,0.72,205.0,0.82,234.0,0.49,140,0.72,205.0,0.5886259858862598,0.518651185770751,0.5979020979020979
learn_hard_core_gb,0.7929824561403509,0.7930703309692672,0.8014184397163121,0.125,0.10606060606060606,0.8280701754385965,0.8281619385342789,0.8368794326241135,0.28125,0.25757575757575757,0.8526315789473684,0.8525413711583925,0.8439716312056738,0.3125,0.36363636363636365,0.8771929824561403,0.8769946808510638,0.8581560283687943,0.375,0.4696969696969697,0.62,177,0.62,177,0.68,194,,,,,0.68,194,,,0.514321295143213,0.44676383399209485,0.5046153846153846
hybrid_rank_allrange_025_fn_075,0.8,0.8003841607565012,0.8368794326241135,0.28125,0.13636363636363635,0.8245614035087719,0.8252068557919621,0.8865248226950354,0.5,0.24242424242424243,0.8491228070175438,0.8500295508274232,0.9361702127659575,0.71875,0.3484848484848485,0.8771929824561403,0.8783244680851063,0.9858156028368794,0.9375,0.4696969696969697,0.55,157,0.55,157,0.24,68,0.33,94.0,,,0.55,157,0.55,157.0,0.5407499654074996,0.8252840909090909,0.5056293706293706
hybrid_fn_then_overall,0.8,0.8003841607565012,0.8368794326241135,0.28125,0.13636363636363635,0.8245614035087719,0.8252068557919621,0.8865248226950354,0.5,0.24242424242424243,0.8491228070175438,0.8500295508274232,0.9361702127659575,0.71875,0.3484848484848485,0.8736842105263158,0.8748522458628841,0.9858156028368794,0.9375,0.45454545454545453,0.6,171,0.6,171,0.24,68,0.34,97.0,,,0.6,171,0.6,171.0,0.5335893178358931,0.8315217391304348,0.4982517482517482
hybrid_rank_allrange_050_fn_050,0.8035087719298246,0.8039302600472813,0.8439716312056738,0.3125,0.15151515151515152,0.8245614035087719,0.8251329787234043,0.8794326241134752,0.46875,0.24242424242424243,0.8491228070175438,0.8497340425531914,0.9078014184397163,0.59375,0.3484848484848485,0.8842105263157894,0.8846778959810875,0.9290780141843972,0.6875,0.5,0.49,140,0.49,140,0.28,80,0.52,148.0,,,0.49,140,0.52,148.0,0.5845786633457867,0.7482089920948617,0.5529370629370629
predlow_disagree_mean,0.8,0.8003841607565012,0.8368794326241135,0.28125,0.13636363636363635,0.8210526315789474,0.821660756501182,0.8794326241134752,0.46875,0.22727272727272727,0.8456140350877193,0.8464834515366431,0.9290780141843972,0.6875,0.3333333333333333,0.856140350877193,0.8571217494089834,0.950354609929078,0.78125,0.3787878787878788,0.56,160,0.56,160,0.23,66,0.39,111.0,,,0.56,160,0.56,160.0,0.5053272450532724,0.8076828063241107,0.46258741258741265
learn_hard_core_rf,0.8035087719298246,0.8036347517730495,0.8156028368794326,0.1875,0.15151515151515152,0.8210526315789474,0.8211436170212766,0.8297872340425532,0.25,0.22727272727272727,0.8456140350877193,0.8457446808510638,0.8581560283687943,0.375,0.3333333333333333,0.8807017543859649,0.8806146572104019,0.8723404255319149,0.4375,0.48484848484848486,0.47,134,0.47,134,0.44,125,0.74,211.0,0.82,234.0,0.47,134,0.74,211.0,0.5929846409298465,0.5554594861660079,0.624055944055944
predlow_ensemble_mean,0.7964912280701755,0.796838061465721,0.8297872340425532,0.25,0.12121212121212122,0.8175438596491228,0.8181146572104019,0.8723404255319149,0.4375,0.21212121212121213,0.8421052631578947,0.8429373522458629,0.9219858156028369,0.65625,0.3181818181818182,0.8596491228070176,0.8606678486997636,0.9574468085106383,0.8125,0.3939393939393939,0.56,160,0.56,160,0.25,71,0.36,103.0,,,0.56,160,0.56,160.0,0.5020755500207554,0.8018774703557313,0.46062937062937065
predlow_ensemble_median,0.7929824561403509,0.7932919621749408,0.8226950354609929,0.21875,0.10606060606060606,0.8210526315789474,0.821660756501182,0.8794326241134752,0.46875,0.22727272727272727,0.8421052631578947,0.8429373522458629,0.9219858156028369,0.65625,0.3181818181818182,0.8666666666666667,0.8677600472813238,0.9716312056737588,0.875,0.42424242424242425,0.56,160,0.56,160,0.24,68,0.35,100.0,,,0.56,160,0.56,160.0,0.5044278400442784,0.8060770750988142,0.466013986013986
predlow_vote_frac,0.7929824561403509,0.7932919621749408,0.8226950354609929,0.21875,0.10606060606060606,0.8210526315789474,0.821660756501182,0.8794326241134752,0.46875,0.22727272727272727,0.8421052631578947,0.8429373522458629,0.9219858156028369,0.65625,0.3181818181818182,0.856140350877193,0.8571217494089834,0.950354609929078,0.78125,0.3787878787878788,0.56,160,0.56,160,0.22,63,0.39,111.0,,,0.56,160,0.56,160.0,0.5038397675383977,0.8050271739130436,0.46090909090909093
predlow_range,0.7964912280701755,0.796838061465721,0.8297872340425532,0.25,0.12121212121212122,0.8280701754385965,0.8287529550827423,0.8936170212765957,0.53125,0.25757575757575757,0.8385964912280702,0.8393912529550827,0.9148936170212766,0.625,0.30303030303030304,0.856140350877193,0.8571217494089834,0.950354609929078,0.78125,0.3787878787878788,0.56,160,0.56,160,0.23,66,0.39,111.0,,,0.56,160,0.56,160.0,0.5027674000276741,0.803112648221344,0.4590909090909091
learn_upper_wrong_gb,0.7894736842105263,0.7893764775413712,0.7801418439716312,0.03125,0.09090909090909091,0.8175438596491228,0.8173020094562649,0.7943262411347518,0.09375,0.21212121212121213,0.8385964912280702,0.8384308510638298,0.8226950354609929,0.21875,0.30303030303030304,0.8631578947368421,0.863031914893617,0.851063829787234,0.34375,0.4090909090909091,0.5,142,0.5,142,0.58,165,0.79,225.0,,,0.58,165,0.79,225.0,0.5327936903279369,0.4502223320158103,0.562867132867133
learn_upper_wrong_logreg,0.7929824561403509,0.7929225768321513,0.7872340425531915,0.0625,0.10606060606060606,0.8140350877192982,0.8140514184397163,0.8156028368794326,0.1875,0.19696969696969696,0.8350877192982457,0.8350325059101655,0.8297872340425532,0.25,0.2878787878787879,0.856140350877193,0.8561613475177305,0.8581560283687943,0.375,0.3787878787878788,0.55,157,0.55,157,0.53,151,0.79,225.0,,,0.55,157,0.79,225.0,0.5049121350491215,0.4731966403162055,0.565874125874126
learn_upper_fn_logreg,0.7964912280701755,0.7966903073286051,0.8156028368794326,0.1875,0.12121212121212122,0.8105263157894737,0.8108747044917257,0.8439716312056738,0.3125,0.18181818181818182,0.8280701754385965,0.8285313238770686,0.8723404255319149,0.4375,0.25757575757575757,0.856140350877193,0.8567523640661938,0.9148936170212766,0.625,0.3787878787878788,0.58,165,0.58,165,0.38,108,0.53,151.0,,,0.58,165,0.58,165.0,0.48623218486232195,0.6692193675889327,0.4891608391608392
learn_upper_fn_gb,0.7964912280701755,0.7966903073286051,0.8156028368794326,0.1875,0.12121212121212122,0.8035087719298246,0.8037825059101655,0.8297872340425532,0.25,0.15151515151515152,0.8280701754385965,0.8285313238770686,0.8723404255319149,0.4375,0.25757575757575757,0.8350877192982457,0.8356235224586288,0.8865248226950354,0.5,0.2878787878787879,0.63,180,0.63,180,0.44,125,0.52,148.0,,,0.63,180,0.63,180.0,0.4644389096443891,0.6824357707509882,0.5302097902097903
learn_upper_fn_extra,0.7824561403508772,0.7826536643026005,0.8014184397163121,0.125,0.06060606060606061,0.8035087719298246,0.8039302600472813,0.8439716312056738,0.3125,0.15151515151515152,0.8210526315789474,0.821660756501182,0.8794326241134752,0.46875,0.22727272727272727,0.8421052631578947,0.8429373522458629,0.9219858156028369,0.65625,0.3181818181818182,0.58,165,0.58,165,0.34,97,0.45,128.0,0.85,242.0,0.58,165,0.58,165.0,0.4938079424380794,0.7277667984189723,0.4970279720279721
learn_upper_fn_rf,0.7894736842105263,0.7897458628841607,0.8156028368794326,0.1875,0.09090909090909091,0.8,0.8003841607565012,0.8368794326241135,0.28125,0.13636363636363635,0.8140350877192982,0.8145685579196218,0.8652482269503546,0.40625,0.19696969696969696,0.8456140350877193,0.8464834515366431,0.9290780141843972,0.6875,0.3333333333333333,0.58,165,0.58,165,0.33,94,0.43,123.0,,,0.58,165,0.58,165.0,0.49937733499377335,0.7361660079051383,0.49643356643356645
