block,policy,evidence_status,domain,n,review_rate,auto_rate,system_accuracy,system_bacc,system_sensitivity_high,system_specificity_low,fn,fp,note
router_selective_review,baseline_low_conf_dev_selected,baseline,old_data,285,0.3017543859649123,0.6982456140350877,0.9052631578947368,0.9055112293144209,0.9290780141843972,0.8819444444444444,10.0,17.0,low-confidence selective review selected on old/third
router_selective_review,baseline_low_conf_dev_selected,baseline,third_batch,306,0.3006535947712418,0.6993464052287581,0.8921568627450981,0.8606271777003485,0.7926829268292683,0.9285714285714286,17.0,16.0,low-confidence selective review selected on old/third
router_selective_review,baseline_low_conf_dev_selected,baseline,strict_external,105,0.3047619047619048,0.6952380952380952,0.7714285714285715,0.780997798972854,0.8723404255319149,0.6896551724137931,6.0,18.0,low-confidence selective review selected on old/third
router_selective_review,baseline_low_conf_dev_selected,baseline,all_three_domains,696,0.3017241379310345,0.6982758620689655,0.8793103448275862,0.8790297339593114,0.8777777777777778,0.8802816901408451,33.0,51.0,low-confidence selective review selected on old/third
router_selective_review,dev_stable_router_all_domains,dev-supported,old_data,285,0.3017543859649123,0.6982456140350877,0.9087719298245616,0.9085401891252955,0.8865248226950354,0.9305555555555556,16.0,10.0,router selected by old/third internal stability
router_selective_review,dev_stable_router_all_domains,dev-supported,third_batch,306,0.3006535947712418,0.6993464052287581,0.9019607843137256,0.8673236062717771,0.7926829268292683,0.9419642857142856,17.0,13.0,router selected by old/third internal stability
router_selective_review,dev_stable_router_all_domains,dev-supported,strict_external,105,0.3047619047619048,0.6952380952380952,0.8,0.7987894350696991,0.7872340425531915,0.8103448275862069,10.0,11.0,router selected by old/third internal stability
router_selective_review,dev_stable_router_all_domains,dev-supported,all_three_domains,696,0.3017241379310345,0.6982758620689655,0.889367816091954,0.8804642670839854,0.8407407407407408,0.92018779342723,43.0,34.0,router selected by old/third internal stability
router_selective_review,shift_aware_image_directional_candidate,candidate,old_data,285,0.3017543859649123,0.6982456140350877,0.9087719298245616,0.9085401891252955,0.8865248226950354,0.9305555555555556,16.0,10.0,severe-shift image-feature branch; needs prospective severe-shift validation
router_selective_review,shift_aware_image_directional_candidate,candidate,third_batch,306,0.3006535947712418,0.6993464052287581,0.9019607843137256,0.8673236062717771,0.7926829268292683,0.9419642857142856,17.0,13.0,severe-shift image-feature branch; needs prospective severe-shift validation
router_selective_review,shift_aware_image_directional_candidate,candidate,strict_external,105,0.3047619047619048,0.6952380952380952,0.819047619047619,0.8059427732942039,0.6808510638297872,0.9310344827586208,15.0,4.0,severe-shift image-feature branch; needs prospective severe-shift validation
router_selective_review,shift_aware_image_directional_candidate,candidate,all_three_domains,696,0.3017241379310345,0.6982758620689655,0.8922413793103449,0.8794209702660407,0.8222222222222222,0.9366197183098592,48.0,27.0,severe-shift image-feature branch; needs prospective severe-shift validation
router_selective_review,shift_aware_concept_directional_candidate,candidate,old_data,285,0.3017543859649123,0.6982456140350877,0.9087719298245616,0.9085401891252955,0.8865248226950354,0.9305555555555556,16.0,10.0,severe-shift predicted-concept branch; needs prospective severe-shift validation
router_selective_review,shift_aware_concept_directional_candidate,candidate,third_batch,306,0.3006535947712418,0.6993464052287581,0.9019607843137256,0.8673236062717771,0.7926829268292683,0.9419642857142856,17.0,13.0,severe-shift predicted-concept branch; needs prospective severe-shift validation
router_selective_review,shift_aware_concept_directional_candidate,candidate,strict_external,105,0.3047619047619048,0.6952380952380952,0.7904761904761904,0.7921863536316948,0.8085106382978723,0.7758620689655172,9.0,13.0,severe-shift predicted-concept branch; needs prospective severe-shift validation
router_selective_review,shift_aware_concept_directional_candidate,candidate,all_three_domains,696,0.3017241379310345,0.6982758620689655,0.8879310344827587,0.8799687010954617,0.8444444444444444,0.9154929577464788,42.0,36.0,severe-shift predicted-concept branch; needs prospective severe-shift validation
random_review_reference,random_review_30pct,baseline,old_data,285,0.3017543859649123,0.6982456140350877,,0.8510130466903072,,,,,mean over random review simulations
random_review_reference,random_review_30pct,baseline,third_batch,306,0.3006535947712418,0.6993464052287581,,0.8278288327526132,,,,,mean over random review simulations
random_review_reference,random_review_30pct,baseline,strict_external,105,0.3047619047619048,0.6952380952380952,,0.6751420763022743,,,,,mean over random review simulations
random_review_reference,random_review_30pct,baseline,all_three_domains,696,0.30028735632183906,0.6997126436781609,,0.8248812884715703,,,,,mean over random review simulations
auto_correct_plus_review_upper_bound,severe_shift_auto_flip_plus_review_best_scan,exploratory upper bound,strict_external_hybrid,105,0.4,0.6,0.8857142857142857,0.888481291269259,0.9148936170212766,0.8620689655172413,4.0,8.0,"external-label scan: auto_flip=0.3, extra_review=0.4; not a locked policy"
auto_correct_plus_review_upper_bound,severe_shift_auto_flip_plus_review_best_scan,exploratory upper bound,all_three_domains_hybrid,696,0.3160919540229885,0.6839080459770115,0.9022988505747126,0.8950965049556598,0.8629629629629629,0.9272300469483568,37.0,31.0,"external-label scan: auto_flip=0.3, extra_review=0.4; not a locked policy"
