fold_id,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
1,0.861111111111111,0.875,0.875,0.75,1.0,1.0,0.8571428571428571,12,0,3,9
2,0.8194444444444445,0.6666666666666666,0.6666666666666667,0.5833333333333334,0.75,0.7,0.6363636363636364,9,3,5,7
3,0.8125000000000001,0.75,0.75,0.6666666666666666,0.8333333333333334,0.8,0.7272727272727273,10,2,4,8
4,0.7916666666666667,0.75,0.75,0.6666666666666666,0.8333333333333334,0.8,0.7272727272727273,10,2,4,8
5,0.7083333333333333,0.625,0.625,0.5833333333333334,0.6666666666666666,0.6363636363636364,0.6086956521739131,8,4,5,7
